name@price@price_after_sell
CZ75-Auto | Army Sheen (Factory New)@5.00@4.9
CZ75-Auto | Army Sheen (Minimal Wear)@1.03@1.0094
CZ75-Auto | Crimson Web (Field-Tested)@1.05@1.029
CZ75-Auto | Emerald (Factory New)@24.99@24.490199999999998
CZ75-Auto | Hexane (Factory New)@8.00@7.84
CZ75-Auto | Imprint (Factory New)@0.90@0.882
CZ75-Auto | Imprint (Field-Tested)@0.20@0.196
CZ75-Auto | Imprint (Minimal Wear)@0.49@0.48019999999999996
CZ75-Auto | Poison Dart (Factory New)@5.75@5.635
CZ75-Auto | Pole Position (Factory New)@20.00@19.6
CZ75-Auto | Pole Position (Field-Tested)@0.90@0.882
CZ75-Auto | Polymer (Factory New)@0.21@0.20579999999999998
CZ75-Auto | Polymer (Field-Tested)@0.26@0.2548
CZ75-Auto | Polymer (Well-Worn)@0.24@0.2352
CZ75-Auto | Red Astor (Battle-Scarred)@0.59@0.5781999999999999
CZ75-Auto | Red Astor (Factory New)@2.19@2.1462
CZ75-Auto | Tigris (Battle-Scarred)@0.79@0.7742
CZ75-Auto | Tigris (Factory New)@12.00@11.76
CZ75-Auto | Tigris (Field-Tested)@0.43@0.4214
CZ75-Auto | Tigris (Minimal Wear)@0.85@0.833
CZ75-Auto | Tigris (Well-Worn)@0.99@0.9702
CZ75-Auto | Tread Plate (Factory New)@10.18@9.9764
CZ75-Auto | Tuxedo (Factory New)@16.00@15.68
CZ75-Auto | Tuxedo (Field-Tested)@0.81@0.7938000000000001
CZ75-Auto | Tuxedo (Minimal Wear)@1.23@1.2054
CZ75-Auto | Twist (Factory New)@8.00@7.84
CZ75-Auto | Twist (Minimal Wear)@1.83@1.7934
CZ75-Auto | Victoria (Factory New)@15.49@15.1802
CZ75-Auto | Yellow Jacket (Field-Tested)@4.24@4.1552
Cache Pin@11.00@10.78
Chroma 2 Case@2.61@2.5578
Chroma 2 Case Key@30.00@29.4
Chroma 3 Case@1.79@1.7542
Chroma Case@2.59@2.5382
Chroma Case Key@13.37@13.102599999999999
Chroma Pin@14.99@14.6902
Cobblestone Pin@9.00@8.82
Collectible Pins Capsule Series 1@22.00@21.56
Cologne 2016 Dust II Souvenir Package@79.98@78.38040000000001
Desert Eagle | Blaze (Factory New)@829.69@813.0962000000001
Desert Eagle | Bronze Deco (Factory New)@1.51@1.4798
Desert Eagle | Bronze Deco (Minimal Wear)@0.76@0.7448
Desert Eagle | Cobalt Disruption (Factory New)@105.77@103.65459999999999
Desert Eagle | Cobalt Disruption (Minimal Wear)@74.99@73.49019999999999
Desert Eagle | Conspiracy (Factory New)@19.99@19.5902
Desert Eagle | Conspiracy (Field-Tested)@6.09@5.9681999999999995
Desert Eagle | Conspiracy (Minimal Wear)@5.58@5.4684
Desert Eagle | Corinthian (Factory New)@1.80@1.764
Desert Eagle | Corinthian (Field-Tested)@0.59@0.5781999999999999
Desert Eagle | Corinthian (Minimal Wear)@0.32@0.3136
Desert Eagle | Crimson Web (Field-Tested)@7.00@6.859999999999999
Desert Eagle | Directive (Battle-Scarred)@0.59@0.5781999999999999
Desert Eagle | Directive (Factory New)@25.00@24.5
Desert Eagle | Directive (Field-Tested)@0.50@0.49
Desert Eagle | Directive (Minimal Wear)@3.00@2.94
Desert Eagle | Directive (Well-Worn)@0.29@0.28419999999999995
Desert Eagle | Golden Koi (Factory New)@99.09@97.1082
Desert Eagle | Hand Cannon (Factory New)@380.00@372.4
Desert Eagle | Heirloom (Factory New)@12.00@11.76
Desert Eagle | Heirloom (Field-Tested)@6.00@5.88
Desert Eagle | Heirloom (Minimal Wear)@8.99@8.8102
Desert Eagle | Hypnotic (Factory New)@149.99@146.99020000000002
Desert Eagle | Kumicho Dragon (Factory New)@36.42@35.6916
Desert Eagle | Kumicho Dragon (Field-Tested)@14.99@14.6902
Desert Eagle | Meteorite (Factory New)@1.61@1.5778
Desert Eagle | Midnight Storm (Battle-Scarred)@16.00@15.68
Desert Eagle | Midnight Storm (Factory New)@30.99@30.370199999999997
Desert Eagle | Midnight Storm (Minimal Wear)@23.99@23.510199999999998
Desert Eagle | Mudder (Factory New)@6.00@5.88
Desert Eagle | Mudder (Field-Tested)@0.26@0.2548
Desert Eagle | Mudder (Minimal Wear)@0.15@0.147
Desert Eagle | Mudder (Well-Worn)@0.26@0.2548
Desert Eagle | Naga (Battle-Scarred)@1.02@0.9996
Desert Eagle | Naga (Field-Tested)@1.06@1.0388
Desert Eagle | Naga (Minimal Wear)@2.50@2.45
Desert Eagle | Naga (Well-Worn)@1.07@1.0486
Desert Eagle | Night (Minimal Wear)@7.22@7.0756
Desert Eagle | Sunset Storm 壱 (Field-Tested)@400.00@392.0
Desert Eagle | Sunset Storm 弐 (Factory New)@400.81@392.7938
Desert Eagle | Sunset Storm 弐 (Field-Tested)@380.00@372.4
Desert Eagle | Urban DDPAT (Minimal Wear)@4.00@3.92
Desert Eagle | Urban Rubble (Factory New)@1.13@1.1074
Desert Eagle | Urban Rubble (Field-Tested)@0.56@0.5488000000000001
Desert Eagle | Urban Rubble (Minimal Wear)@1.09@1.0682
DreamHack Cluj-Napoca 2015 Inferno Souvenir Package@42.50@41.65
DreamHack Cluj-Napoca 2015 Legends (Foil)@29.95@29.351
DreamHack Cluj-Napoca 2015 Overpass Souvenir Package@198.18@194.2164
Dual Berettas | Anodized Navy (Factory New)@0.94@0.9211999999999999
Dual Berettas | Black Limba (Factory New)@60.00@58.8
Dual Berettas | Briar (Minimal Wear)@4.00@3.92
Dual Berettas | Cartel (Battle-Scarred)@0.31@0.3038
