name@price@price_after_sell
★ Sport Gloves | Omega (Field-Tested)@849.99@832.9902
★ Driver Gloves | Racing Green (Field-Tested)@52.00@50.96
StatTrak™ UMP-45 | Arctic Wolf (Well-Worn)@0.60@0.588
StatTrak™ UMP-45 | Arctic Wolf (Factory New)@40.00@39.2
StatTrak™ SG 553 | Aloha (Battle-Scarred)@0.26@0.2548
★ Hand Wraps | Overprint (Field-Tested)@409.90@401.702
StatTrak™ M4A4 | Neo-Noir (Minimal Wear)@32.00@31.36
M4A4 | Neo-Noir (Factory New)@49.00@48.019999999999996
StatTrak™ USP-S | Cortex (Well-Worn)@10.00@9.8
M4A4 | Neo-Noir (Battle-Scarred)@3.00@2.94
★ Hand Wraps | Duct Tape (Field-Tested)@69.99@68.5902
StatTrak™ MP7 | Bloodsport (Minimal Wear)@40.00@39.2
★ Hydra Gloves | Rattler (Minimal Wear)@83.49@81.8202
★ Sport Gloves | Bronze Morph (Battle-Scarred)@154.76@151.66479999999999
★ Hydra Gloves | Rattler (Battle-Scarred)@57.00@55.86
★ Driver Gloves | Imperial Plaid (Well-Worn)@300.00@294.0
★ Hydra Gloves | Rattler (Field-Tested)@57.00@55.86
★ Hand Wraps | Overprint (Minimal Wear)@640.00@627.2
StatTrak™ M4A4 | Neo-Noir (Battle-Scarred)@11.45@11.220999999999998
★ Hydra Gloves | Emerald (Minimal Wear)@122.47@120.0206
★ Sport Gloves | Vice (Battle-Scarred)@899.00@881.02
★ Hand Wraps | Arboreal (Battle-Scarred)@63.47@62.200599999999994
StatTrak™ AWP | Mortis (Well-Worn)@7.44@7.2912
★ Hydra Gloves | Emerald (Battle-Scarred)@67.99@66.63019999999999
Howl Pin@89.99@88.19019999999999
Death Sentence Pin@4.00@3.92
Wildfire Pin@7.00@6.859999999999999
Hydra Pin@5.95@5.831
Canals Pin@4.00@3.92
Guardian 3 Pin@4.00@3.92
★ Moto Gloves | Transport (Battle-Scarred)@68.00@66.64
★ Sport Gloves | Vice (Well-Worn)@1599.99@1567.9902
Easy Peasy Pin@5.00@4.9
Aces High Pin@9.00@8.82
Welcome to the Clutch Pin@7.00@6.859999999999999
Brigadier General Pin@14.99@14.6902
★ Sport Gloves | Omega (Well-Worn)@699.90@685.9019999999999
★ Hydra Gloves | Case Hardened (Battle-Scarred)@70.00@68.6
Glock-18 | Warhawk (Field-Tested)@0.59@0.5781999999999999
Horizon Case Key@13.37@13.102599999999999
London 2018 Minor Challengers Autograph Capsule@12.99@12.7302
Horizon Case@0.66@0.6468
MP9 | Capillary (Field-Tested)@0.49@0.48019999999999996
MP7 | Powercore (Field-Tested)@0.74@0.7252
R8 Revolver | Survivalist (Field-Tested)@0.30@0.294
StatTrak™ Glock-18 | Warhawk (Field-Tested)@0.80@0.784
Sticker | Natus Vincere | London 2018@2.00@1.96
Sticker | FaZe Clan | London 2018@2.00@1.96
M4A1-S | Nightmare (Field-Tested)@7.44@7.2912
AWP | PAW (Factory New)@5.00@4.9
StatTrak™ AUG | Amber Slipstream (Field-Tested)@0.60@0.588
Souvenir P250 | Facility Draft (Factory New)@0.25@0.245
R8 Revolver | Survivalist (Minimal Wear)@0.50@0.49
Tec-9 | Snek-9 (Field-Tested)@0.30@0.294
Sticker | Tyloo | London 2018@3.00@2.94
Sticker | Winstrike Team | London 2018@1.50@1.47
Sticker | mousesports | London 2018@1.16@1.1367999999999998
Sticker | ropz | London 2018@4.00@3.92
Sticker | RUSH | London 2018@3.00@2.94
Sticker | bodyy | London 2018@0.78@0.7644
StatTrak™ MP9 | Capillary (Field-Tested)@0.68@0.6664
Sticker | Ex6TenZ | London 2018@0.88@0.8623999999999999
Sticker | electronic (Foil) | London 2018@9.00@8.82
Glock-18 | Warhawk (Minimal Wear)@0.35@0.34299999999999997
Sticker | balblna | London 2018@0.48@0.4704
AK-47 | Neon Rider (Factory New)@130.99@128.3702
London 2018 Returning Challengers Autograph Capsule@9.99@9.7902
Sticker | Astralis | London 2018@1.01@0.9898
Sticker | Cloud9 | London 2018@4.00@3.92
PP-Bizon | Candy Apple (Minimal Wear)@0.49@0.48019999999999996
PP-Bizon | Candy Apple (Factory New)@6.00@5.88
Sticker | Xyp9x | London 2018@1.70@1.666
Sticker | BnTeT | London 2018@1.00@0.98
Sticker | compLexity Gaming | London 2018@2.48@2.4304
Sticker | DD | London 2018@5.00@4.9
London 2018 Mirage Souvenir Package@23.00@22.54
Sticker | dupreeh | London 2018@2.00@1.96
Dual Berettas | Shred (Factory New)@0.90@0.882
London 2018 Returning Challengers (Holo/Foil)@14.99@14.6902
Sticker | fer | London 2018@1.40@1.3719999999999999
CZ75-Auto | Eco (Minimal Wear)@3.00@2.94
StatTrak™ CZ75-Auto | Eco (Field-Tested)@1.40@1.3719999999999999
Sticker | FACEIT | London 2018@2.00@1.96
Sticker | Space Soldiers | London 2018@3.00@2.94
Sticker | Vega Squadron | London 2018@2.00@1.96
London 2018 Minor Challengers (Holo/Foil)@9.86@9.662799999999999
Dual Berettas | Shred (Field-Tested)@0.49@0.48019999999999996
AUG | Amber Slipstream (Field-Tested)@0.10@0.098
Tec-9 | Snek-9 (Well-Worn)@0.20@0.196
AUG | Amber Slipstream (Minimal Wear)@0.17@0.1666
StatTrak™ Tec-9 | Snek-9 (Minimal Wear)@1.30@1.274
P90 | Traction (Field-Tested)@0.49@0.48019999999999996
P90 | Traction (Minimal Wear)@0.90@0.882
StatTrak™ Dual Berettas | Shred (Field-Tested)@0.70@0.6859999999999999
Glock-18 | Warhawk (Well-Worn)@0.59@0.5781999999999999
P90 | Traction (Well-Worn)@0.49@0.48019999999999996
Glock-18 | Warhawk (Battle-Scarred)@0.36@0.3528
Tec-9 | Snek-9 (Battle-Scarred)@0.20@0.196
Nova | Toy Soldier (Minimal Wear)@1.41@1.3818
StatTrak™ AUG | Amber Slipstream (Minimal Wear)@1.30@1.274
AUG | Amber Slipstream (Factory New)@0.80@0.784
Nova | Toy Soldier (Field-Tested)@1.40@1.3719999999999999
CZ75-Auto | Eco (Well-Worn)@0.45@0.441
Dual Berettas | Shred (Well-Worn)@0.30@0.294
MP9 | Capillary (Minimal Wear)@0.56@0.5488000000000001
P90 | Traction (Battle-Scarred)@0.22@0.21559999999999999
G3SG1 | High Seas (Factory New)@2.92@2.8615999999999997
Sticker | Snax | London 2018@2.00@1.96
Sticker | balblna (Foil) | London 2018@3.00@2.94
MP9 | Capillary (Factory New)@6.00@5.88
Sealed Graffiti | Team Spirit | London 2018@3.00@2.94
Sealed Graffiti | OpTic Gaming | London 2018@2.00@1.96
Sealed Graffiti | compLexity Gaming | London 2018@1.90@1.8619999999999999
Sealed Graffiti | Astralis | London 2018@2.00@1.96
Sealed Graffiti | Fnatic | London 2018@2.00@1.96
Sealed Graffiti | G2 Esports | London 2018@6.00@5.88
Sealed Graffiti | Natus Vincere | London 2018@2.84@2.7832
Sticker | xccurate (Foil) | London 2018@6.00@5.88
Sticker | Lekr0 | London 2018@0.56@0.5488000000000001
AWP | PAW (Field-Tested)@1.12@1.0976000000000001
G3SG1 | High Seas (Field-Tested)@0.56@0.5488000000000001
Sticker | compLexity Gaming (Foil) | London 2018@14.00@13.719999999999999
Sticker | Winstrike Team (Holo) | London 2018@7.00@6.859999999999999
Sticker | FACEIT (Holo) | London 2018@9.00@8.82
Galil AR | Cold Fusion (Field-Tested)@0.49@0.48019999999999996
Nova | Toy Soldier (Factory New)@20.00@19.6
Sticker | Astralis (Holo) | London 2018@18.80@18.424
★ Stiletto Knife | Safari Mesh (Minimal Wear)@501.00@490.98
★ Talon Knife | Slaughter (Minimal Wear)@719.90@705.502
★ Navaja Knife | Safari Mesh (Field-Tested)@85.99@84.27019999999999
AWP | PAW (Minimal Wear)@2.74@2.6852
Sticker | Renegades (Holo) | London 2018@4.00@3.92
StatTrak™ Nova | Toy Soldier (Well-Worn)@1.06@1.0388
MP5-SD | Co-Processor (Factory New)@10.00@9.8
Souvenir AUG | Sweeper (Factory New)@0.49@0.48019999999999996
Souvenir Glock-18 | High Beam (Factory New)@5.00@4.9
Glock-18 | Nuclear Garden (Minimal Wear)@9.19@9.0062
R8 Revolver | Survivalist (Factory New)@30.00@29.4
CZ75-Auto | Eco (Factory New)@18.00@17.64
Glock-18 | High Beam (Factory New)@0.50@0.49
M4A4 | Mainframe (Factory New)@0.15@0.147
Glock-18 | High Beam (Minimal Wear)@0.79@0.7742
Sticker | chopper (Foil) | London 2018@13.00@12.74
Sticker | TACO | London 2018@2.00@1.96
Souvenir MAG-7 | Rust Coat (Factory New)@16.00@15.68
Sticker | gob b (Foil) | London 2018@48.00@47.04
Sticker | NEO | London 2018@0.66@0.6468
Sticker | MAJ3R | London 2018@1.20@1.176
Sticker | smooya | London 2018@2.00@1.96
Sticker | snatchie | London 2018@0.84@0.8231999999999999
Sticker | snatchie (Foil) | London 2018@4.00@3.92
Sticker | MAJ3R (Foil) | London 2018@5.00@4.9
Sticker | OpTic Gaming (Holo) | London 2018@8.58@8.4084
StatTrak™ Desert Eagle | Code Red (Battle-Scarred)@32.08@31.438399999999998
StatTrak™ AUG | Amber Slipstream (Factory New)@9.00@8.82
AK-47 | Neon Rider (Minimal Wear)@62.99@61.7302
Souvenir PP-Bizon | Facility Sketch (Minimal Wear)@0.75@0.735
Souvenir MP7 | Fade (Factory New)@40.00@39.2
Desert Eagle | Code Red (Field-Tested)@23.95@23.471
M4A1-S | Nightmare (Well-Worn)@7.11@6.9678
MP7 | Motherboard (Minimal Wear)@0.14@0.13720000000000002
MAC-10 | Calf Skin (Battle-Scarred)@0.26@0.2548
StatTrak™ AWP | PAW (Field-Tested)@4.08@3.9984
P90 | Traction (Factory New)@0.67@0.6566000000000001
Tec-9 | Snek-9 (Factory New)@10.00@9.8
Galil AR | Cold Fusion (Battle-Scarred)@0.26@0.2548
StatTrak™ Desert Eagle | Code Red (Field-Tested)@62.00@60.76
StatTrak™ Tec-9 | Snek-9 (Battle-Scarred)@0.46@0.45080000000000003
StatTrak™ Dual Berettas | Shred (Factory New)@2.00@1.96
StatTrak™ AWP | PAW (Minimal Wear)@6.10@5.978
M4A4 | Mainframe (Minimal Wear)@0.11@0.10779999999999999
Souvenir M4A4 | Mainframe (Factory New)@2.50@2.45
★ StatTrak™ Stiletto Knife | Fade (Factory New)@999.99@979.9902
StatTrak™ M4A1-S | Nightmare (Well-Worn)@15.44@15.1312
M4A4 | Mainframe (Field-Tested)@0.24@0.2352
StatTrak™ R8 Revolver | Survivalist (Field-Tested)@0.59@0.5781999999999999
SSG 08 | Hand Brake (Field-Tested)@1.24@1.2152
★ Talon Knife | Urban Masked (Field-Tested)@339.95@333.151
★ Ursus Knife@449.99@440.9902
MP5-SD | Co-Processor (Field-Tested)@1.40@1.3719999999999999
StatTrak™ Glock-18 | Warhawk (Minimal Wear)@0.51@0.4998
Sticker | k0nfig (Foil) | London 2018@5.00@4.9
AWP | Acheron (Field-Tested)@1.00@0.98
AK-47 | Neon Rider (Battle-Scarred)@20.73@20.3154
StatTrak™ Glock-18 | Warhawk (Battle-Scarred)@0.59@0.5781999999999999
Glock-18 | Warhawk (Factory New)@14.00@13.719999999999999
M4A1-S | Nightmare (Battle-Scarred)@4.85@4.752999999999999
Souvenir PP-Bizon | Candy Apple (Field-Tested)@1.00@0.98
StatTrak™ FAMAS | Eye of Athena (Field-Tested)@8.17@8.0066
StatTrak™ AWP | PAW (Battle-Scarred)@5.60@5.4879999999999995
StatTrak™ MP9 | Capillary (Factory New)@2.50@2.45
StatTrak™ Tec-9 | Snek-9 (Field-Tested)@0.59@0.5781999999999999
Souvenir M4A4 | Converter (Factory New)@10.99@10.7702
★ Stiletto Knife | Urban Masked (Field-Tested)@240.00@235.2
Negev | Bulkhead (Minimal Wear)@0.40@0.392
Dual Berettas | Twin Turbo (Minimal Wear)@9.99@9.7902
Desert Eagle | Code Red (Battle-Scarred)@16.99@16.650199999999998
Sawed-Off | Brake Light (Factory New)@1.60@1.568
★ Ursus Knife | Fade (Factory New)@789.90@774.102
Souvenir Nova | Mandrel (Factory New)@12.00@11.76
Souvenir Sawed-Off | Brake Light (Factory New)@0.94@0.9211999999999999
Souvenir PP-Bizon | Facility Sketch (Field-Tested)@1.00@0.98
AUG | Amber Slipstream (Well-Worn)@0.30@0.294
P250 | Exchanger (Field-Tested)@0.53@0.5194
Sawed-Off | Devourer (Battle-Scarred)@2.79@2.7342
★ Talon Knife | Blue Steel (Field-Tested)@469.99@460.5902
MP7 | Fade (Factory New)@11.99@11.7502
Souvenir Galil AR | Cold Fusion (Field-Tested)@0.75@0.735
StatTrak™ AWP | PAW (Well-Worn)@4.37@4.2826
StatTrak™ R8 Revolver | Survivalist (Factory New)@2.00@1.96
AUG | Random Access (Minimal Wear)@4.00@3.92
Tec-9 | Remote Control (Factory New)@8.87@8.692599999999999
AWP | Acheron (Minimal Wear)@1.93@1.8914
★ Navaja Knife | Crimson Web (Battle-Scarred)@122.46@120.01079999999999
Souvenir P250 | Vino Primo (Minimal Wear)@18.00@17.64
Souvenir MP5-SD | Co-Processor (Field-Tested)@2.00@1.96
Souvenir Negev | Bulkhead (Factory New)@3.00@2.94
★ Navaja Knife | Forest DDPAT (Field-Tested)@82.90@81.242
Galil AR | Cold Fusion (Minimal Wear)@0.59@0.5781999999999999
M4A4 | Converter (Minimal Wear)@1.30@1.274
R8 Revolver | Nitro (Field-Tested)@0.28@0.27440000000000003
MAC-10 | Calf Skin (Factory New)@9.00@8.82
R8 Revolver | Nitro (Factory New)@9.50@9.31
P250 | Vino Primo (Field-Tested)@3.50@3.4299999999999997
USP-S | Check Engine (Minimal Wear)@3.00@2.94
MAC-10 | Calf Skin (Field-Tested)@0.28@0.27440000000000003
P250 | Exchanger (Factory New)@9.00@8.82
P90 | Facility Negative (Minimal Wear)@1.20@1.176
Galil AR | Cold Fusion (Factory New)@1.00@0.98
AK-47 | Safety Net (Minimal Wear)@5.63@5.517399999999999
M4A4 | Converter (Field-Tested)@1.15@1.127
Souvenir Five-SeveN | Coolant (Battle-Scarred)@1.00@0.98
AK-47 | Safety Net (Factory New)@9.28@9.094399999999998
Souvenir Negev | Bulkhead (Field-Tested)@1.00@0.98
P250 | Exchanger (Minimal Wear)@1.20@1.176
USP-S | Check Engine (Field-Tested)@1.90@1.8619999999999999
Souvenir Five-SeveN | Coolant (Factory New)@15.00@14.7
★ Navaja Knife | Stained (Minimal Wear)@99.99@97.99019999999999
★ Talon Knife | Blue Steel (Well-Worn)@440.90@432.082
★ Navaja Knife | Scorched (Battle-Scarred)@81.42@79.7916
Glock-18 | Nuclear Garden (Factory New)@26.50@25.97
P250 | Vino Primo (Well-Worn)@2.50@2.45
P90 | Facility Negative (Factory New)@14.00@13.719999999999999
Dual Berettas | Twin Turbo (Field-Tested)@5.00@4.9
MAG-7 | Core Breach (Field-Tested)@4.00@3.92
P90 | Facility Negative (Well-Worn)@0.99@0.9702
M4A1-S | Control Panel (Battle-Scarred)@7.27@7.124599999999999
★ Navaja Knife | Fade (Factory New)@294.90@289.00199999999995
★ Navaja Knife | Boreal Forest (Battle-Scarred)@102.10@100.05799999999999
★ Talon Knife | Urban Masked (Minimal Wear)@359.99@352.7902
★ Navaja Knife | Boreal Forest (Field-Tested)@85.99@84.27019999999999
P250 | Vino Primo (Minimal Wear)@7.25@7.1049999999999995
Souvenir Galil AR | Cold Fusion (Battle-Scarred)@1.46@1.4307999999999998
Souvenir M4A4 | Mainframe (Minimal Wear)@1.03@1.0094
Souvenir PP-Bizon | Facility Sketch (Factory New)@2.00@1.96
Souvenir P250 | Facility Draft (Battle-Scarred)@0.48@0.4704
★ Navaja Knife | Urban Masked (Field-Tested)@99.99@97.99019999999999
Souvenir MP5-SD | Co-Processor (Factory New)@40.00@39.2
Souvenir P250 | Exchanger (Factory New)@1.07@1.0486
★ Talon Knife | Forest DDPAT (Field-Tested)@303.99@297.91020000000003
★ Navaja Knife | Boreal Forest (Well-Worn)@99.99@97.99019999999999
M4A4 | Converter (Well-Worn)@2.00@1.96
SSG 08 | Hand Brake (Battle-Scarred)@0.70@0.6859999999999999
★ Talon Knife | Night Stripe (Field-Tested)@319.90@313.50199999999995
★ Stiletto Knife | Safari Mesh (Field-Tested)@249.90@244.90200000000002
★ StatTrak™ Navaja Knife@155.00@151.9
P250 | Vino Primo (Factory New)@12.80@12.544
Skill Groups Capsule@2.00@1.96
Sticker | Master Guardian Elite@0.44@0.43119999999999997
Sticker | Master Guardian Elite (Holo)@1.60@1.568
★ Talon Knife | Boreal Forest (Battle-Scarred)@297.90@291.94199999999995
Sticker | Legendary Eagle (Holo)@2.00@1.96
Sticker | Silver@0.20@0.196
★ Talon Knife | Boreal Forest (Minimal Wear)@349.99@342.9902
Sticker | Global Elite@1.90@1.8619999999999999
Sticker | Distinguished Master Guardian (Holo)@3.00@2.94
Sticker | Legendary Eagle@0.50@0.49
Tec-9 | Remote Control (Well-Worn)@4.60@4.508
★ Navaja Knife | Scorched (Minimal Wear)@83.44@81.7712
Sticker | Master Guardian (Holo)@1.40@1.3719999999999999
Sticker | Supreme Master First Class (Holo)@4.00@3.92
Negev | Bulkhead (Battle-Scarred)@0.26@0.2548
Sticker | Legendary Eagle Master (Holo)@3.00@2.94
Souvenir Galil AR | Cold Fusion (Factory New)@60.00@58.8
★ StatTrak™ Stiletto Knife@549.99@538.9902
★ StatTrak™ Talon Knife | Blue Steel (Well-Worn)@445.33@436.42339999999996
★ Navaja Knife | Blue Steel (Field-Tested)@84.27@82.5846
P250 | Vino Primo (Battle-Scarred)@2.00@1.96
Danger Zone Case@0.62@0.6076
Souvenir MP5-SD | Lab Rats (Field-Tested)@0.12@0.1176
Souvenir MP5-SD | Lab Rats (Factory New)@24.00@23.52
Glock-18 | Oxide Blaze (Battle-Scarred)@0.20@0.196
Souvenir MP5-SD | Lab Rats (Minimal Wear)@0.30@0.294
Sawed-Off | Black Sand (Field-Tested)@0.20@0.196
Nova | Wood Fired (Field-Tested)@0.20@0.196
StatTrak™ M4A4 | Magnesium (Minimal Wear)@0.94@0.9211999999999999
StatTrak™ Tec-9 | Fubar (Battle-Scarred)@0.49@0.48019999999999996
Glock-18 | Oxide Blaze (Field-Tested)@0.20@0.196
G3SG1 | Scavenger (Minimal Wear)@0.89@0.8722
G3SG1 | Scavenger (Factory New)@0.94@0.9211999999999999
MP9 | Modest Threat (Field-Tested)@0.20@0.196
USP-S | Flashback (Minimal Wear)@0.63@0.6174
MAC-10 | Pipe Down (Field-Tested)@0.45@0.441
StatTrak™ Sawed-Off | Black Sand (Minimal Wear)@0.24@0.2352
MP9 | Modest Threat (Minimal Wear)@0.36@0.3528
Nova | Wood Fired (Minimal Wear)@0.34@0.3332
Desert Eagle | Mecha Industries (Battle-Scarred)@3.99@3.9102
Sawed-Off | Black Sand (Minimal Wear)@0.34@0.3332
SG 553 | Danger Close (Field-Tested)@0.20@0.196
StatTrak™ AWP | Neo-Noir (Minimal Wear)@79.99@78.3902
M4A4 | Magnesium (Field-Tested)@0.15@0.147
StatTrak™ Glock-18 | Oxide Blaze (Battle-Scarred)@0.49@0.48019999999999996
AK-47 | Asiimov (Minimal Wear)@48.88@47.9024
StatTrak™ M4A4 | Magnesium (Field-Tested)@0.49@0.48019999999999996
StatTrak™ SG 553 | Danger Close (Field-Tested)@0.49@0.48019999999999996
G3SG1 | Scavenger (Field-Tested)@0.37@0.3626
StatTrak™ Sawed-Off | Black Sand (Field-Tested)@0.49@0.48019999999999996
Desert Eagle | Mecha Industries (Field-Tested)@3.96@3.8808
SG 553 | Danger Close (Minimal Wear)@0.12@0.1176
Tec-9 | Fubar (Minimal Wear)@15.00@14.7
Sawed-Off | Black Sand (Factory New)@13.00@12.74
P250 | Nevermore (Field-Tested)@1.20@1.176
AK-47 | Asiimov (Field-Tested)@24.50@24.009999999999998
M4A4 | Magnesium (Factory New)@9.00@8.82
MAC-10 | Pipe Down (Factory New)@11.00@10.78
Glock-18 | Oxide Blaze (Minimal Wear)@0.49@0.48019999999999996
Nova | Wood Fired (Factory New)@4.00@3.92
UMP-45 | Momentum (Minimal Wear)@6.00@5.88
MP5-SD | Phosphor (Field-Tested)@7.90@7.742
StatTrak™ Glock-18 | Oxide Blaze (Field-Tested)@0.42@0.41159999999999997
MP9 | Modest Threat (Factory New)@0.68@0.6664
AK-47 | Asiimov (Battle-Scarred)@24.51@24.0198
P250 | Nevermore (Factory New)@3.00@2.94
Glock-18 | Oxide Blaze (Factory New)@0.59@0.5781999999999999
M4A4 | Magnesium (Minimal Wear)@0.20@0.196
StatTrak™ Nova | Wood Fired (Factory New)@7.00@6.859999999999999
StatTrak™ Tec-9 | Fubar (Well-Worn)@0.49@0.48019999999999996
StatTrak™ USP-S | Flashback (Minimal Wear)@2.00@1.96
USP-S | Flashback (Field-Tested)@0.50@0.49
Galil AR | Signal (Field-Tested)@0.38@0.3724
UMP-45 | Momentum (Field-Tested)@4.18@4.0964
Desert Eagle | Mecha Industries (Minimal Wear)@5.77@5.654599999999999
AWP | Neo-Noir (Field-Tested)@24.00@23.52
StatTrak™ AWP | Neo-Noir (Field-Tested)@45.32@44.4136
★ StatTrak™ Stiletto Knife | Slaughter (Minimal Wear)@594.90@583.002
P250 | Nevermore (Minimal Wear)@0.86@0.8428
StatTrak™ Galil AR | Signal (Factory New)@7.00@6.859999999999999
StatTrak™ Nova | Wood Fired (Field-Tested)@0.36@0.3528
AWP | Neo-Noir (Factory New)@39.99@39.190200000000004
StatTrak™ MP9 | Modest Threat (Minimal Wear)@0.59@0.5781999999999999
StatTrak™ M4A4 | Magnesium (Battle-Scarred)@0.26@0.2548
MP5-SD | Phosphor (Minimal Wear)@14.00@13.719999999999999
StatTrak™ MP9 | Modest Threat (Field-Tested)@0.11@0.10779999999999999
StatTrak™ USP-S | Flashback (Field-Tested)@1.17@1.1465999999999998
StatTrak™ Tec-9 | Fubar (Field-Tested)@0.36@0.3528
UMP-45 | Momentum (Factory New)@7.75@7.595
StatTrak™ MP9 | Modest Threat (Factory New)@1.03@1.0094
StatTrak™ Sawed-Off | Black Sand (Factory New)@12.00@11.76
Desert Eagle | Mecha Industries (Factory New)@9.99@9.7902
SG 553 | Danger Close (Factory New)@0.59@0.5781999999999999
StatTrak™ MP5-SD | Phosphor (Field-Tested)@4.89@4.792199999999999
StatTrak™ Galil AR | Signal (Field-Tested)@0.80@0.784
StatTrak™ Glock-18 | Oxide Blaze (Factory New)@15.00@14.7
StatTrak™ Desert Eagle | Mecha Industries (Minimal Wear)@15.99@15.6702
StatTrak™ M4A4 | Magnesium (Well-Worn)@0.28@0.27440000000000003
StatTrak™ M4A4 | Magnesium (Factory New)@35.00@34.3
StatTrak™ AK-47 | Asiimov (Field-Tested)@64.72@63.425599999999996
StatTrak™ Desert Eagle | Mecha Industries (Field-Tested)@10.99@10.7702
StatTrak™ AWP | Neo-Noir (Battle-Scarred)@53.44@52.371199999999995
USP-S | Flashback (Well-Worn)@1.70@1.666
AWP | Neo-Noir (Battle-Scarred)@29.90@29.302
StatTrak™ MAC-10 | Pipe Down (Field-Tested)@0.77@0.7546
StatTrak™ G3SG1 | Scavenger (Field-Tested)@0.72@0.7056
★ StatTrak™ Stiletto Knife | Crimson Web (Field-Tested)@374.99@367.4902
AWP | Neo-Noir (Minimal Wear)@32.48@31.830399999999997
StatTrak™ USP-S | Flashback (Factory New)@3.70@3.626
StatTrak™ SG 553 | Danger Close (Factory New)@14.00@13.719999999999999
StatTrak™ MAC-10 | Pipe Down (Factory New)@20.00@19.6
StatTrak™ G3SG1 | Scavenger (Minimal Wear)@1.80@1.764
Galil AR | Signal (Well-Worn)@0.79@0.7742
StatTrak™ MP5-SD | Phosphor (Battle-Scarred)@6.56@6.4288
P250 | Nevermore (Well-Worn)@4.00@3.92
★ Talon Knife | Forest DDPAT (Battle-Scarred)@349.90@342.902
StatTrak™ Desert Eagle | Mecha Industries (Well-Worn)@10.99@10.7702
AK-47 | Asiimov (Well-Worn)@33.49@32.8202
Sticker | FURIA (Holo) | Katowice 2019@49.69@48.6962
Sticker | ableJ | Katowice 2019@1.00@0.98
Sticker | Aleksib | Katowice 2019@1.40@1.3719999999999999
Sticker | advent | Katowice 2019@2.10@2.058
Katowice 2019 Minor Challengers Autograph Capsule@8.99@8.8102
Katowice 2019 Returning Challengers Autograph Capsule@5.99@5.8702000000000005
Katowice 2019 Minor Challengers (Holo/Foil)@15.99@15.6702
Sticker | dupreeh | Katowice 2019@1.30@1.274
Sticker | JaCkz | Katowice 2019@1.50@1.47
Sticker | n0thing | Katowice 2019@0.60@0.588
Sticker | gla1ve | Katowice 2019@0.72@0.7056
Sticker | Brehze | Katowice 2019@0.70@0.6859999999999999
Katowice 2019 Legends Autograph Capsule@5.79@5.6742
Sticker | fer | Katowice 2019@0.82@0.8036
Sticker | kennyS (Foil) | Katowice 2019@55.55@54.43899999999999
Sticker | ENCE (Holo) | Katowice 2019@7.00@6.859999999999999
Sticker | Renegades (Holo) | Katowice 2019@1.14@1.1172
Sticker | ENCE | Katowice 2019@0.48@0.4704
Sticker | ShahZaM | Katowice 2019@0.58@0.5683999999999999
Sticker | REZ | Katowice 2019@0.76@0.7448
Sticker | G2 Esports | Katowice 2019@10.00@9.8
Sticker | Avangar (Holo) | Katowice 2019@6.00@5.88
Sticker | NRG (Holo) | Katowice 2019@1.54@1.5092
Sticker | yuurih | Katowice 2019@0.80@0.784
Sticker | electronic | Katowice 2019@2.00@1.96
Sticker | Kvik | Katowice 2019@1.00@0.98
Sticker | Liazz | Katowice 2019@0.22@0.21559999999999999
Sticker | wayLander | Katowice 2019@0.80@0.784
Sticker | Xyp9x | Katowice 2019@0.88@0.8623999999999999
Sticker | qikert | Katowice 2019@0.19@0.1862
Sticker | erkaSt | Katowice 2019@0.70@0.6859999999999999
Sticker | Magisk | Katowice 2019@0.80@0.784
Sticker | FURIA | Katowice 2019@4.00@3.92
Katowice 2019 Returning Challengers (Holo/Foil)@14.47@14.1806
Sticker | s1mple | Katowice 2019@8.00@7.84
Sticker | woxic | Katowice 2019@0.64@0.6272
Sticker | FaZe Clan | Katowice 2019@7.00@6.859999999999999
Sticker | Team Spirit | Katowice 2019@9.00@8.82
Sticker | smooya (Gold) | Katowice 2019@50.65@49.637
Sticker | DickStacy | Katowice 2019@40.00@39.2
Sticker | NiKo (Foil) | Katowice 2019@9.14@8.9572
★ StatTrak™ Talon Knife@699.99@685.9902
Sticker | MIBR (Holo) | Katowice 2019@4.00@3.92
Sticker | RpK (Foil) | Katowice 2019@13.00@12.74
Souvenir Sawed-Off | Brake Light (Minimal Wear)@2.00@1.96
★ Talon Knife | Night Stripe (Well-Worn)@327.90@321.342
Katowice 2019 Inferno Souvenir Package@14.00@13.719999999999999
Sticker | Golden (Gold) | Katowice 2019@69.32@67.9336
Sticker | rain (Gold) | Katowice 2019@133.59@130.9182
Sticker | ANGE1 (Gold) | Katowice 2019@100.19@98.1862
Sticker | allu (Gold) | Katowice 2019@59.00@57.82
Prisma Case@0.60@0.588
Tec-9 | Bamboozle (Field-Tested)@0.27@0.2646
Prisma Case Key@12.49@12.2402
AWP | Atheris (Battle-Scarred)@1.36@1.3328
Desert Eagle | Light Rail (Minimal Wear)@2.50@2.45
Galil AR | Akoben (Battle-Scarred)@0.40@0.392
AK-47 | Uncharted (Factory New)@1.10@1.078
MP5-SD | Gauss (Field-Tested)@0.79@0.7742
AK-47 | Uncharted (Minimal Wear)@0.36@0.3528
MAC-10 | Whitefish (Minimal Wear)@0.59@0.5781999999999999
AWP | Atheris (Factory New)@12.00@11.76
AWP | Atheris (Well-Worn)@1.96@1.9207999999999998
AK-47 | Uncharted (Field-Tested)@0.25@0.245
P90 | Off World (Factory New)@4.00@3.92
