name@price@price_after_sell
'Blueberries' Buckshot | NSWC SEAL@4.11@3.9045
★ Bowie Knife | Night (Battle-Scarred)@145.80@138.51
★ Bowie Knife | Night (Field-Tested)@149.80@142.31
★ Bowie Knife | Rust Coat (Battle-Scarred)@107.66@102.27699999999999
★ Bowie Knife | Safari Mesh (Battle-Scarred)@145.40@138.13
★ Bowie Knife | Safari Mesh (Field-Tested)@108.73@103.2935
★ Bowie Knife | Scorched (Battle-Scarred)@180.81@171.7695
★ Bowie Knife | Scorched (Field-Tested)@107.94@102.54299999999999
★ Bowie Knife | Scorched (Minimal Wear)@139.99@132.9905
★ Bowie Knife | Scorched (Well-Worn)@255.00@242.25
★ Bowie Knife | Slaughter (Factory New)@653.30@620.6349999999999
★ Bowie Knife | Slaughter (Field-Tested)@356.96@339.11199999999997
★ Bowie Knife | Slaughter (Minimal Wear)@400.00@380.0
★ Bowie Knife | Stained (Battle-Scarred)@162.49@154.3655
★ Bowie Knife | Stained (Field-Tested)@268.44@255.01799999999997
★ Bowie Knife | Tiger Tooth (Factory New)@324.44@308.21799999999996
★ Bowie Knife | Tiger Tooth (Minimal Wear)@410.00@389.5
★ Bowie Knife | Ultraviolet (Battle-Scarred)@124.89@118.6455
★ Bowie Knife | Ultraviolet (Factory New)@563.43@535.2584999999999
★ Bowie Knife | Ultraviolet (Field-Tested)@133.26@126.59699999999998
★ Bowie Knife | Ultraviolet (Minimal Wear)@194.84@185.09799999999998
★ Bowie Knife | Ultraviolet (Well-Worn)@159.66@151.677
★ Bowie Knife | Urban Masked (Field-Tested)@138.00@131.1
★ Bowie Knife | Urban Masked (Minimal Wear)@192.65@183.01749999999998
★ Bowie Knife | Urban Masked (Well-Worn)@190.85@181.30749999999998
★ Broken Fang Gloves | Jade (Battle-Scarred)@107.29@101.9255
★ Broken Fang Gloves | Jade (Field-Tested)@122.73@116.59349999999999
★ Broken Fang Gloves | Jade (Minimal Wear)@349.99@332.4905
★ Broken Fang Gloves | Jade (Well-Worn)@127.61@121.22949999999999
★ Broken Fang Gloves | Needle Point (Battle-Scarred)@62.91@59.76449999999999
★ Broken Fang Gloves | Needle Point (Field-Tested)@66.30@62.98499999999999
★ Broken Fang Gloves | Needle Point (Minimal Wear)@115.63@109.84849999999999
★ Broken Fang Gloves | Needle Point (Well-Worn)@62.56@59.432
★ Broken Fang Gloves | Unhinged (Battle-Scarred)@64.01@60.8095
★ Broken Fang Gloves | Unhinged (Factory New)@500.00@475.0
★ Broken Fang Gloves | Unhinged (Field-Tested)@67.98@64.581
★ Broken Fang Gloves | Unhinged (Minimal Wear)@136.09@129.28549999999998
★ Broken Fang Gloves | Unhinged (Well-Worn)@68.11@64.7045
★ Broken Fang Gloves | Yellow-banded (Battle-Scarred)@70.79@67.2505
★ Broken Fang Gloves | Yellow-banded (Field-Tested)@91.99@87.39049999999999
★ Broken Fang Gloves | Yellow-banded (Minimal Wear)@198.30@188.385
★ Broken Fang Gloves | Yellow-banded (Well-Worn)@82.00@77.89999999999999
★ Butterfly Knife@2099.99@1994.9904999999997
★ Butterfly Knife | Autotronic (Battle-Scarred)@1299.00@1234.05
★ Butterfly Knife | Autotronic (Factory New)@2700.00@2565.0
★ Butterfly Knife | Autotronic (Field-Tested)@1457.41@1384.5395
★ Butterfly Knife | Autotronic (Minimal Wear)@1922.98@1826.831
★ Butterfly Knife | Black Laminate (Battle-Scarred)@1238.49@1176.5655
★ Butterfly Knife | Black Laminate (Field-Tested)@1235.00@1173.25
★ Butterfly Knife | Black Laminate (Minimal Wear)@1290.83@1226.2884999999999
★ Butterfly Knife | Black Laminate (Well-Worn)@1129.79@1073.3004999999998
★ Butterfly Knife | Blue Steel (Battle-Scarred)@1105.00@1049.75
★ Butterfly Knife | Blue Steel (Factory New)@1500.00@1425.0
★ Butterfly Knife | Blue Steel (Field-Tested)@950.00@902.5
★ Butterfly Knife | Blue Steel (Minimal Wear)@1140.00@1083.0
★ Butterfly Knife | Blue Steel (Well-Worn)@1200.00@1140.0
★ Butterfly Knife | Boreal Forest (Battle-Scarred)@647.02@614.669
★ Butterfly Knife | Boreal Forest (Field-Tested)@618.96@588.0120000000001
★ Butterfly Knife | Boreal Forest (Minimal Wear)@950.00@902.5
★ Butterfly Knife | Boreal Forest (Well-Worn)@629.00@597.55
★ Butterfly Knife | Bright Water (Factory New)@1390.00@1320.5
★ Butterfly Knife | Bright Water (Field-Tested)@934.04@887.338
★ Butterfly Knife | Bright Water (Minimal Wear)@1094.53@1039.8035
★ Butterfly Knife | Bright Water (Well-Worn)@900.00@855.0
