name@price@price_after_sell
'Blueberries' Buckshot | NSWC SEAL@3.03@2.8785
Dual Berettas | Dualing Dragons (Minimal Wear)@0.26@0.247
Dual Berettas | Elite 1.6 (Battle-Scarred)@0.15@0.1425
Dual Berettas | Elite 1.6 (Factory New)@0.19@0.1805
Dual Berettas | Emerald (Factory New)@33.51@31.834499999999995
Dual Berettas | Flora Carnivora (Battle-Scarred)@0.37@0.3515
Dual Berettas | Flora Carnivora (Factory New)@1.66@1.577
Dual Berettas | Flora Carnivora (Field-Tested)@0.48@0.45599999999999996
Dual Berettas | Flora Carnivora (Minimal Wear)@0.86@0.817
Dual Berettas | Flora Carnivora (Well-Worn)@0.45@0.4275
Dual Berettas | Marina (Minimal Wear)@3.84@3.6479999999999997
Dual Berettas | Melondrama (Battle-Scarred)@0.96@0.9119999999999999
Dual Berettas | Melondrama (Field-Tested)@1.3@1.2349999999999999
Dual Berettas | Melondrama (Minimal Wear)@2.81@2.6694999999999998
Dual Berettas | Melondrama (Well-Worn)@1.0@0.95
Dual Berettas | Moon in Libra (Factory New)@2.36@2.242
Dual Berettas | Moon in Libra (Field-Tested)@2.14@2.033
Dual Berettas | Oil Change (Factory New)@0.33@0.3135
Dual Berettas | Panther (Factory New)@1.57@1.4915
