name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
AWP | Graphite (Factory New)@135.39@119.1432@156.38@148.56099999999998@skinport@shadowpay@13.17
AWP | Graphite (Minimal Wear)@120.0@105.6@161.95@153.8525@skinport@shadowpay@33.85
AWP | Gungnir (Field-Tested)@9301.86@8185.6368@10260.0@9747.0@skinport@shadowpay@445.14
AWP | Hyper Beast (Factory New)@73.7@64.85600000000001@88.49@84.06549999999999@skinport@shadowpay@10.37
AWP | Lightning Strike (Factory New)@506.33@445.5704@577.83@548.9385@skinport@shadowpay@42.61
AWP | Lightning Strike (Minimal Wear)@551.36@485.1968@658.94@625.993@skinport@shadowpay@74.63
AWP | Medusa (Battle-Scarred)@1669.69@1469.3272@2145.03@2037.7785@skinport@shadowpay@368.09
AWP | Medusa (Factory New)@4270.8@3758.304@5590.75@5311.2125@skinport@shadowpay@1040.41
AWP | Medusa (Field-Tested)@1850.0@1628.0@2238.04@2126.138@skinport@shadowpay@276.14
AWP | Medusa (Minimal Wear)@2233.8@1965.744@3009.6@2859.12@skinport@shadowpay@625.32
AWP | Medusa (Well-Worn)@1513.03@1331.4664@1933.95@1837.2525@skinport@shadowpay@324.22
AWP | Oni Taiji (Battle-Scarred)@144.82@127.4416@182.93@173.7835@skinport@shadowpay@28.96
AWP | Oni Taiji (Field-Tested)@208.55@183.524@246.74@234.403@skinport@shadowpay@25.85
AWP | Oni Taiji (Minimal Wear)@296.69@261.0872@325.79@309.5005@skinport@shadowpay@12.81
AWP | Oni Taiji (Well-Worn)@149.18@131.2784@210.0@199.5@skinport@shadowpay@50.32
AWP | Redline (Minimal Wear)@67.16@59.1008@81.51@77.4345@skinport@shadowpay@10.27
AWP | Silk Tiger (Factory New)@213.76@188.1088@242.52@230.394@skinport@shadowpay@16.63
AWP | Silk Tiger (Field-Tested)@130.89@115.1832@212.58@201.951@skinport@shadowpay@71.06
AWP | Silk Tiger (Minimal Wear)@189.0@166.32@214.35@203.6325@skinport@shadowpay@14.63
AWP | Snake Camo (Minimal Wear)@94.99@83.5912@133.65@126.9675@skinport@shadowpay@31.98
AWP | The Prince (Battle-Scarred)@2013.34@1771.7392@5028.98@4777.530999999999@skinport@shadowpay@2764.19
AWP | The Prince (Factory New)@3400.0@2992.0@3679.62@3495.639@skinport@shadowpay@95.64
AWP | The Prince (Field-Tested)@2030.65@1786.972@2603.7@2473.515@skinport@shadowpay@442.86
AWP | The Prince (Well-Worn)@1994.42@1755.0896@2350.0@2232.5@skinport@shadowpay@238.08
AWP | Wildfire (Factory New)@120.7@106.216@145.57@138.29149999999998@skinport@shadowpay@17.59
★ Bayonet | Autotronic (Battle-Scarred)@400.0@352.0@439.35@417.3825@skinport@shadowpay@17.38
★ Bayonet | Autotronic (Factory New)@842.09@741.0392@1100.29@1045.2755@skinport@shadowpay@203.19
★ Bayonet | Autotronic (Field-Tested)@450.0@396.0@502.5@477.375@skinport@shadowpay@27.38
★ Bayonet | Autotronic (Minimal Wear)@536.79@472.3752@614.05@583.3475@skinport@shadowpay@46.56
★ Bayonet | Autotronic (Well-Worn)@498.71@438.8648@615.39@584.6205@skinport@shadowpay@85.91
★ Bayonet | Blue Steel (Field-Tested)@331.57@291.7816@449.75@427.2625@skinport@shadowpay@95.69
★ Bayonet | Blue Steel (Minimal Wear)@365.0@321.2@446.2@423.89@skinport@shadowpay@58.89
★ Bayonet | Blue Steel (Well-Worn)@321.67@283.06960000000004@352.93@335.2835@skinport@shadowpay@13.61
★ Bayonet | Boreal Forest (Field-Tested)@212.29@186.8152@235.61@223.8295@skinport@shadowpay@11.54
★ Bayonet | Boreal Forest (Well-Worn)@225.02@198.0176@279.14@265.183@skinport@shadowpay@40.16
★ Bayonet | Bright Water (Factory New)@311.16@273.8208@377.7@358.815@skinport@shadowpay@47.65
★ Bayonet | Bright Water (Minimal Wear)@310.52@273.2576@341.7@324.61499999999995@skinport@shadowpay@14.09
★ Bayonet | Case Hardened (Well-Worn)@333.14@293.1632@383.8@364.61@skinport@shadowpay@31.47
★ Bayonet | Crimson Web (Battle-Scarred)@253.85@223.388@328.99@312.5405@skinport@shadowpay@58.69
★ Bayonet | Crimson Web (Minimal Wear)@465.0@409.2@545.4@518.13@skinport@shadowpay@53.13
★ Bayonet | Crimson Web (Well-Worn)@304.26@267.7488@359.82@341.82899999999995@skinport@shadowpay@37.57
★ Bayonet | Damascus Steel (Battle-Scarred)@308.25@271.26@361.87@343.7765@skinport@shadowpay@35.53
★ Bayonet | Damascus Steel (Factory New)@346.56@304.9728@383.33@364.1635@skinport@shadowpay@17.6
★ Bayonet | Damascus Steel (Field-Tested)@284.26@250.1488@317.29@301.4255@skinport@shadowpay@17.17
★ Bayonet | Damascus Steel (Minimal Wear)@299.76@263.7888@407.13@386.7735@skinport@shadowpay@87.01
★ Bayonet | Doppler (Factory New)@623.0@548.24@753.89@716.1954999999999@skinport@shadowpay@93.2
★ Bayonet | Doppler (Factory New)@623.0@548.24@899.23@854.2685@skinport@shadowpay@231.27
★ Bayonet | Doppler (Factory New)@623.0@548.24@753.88@716.1859999999999@skinport@shadowpay@93.19
★ Bayonet | Doppler (Factory New)@623.0@548.24@767.6@729.22@skinport@shadowpay@106.22
★ Bayonet | Doppler (Factory New)@623.0@548.24@3703.2@3518.0399999999995@skinport@shadowpay@2895.04
★ Bayonet | Doppler (Factory New)@623.0@548.24@3217.5@3056.625@skinport@shadowpay@2433.62
★ Bayonet | Doppler (Factory New)@623.0@548.24@725.8@689.5099999999999@skinport@shadowpay@66.51
★ Bayonet | Doppler (Minimal Wear)@719.99@633.5912@945.0@897.75@skinport@shadowpay@177.76
★ Bayonet | Doppler (Minimal Wear)@719.99@633.5912@888.0@843.5999999999999@skinport@shadowpay@123.61
★ Bayonet | Doppler (Minimal Wear)@719.99@633.5912@819.99@778.9905@skinport@shadowpay@59.0
★ Bayonet | Doppler (Minimal Wear)@719.99@633.5912@3120.0@2964.0@skinport@shadowpay@2244.01
★ Bayonet | Fade (Factory New)@666.49@586.5112@775.0@736.25@skinport@shadowpay@69.76
★ Bayonet | Forest DDPAT (Minimal Wear)@220.9@194.392@281.37@267.3015@skinport@shadowpay@46.4
★ Bayonet | Freehand (Factory New)@340.54@299.6752@390.05@370.5475@skinport@shadowpay@30.01
★ Bayonet | Freehand (Field-Tested)@280.59@246.9192@313.5@297.825@skinport@shadowpay@17.24
★ Bayonet | Freehand (Minimal Wear)@313.54@275.9152@345.6@328.32@skinport@shadowpay@14.78
★ Bayonet | Freehand (Well-Worn)@240.31@211.4728@305.01@289.7595@skinport@shadowpay@49.45
★ Bayonet | Gamma Doppler (Factory New)@824.91@725.9208@1146.0@1088.7@skinport@shadowpay@263.79
★ Bayonet | Gamma Doppler (Factory New)@824.91@725.9208@1145.99@1088.6905@skinport@shadowpay@263.78
★ Bayonet | Gamma Doppler (Factory New)@824.91@725.9208@3850.0@3657.5@skinport@shadowpay@2832.59
★ Bayonet | Gamma Doppler (Minimal Wear)@1000.0@880.0@1099.99@1044.9905@skinport@shadowpay@44.99
★ Bayonet | Gamma Doppler (Minimal Wear)@1000.0@880.0@1100.0@1045.0@skinport@shadowpay@45.0
★ Bayonet | Lore (Battle-Scarred)@332.4@292.512@387.7@368.315@skinport@shadowpay@35.92
★ Bayonet | Lore (Field-Tested)@410.0@360.8@478.33@454.4135@skinport@shadowpay@44.41
★ Bayonet | Lore (Well-Worn)@402.64@354.3232@691.02@656.4689999999999@skinport@shadowpay@253.83
★ Bayonet | Marble Fade (Factory New)@580.0@510.4@651.45@618.8775@skinport@shadowpay@38.88
★ Bayonet | Night (Minimal Wear)@322.0@283.36@351.77@334.1815@skinport@shadowpay@12.18
★ Bayonet | Night (Well-Worn)@250.0@220.0@300.0@285.0@skinport@shadowpay@35.0
★ Bayonet | Rust Coat (Battle-Scarred)@222.18@195.5184@257.71@244.8245@skinport@shadowpay@22.64
★ Bayonet | Safari Mesh (Field-Tested)@192.0@168.96@217.5@206.625@skinport@shadowpay@14.62
★ Bayonet | Safari Mesh (Minimal Wear)@217.81@191.6728@244.23@232.0185@skinport@shadowpay@14.21
★ Bayonet | Scorched (Battle-Scarred)@184.66@162.5008@229.99@218.4905@skinport@shadowpay@33.83
★ Bayonet | Slaughter (Factory New)@554.0@487.52@683.0@648.85@skinport@shadowpay@94.85
★ Bayonet | Slaughter (Field-Tested)@473.73@416.8824@519.26@493.297@skinport@shadowpay@19.57
★ Bayonet | Stained (Well-Worn)@230.46@202.8048@277.64@263.758@skinport@shadowpay@33.3
★ Bayonet | Tiger Tooth (Factory New)@500.0@440.0@575.29@546.5255@skinport@shadowpay@46.53
★ Bayonet | Tiger Tooth (Minimal Wear)@553.34@486.9392@698.95@664.0025@skinport@shadowpay@110.66
★ Bayonet | Ultraviolet (Field-Tested)@235.32@207.0816@270.0@256.5@skinport@shadowpay@21.18
★ Bayonet | Ultraviolet (Minimal Wear)@317.86@279.71680000000003@385.07@365.8165@skinport@shadowpay@47.96
Berlin 2019 Inferno Souvenir Package@11.0@9.68@24.0@22.8@skinport@shadowpay@11.8
Berlin 2019 Train Souvenir Package@17.99@15.8312@34.3@32.584999999999994@skinport@shadowpay@14.59
★ Bloodhound Gloves | Charred (Factory New)@992.76@873.6288@1100.0@1045.0@skinport@shadowpay@52.24
★ Bloodhound Gloves | Charred (Minimal Wear)@248.0@218.24@339.16@322.202@skinport@shadowpay@74.2
★ Bloodhound Gloves | Snakebite (Field-Tested)@80.49@70.8312@96.56@91.732@skinport@shadowpay@11.24
★ Bloodhound Gloves | Snakebite (Minimal Wear)@128.88@113.4144@148.11@140.7045@skinport@shadowpay@11.82
Boston 2018 Minor Challengers (Holo-Foil)@180.0@158.4@262.59@249.4605@skinport@shadowpay@69.46
★ Bowie Knife@177.65@156.332@204.54@194.313@skinport@shadowpay@16.66
★ Bowie Knife | Autotronic (Factory New)@313.84@276.1792@422.74@401.603@skinport@shadowpay@87.76
★ Bowie Knife | Autotronic (Minimal Wear)@210.52@185.2576@233.5@221.825@skinport@shadowpay@11.3
