name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
AK-47 | Predator (Factory New)@63.41@62.1418@85.0@74.8@csdeals@skinport@11.39
★ StatTrak™ M9 Bayonet | Black Laminate (Field-Tested)@849.99@832.9902@1113.12@979.5456@csdeals@skinport@129.56
★ StatTrak™ Butterfly Knife | Damascus Steel (Field-Tested)@1139.99@1117.1902@1500.0@1320.0@csdeals@skinport@180.01
Five-SeveN | Hyper Beast (Field-Tested)@28.99@28.4102@200.0@176.0@csdeals@skinport@147.01
Sticker | dimasick | Boston 2018@19.99@19.5902@59.31@52.192800000000005@csdeals@skinport@32.2
Sticker | Hobbit (Foil) | Boston 2018@20.0@19.6@37.92@33.3696@csdeals@skinport@13.37
Sticker | Stewie2K (Foil) | Boston 2018@49.49@48.5002@215.0@189.2@csdeals@skinport@139.71
Sticker | RpK (Foil) | Boston 2018@15.1@14.798@119.23@104.9224@csdeals@skinport@89.82
Sticker | tarik | London 2018@1.72@1.6856@16.86@14.8368@csdeals@skinport@13.12
Sticker | device | London 2018@14.99@14.6902@51.47@45.2936@csdeals@skinport@30.3
Sticker | Magisk | London 2018@8.99@8.8102@28.59@25.1592@csdeals@skinport@16.17
Sticker | MICHU | London 2018@5.99@5.8702000000000005@20.85@18.348000000000003@csdeals@skinport@12.36
Sticker | aizy (Gold) | London 2018@295.15@289.247@576.8@507.584@csdeals@skinport@212.43
Sticker | FugLy (Foil) | Katowice 2019@19.99@19.5902@36.37@32.0056@csdeals@skinport@12.02
Sticker | wayLander (Foil) | Katowice 2019@19.99@19.5902@45.73@40.2424@csdeals@skinport@20.25
Sticker | rain (Foil) | Katowice 2019@24.99@24.4902@89.84@79.0592@csdeals@skinport@54.07
Sticker | n0rb3r7 (Foil) | Katowice 2019@19.99@19.5902@142.83@125.6904@csdeals@skinport@105.7
Sticker | dupreeh (Gold) | Katowice 2019@74.99@73.49019999999999@96.72@85.1136@csdeals@skinport@10.12
Sticker | erkaSt (Foil) | Katowice 2019@11.99@11.7502@27.27@23.9976@csdeals@skinport@12.01
★ Ursus Knife | Rust Coat (Battle-Scarred)@165.0@161.7@216.99@190.9512@csdeals@skinport@25.95
★ StatTrak™ Talon Knife | Fade (Minimal Wear)@1499.99@1469.9902@1845.12@1623.7056@csdeals@skinport@123.72
Sticker | Hot Wings (Holo)@3.0@2.94@19.67@17.309600000000003@csdeals@skinport@14.31
Sticker | oBo (Foil) | Berlin 2019@1.07@1.0486@16.18@14.2384@csdeals@skinport@13.17
★ Classic Knife | Fade (Minimal Wear)@799.99@783.9902@1000.0@880.0@csdeals@skinport@80.01
SSG 08 | Sea Calico (Factory New)@449.99@440.9902@832.11@732.2568@csdeals@skinport@282.27
SCAR-20 | Brass (Factory New)@149.99@146.99020000000002@185.0@162.8@csdeals@skinport@12.81
★ Nomad Knife | Safari Mesh (Field-Tested)@175.0@171.5@216.9@190.872@csdeals@skinport@15.87
★ StatTrak™ Nomad Knife | Case Hardened (Minimal Wear)@879.88@862.2823999999999@3999.99@3519.9912@csdeals@skinport@2640.11
SSG 08 | Threat Detected (Battle-Scarred)@30.74@30.1252@86.72@76.3136@csdeals@skinport@45.57
SSG 08 | Jungle Dashed (Factory New)@8.0@7.84@34.25@30.14@csdeals@skinport@22.14
Sealed Graffiti | Recoil PP-Bizon (Shark White)@7.5@7.35@22.31@19.6328@csdeals@skinport@12.13
StatTrak™ Desert Eagle | Ocean Drive (Factory New)@399.99@391.9902@490.0@431.2@csdeals@skinport@31.21
Souvenir Tec-9 | Blast From the Past (Well-Worn)@5.94@5.8212@60.0@52.8@csdeals@skinport@46.86
Sticker | rigoN (Gold) | Antwerp 2022@2.15@2.107@17.98@15.8224@csdeals@skinport@13.67
