name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
Desert Eagle | Printstream (Minimal Wear)@43.8@38.544@60.25@59.045@skinport@csdeals@15.25
Desert Eagle | Starcade (Field-Tested)@44.0@38.72@99.0@97.02@skinport@csdeals@53.02
Desert Eagle | Sunset Storm 壱 (Factory New)@334.51@294.3688@365.0@357.7@skinport@csdeals@23.19
Desert Eagle | Sunset Storm 壱 (Field-Tested)@294.73@259.36240000000004@400.0@392.0@skinport@csdeals@97.27
Desert Eagle | Sunset Storm 弐 (Factory New)@330.0@290.4@359.99@352.7902@skinport@csdeals@22.79
Desert Eagle | Trigger Discipline (Minimal Wear)@1.4@1.232@20.0@19.6@skinport@csdeals@18.2
DreamHack Cluj-Napoca 2015 Legends (Foil)@17.63@15.514399999999998@38.35@37.583@skinport@csdeals@19.95
★ Driver Gloves | Black Tie (Battle-Scarred)@160.0@140.8@200.0@196.0@skinport@csdeals@36.0
★ Driver Gloves | Black Tie (Minimal Wear)@552.58@486.27040000000005@579.0@567.42@skinport@csdeals@14.84
★ Driver Gloves | Diamondback (Minimal Wear)@310.83@273.5304@449.99@440.9902@skinport@csdeals@130.16
★ Driver Gloves | Imperial Plaid (Field-Tested)@322.33@283.6504@525.0@514.5@skinport@csdeals@192.17
★ Driver Gloves | King Snake (Field-Tested)@315.0@277.2@525.0@514.5@skinport@csdeals@199.5
★ Driver Gloves | King Snake (Minimal Wear)@1105.16@972.5408@1753.53@1718.4594@skinport@csdeals@613.3
★ Driver Gloves | Overtake (Field-Tested)@108.72@95.6736@150.0@147.0@skinport@csdeals@38.28
★ Driver Gloves | Queen Jaguar (Field-Tested)@116.59@102.5992@145.0@142.1@skinport@csdeals@25.51
★ Driver Gloves | Snow Leopard (Field-Tested)@470.66@414.1808@699.99@685.9902@skinport@csdeals@215.33
Dual Berettas | Black Limba (Factory New)@17.5@15.4@60.0@58.8@skinport@csdeals@41.3
Dual Berettas | Dualing Dragons (Factory New)@1.74@1.5312@12.0@11.76@skinport@csdeals@10.02
Dual Berettas | Duelist (Factory New)@169.25@148.94@200.0@196.0@skinport@csdeals@26.75
Dual Berettas | Marina (Factory New)@24.99@21.9912@45.0@44.1@skinport@csdeals@19.11
Dual Berettas | Panther (Factory New)@3.2@2.8160000000000003@22.0@21.56@skinport@csdeals@18.36
Dual Berettas | Royal Consorts (Factory New)@2.98@2.6224@26.0@25.48@skinport@csdeals@22.5
ESL One Cologne 2014 Challengers@63.62@55.9856@79.99@78.3902@skinport@csdeals@14.77
ESL One Cologne 2014 Cobblestone Souvenir Package@1799.0@1583.12@2049.0@2008.02@skinport@csdeals@209.02
ESL One Cologne 2015 Cobblestone Souvenir Package@1420.0@1249.6@2299.0@2253.02@skinport@csdeals@833.02
ESL One Katowice 2015 Cobblestone Souvenir Package@1564.1@1376.408@2099.0@2057.02@skinport@csdeals@492.92
eSports 2013 Case@69.0@60.72@99.99@97.9902@skinport@csdeals@28.99
★ Falchion Knife | Crimson Web (Field-Tested)@179.32@157.8016@199.99@195.9902@skinport@csdeals@16.67
★ Falchion Knife | Fade (Factory New)@376.58@331.3904@460.3@451.094@skinport@csdeals@74.51
★ Falchion Knife | Lore (Factory New)@278.19@244.8072@310.0@303.8@skinport@csdeals@25.61
★ Falchion Knife | Lore (Minimal Wear)@236.61@208.2168@275.0@269.5@skinport@csdeals@32.89
★ Falchion Knife | Marble Fade (Factory New)@307.74@270.8112@350.0@343.0@skinport@csdeals@35.26
★ Falchion Knife | Night (Field-Tested)@145.45@127.996@160.0@156.8@skinport@csdeals@11.35
★ Falchion Knife | Rust Coat (Battle-Scarred)@131.0@115.28@155.0@151.9@skinport@csdeals@20.9
★ Falchion Knife | Slaughter (Factory New)@320.28@281.8464@360.0@352.8@skinport@csdeals@32.52
★ Falchion Knife | Tiger Tooth (Factory New)@244.52@215.1776@300.0@294.0@skinport@csdeals@49.48
★ Falchion Knife | Urban Masked (Minimal Wear)@156.22@137.4736@170.0@166.6@skinport@csdeals@10.38
FAMAS | Eye of Athena (Factory New)@12.17@10.7096@34.9@34.202@skinport@csdeals@22.03
FAMAS | Prime Conspiracy (Minimal Wear)@78.34@68.9392@135.35@132.643@skinport@csdeals@54.3
FAMAS | Sundown (Factory New)@133.54@117.5152@150.0@147.0@skinport@csdeals@13.46
FAMAS | Waters of Nephthys (Factory New)@99.0@87.12@250.0@245.0@skinport@csdeals@146.0
Five-SeveN | Berries And Cherries (Factory New)@77.36@68.0768@99.99@97.9902@skinport@csdeals@20.63
Five-SeveN | Berries And Cherries (Minimal Wear)@83.05@73.084@137.19@134.4462@skinport@csdeals@51.4
Five-SeveN | Copper Galaxy (Minimal Wear)@6.33@5.5704@23.0@22.54@skinport@csdeals@16.21
Five-SeveN | Fall Hazard (Factory New)@233.26@205.2688@450.0@441.0@skinport@csdeals@207.74
