name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
Souvenir Galil AR | Hunting Blind (Minimal Wear)@2.19@2.0805@500.0@490.0@shadowpay@csdeals@487.81
MAC-10 | Heat (Factory New)@9.93@9.4335@25.0@24.5@shadowpay@csdeals@14.57
Sticker | Vox Eminor  | Katowice 2015@83.3@79.13499999999999@150.0@147.0@shadowpay@csdeals@63.7
PP-Bizon | Brass (Factory New)@1.66@1.577@17.0@16.66@shadowpay@csdeals@15.0
StatTrak™ Galil AR | Kami (Factory New)@6.28@5.966@32.0@31.36@shadowpay@csdeals@25.08
Sawed-Off | Highwayman (Factory New)@2.52@2.394@15.0@14.7@shadowpay@csdeals@12.18
P90 | Blind Spot (Minimal Wear)@8.44@8.017999999999999@21.0@20.58@shadowpay@csdeals@12.14
Negev | Bratatat (Factory New)@8.96@8.512@27.0@26.46@shadowpay@csdeals@17.5
CZ75-Auto | Pole Position (Factory New)@2.92@2.774@20.0@19.6@shadowpay@csdeals@16.68
MAG-7 | Firestarter (Factory New)@4.04@3.838@20.0@19.6@shadowpay@csdeals@15.56
CZ75-Auto | Tuxedo (Factory New)@1.59@1.5105@16.0@15.68@shadowpay@csdeals@14.09
Tec-9 | Red Quartz (Factory New)@0.14@0.133@12.0@11.76@shadowpay@csdeals@11.62
Five-SeveN | Nightshade (Factory New)@2.2@2.09@25.0@24.5@shadowpay@csdeals@22.3
MP7 | Skulls (Minimal Wear)@27.37@26.0015@40.0@39.2@shadowpay@csdeals@11.83
P90 | Teardown (Factory New)@1.03@0.9785@13.0@12.74@shadowpay@csdeals@11.71
Five-SeveN | Kami (Minimal Wear)@1.84@1.748@6666.0@6532.68@shadowpay@csdeals@6530.84
Nova | Green Apple (Factory New)@21.4@20.33@70.0@68.6@shadowpay@csdeals@47.2
UMP-45 | Riot (Factory New)@0.41@0.3894999999999999@18.0@17.64@shadowpay@csdeals@17.23
Nova | Ghost Camo (Factory New)@2.35@2.2325@15.0@14.7@shadowpay@csdeals@12.35
Galil AR | Sandstorm (Minimal Wear)@3.35@3.1825@16.0@15.68@shadowpay@csdeals@12.33
MAC-10 | Candy Apple (Field-Tested)@0.3@0.285@25.0@24.5@shadowpay@csdeals@24.2
