name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
★ StatTrak™ Bowie Knife | Crimson Web (Field-Tested)@241.23@229.1685@352.61@310.2968@shadowpay@skinport@69.07
Sticker | FaZe Clan (Foil) | MLG Columbus 2016@75.59@71.8105@181.54@159.7552@shadowpay@skinport@84.17
Sticker | jasonR (Foil) | MLG Columbus 2016@27.24@25.878@55.0@48.4@shadowpay@skinport@21.16
Sticker | aizy (Foil) | MLG Columbus 2016@14.59@13.8605@71.85@63.228@shadowpay@skinport@48.64
Sticker | DEVIL (Foil) | MLG Columbus 2016@27.16@25.802@51.89@45.6632@shadowpay@skinport@18.5
Sticker | pyth (Foil) | MLG Columbus 2016@12.61@11.979499999999998@29.77@26.1976@shadowpay@skinport@13.59
Sticker | Professor_Chaos | MLG Columbus 2016@5.42@5.149@18.54@16.3152@shadowpay@skinport@10.9
Sticker | abE | MLG Columbus 2016@6.32@6.004@33.99@29.9112@shadowpay@skinport@23.59
Sticker | n0thing | MLG Columbus 2016@14.7@13.964999999999998@30.89@27.1832@shadowpay@skinport@12.48
Sticker | karrigan | MLG Columbus 2016@5.84@5.548@35.46@31.2048@shadowpay@skinport@25.36
MLG Columbus 2016 Cobblestone Souvenir Package@1350.0@1282.5@1545.61@1360.1368@shadowpay@skinport@10.14
StatTrak™ P250 | Asiimov (Minimal Wear)@78.23@74.3185@119.02@104.7376@shadowpay@skinport@26.51
Souvenir M4A1-S | Master Piece (Minimal Wear)@217.79@206.9005@387.67@341.1496@shadowpay@skinport@123.36
★ StatTrak™ Bayonet | Black Laminate (Well-Worn)@325.0@308.75@507.66@446.7408@shadowpay@skinport@121.74
Sticker | TaZ | Cologne 2016@4.14@3.933@28.7@25.256@shadowpay@skinport@21.12
Sticker | aizy | Cologne 2016@12.97@12.3215@41.51@36.5288@shadowpay@skinport@23.56
Sticker | Snax | Cologne 2016@14.7@13.964999999999998@33.61@29.5768@shadowpay@skinport@14.88
