name@price@price_after_sell
FAMAS | Teardown (Field-Tested)@0.49@0.48019999999999996
FAMAS | Teardown (Minimal Wear)@0.75@0.735
FAMAS | Valence (Field-Tested)@5.00@4.9
FAMAS | Valence (Minimal Wear)@4.85@4.752999999999999
FAMAS | Valence (Well-Worn)@5.00@4.9
Falchion Case@1.69@1.6562
Falchion Case Key@9.64@9.4472
Five-SeveN | Candy Apple (Factory New)@90.00@88.2
Five-SeveN | Candy Apple (Minimal Wear)@119.71@117.3158
Five-SeveN | Case Hardened (Battle-Scarred)@10.63@10.4174
Five-SeveN | Case Hardened (Field-Tested)@10.49@10.2802
Five-SeveN | Case Hardened (Minimal Wear)@13.01@12.749799999999999
Five-SeveN | Case Hardened (Well-Worn)@10.96@10.7408
Five-SeveN | Contractor (Minimal Wear)@3.92@3.8415999999999997
Five-SeveN | Copper Galaxy (Field-Tested)@6.32@6.1936
Five-SeveN | Copper Galaxy (Minimal Wear)@23.00@22.54
Five-SeveN | Forest Night (Battle-Scarred)@0.02@0.0196
Five-SeveN | Fowl Play (Minimal Wear)@10.00@9.8
Five-SeveN | Hot Shot (Battle-Scarred)@2.51@2.4597999999999995
Five-SeveN | Hot Shot (Field-Tested)@3.00@2.94
Five-SeveN | Hot Shot (Well-Worn)@3.00@2.94
Five-SeveN | Jungle (Well-Worn)@3.90@3.822
Five-SeveN | Kami (Field-Tested)@1.42@1.3916
Five-SeveN | Kami (Minimal Wear)@6666.00@6532.68
Five-SeveN | Monkey Business (Field-Tested)@3.00@2.94
Five-SeveN | Monkey Business (Minimal Wear)@33.00@32.339999999999996
Five-SeveN | Neon Kimono (Factory New)@359.99@352.7902
Five-SeveN | Nightshade (Factory New)@25.00@24.5
Five-SeveN | Orange Peel (Factory New)@4.50@4.41
Five-SeveN | Orange Peel (Minimal Wear)@0.50@0.49
Five-SeveN | Silver Quartz (Factory New)@3.00@2.94
Five-SeveN | Silver Quartz (Field-Tested)@1.60@1.568
Five-SeveN | Triumvirate (Minimal Wear)@3.34@3.2731999999999997
Five-SeveN | Urban Hazard (Factory New)@8.00@7.84
Five-SeveN | Violent Daimyo (Factory New)@6.00@5.88
Five-SeveN | Violent Daimyo (Field-Tested)@0.25@0.245
