name@price@price_after_sell
10 Year Birthday Sticker Capsule@0.72@0.6335999999999999
1st Lieutenant Farlow | SWAT@6.22@5.4736
AK-47 | Phantom Disruptor (Battle-Scarred)@3.44@3.0272
AK-47 | Phantom Disruptor (Factory New)@12.0@10.56
AK-47 | Phantom Disruptor (Field-Tested)@4.16@3.6608
AK-47 | Phantom Disruptor (Minimal Wear)@6.2@5.456
AK-47 | Phantom Disruptor (Well-Worn)@4.96@4.3648
AK-47 | Point Disarray (Battle-Scarred)@10.85@9.548
AK-47 | Point Disarray (Factory New)@32.58@28.670399999999997
AK-47 | Point Disarray (Field-Tested)@10.76@9.4688
AK-47 | Point Disarray (Minimal Wear)@17.41@15.3208
AK-47 | Point Disarray (Well-Worn)@13.75@12.1
AK-47 | Predator (Battle-Scarred)@27.64@24.3232
AK-47 | Predator (Factory New)@85.0@74.8
AK-47 | Predator (Field-Tested)@19.28@16.9664
AK-47 | Predator (Minimal Wear)@22.57@19.8616
AK-47 | Predator (Well-Worn)@20.26@17.8288
AK-47 | Rat Rod (Battle-Scarred)@3.25@2.86
AK-47 | Rat Rod (Factory New)@19.04@16.7552
AK-47 | Rat Rod (Field-Tested)@3.62@3.1856
AK-47 | Rat Rod (Minimal Wear)@5.5@4.84
AK-47 | Rat Rod (Well-Worn)@4.18@3.6784
AK-47 | Red Laminate (Battle-Scarred)@59.49@52.3512
AK-47 | Red Laminate (Factory New)@345.36@303.9168
AK-47 | Red Laminate (Field-Tested)@55.26@48.6288
AK-47 | Red Laminate (Minimal Wear)@90.46@79.6048
AK-47 | Red Laminate (Well-Worn)@67.9@59.752
AK-47 | Redline (Battle-Scarred)@27.15@23.892
AK-47 | Redline (Field-Tested)@33.8@29.743999999999996
AK-47 | Redline (Minimal Wear)@145.55@128.084
AK-47 | Redline (Well-Worn)@27.26@23.9888
AK-47 | Safari Mesh (Battle-Scarred)@0.07@0.06160000000000001
AK-47 | Safari Mesh (Factory New)@2.0@1.76
AK-47 | Safari Mesh (Field-Tested)@0.06@0.0528
AK-47 | Safari Mesh (Minimal Wear)@0.14@0.12320000000000002
AK-47 | Safari Mesh (Well-Worn)@0.07@0.06160000000000001
AK-47 | Safety Net (Battle-Scarred)@3.11@2.7368
AK-47 | Safety Net (Factory New)@6.24@5.4912
AK-47 | Safety Net (Field-Tested)@2.69@2.3672
AK-47 | Safety Net (Minimal Wear)@3.96@3.4848
AK-47 | Safety Net (Well-Worn)@3.5@3.08
AK-47 | Slate (Battle-Scarred)@2.81@2.4728
AK-47 | Slate (Factory New)@12.91@11.3608
AK-47 | Slate (Field-Tested)@3.57@3.1416
AK-47 | Slate (Minimal Wear)@5.55@4.8839999999999995
AK-47 | Slate (Well-Worn)@2.79@2.4552
AK-47 | Steel Delta (Battle-Scarred)@1.9@1.672
AK-47 | Steel Delta (Factory New)@2.96@2.6048
AK-47 | Steel Delta (Field-Tested)@1.42@1.2496
AK-47 | Steel Delta (Minimal Wear)@2.0@1.76
AK-47 | Steel Delta (Well-Worn)@1.82@1.6016000000000001
AK-47 | The Empress (Battle-Scarred)@30.35@26.708000000000002
AK-47 | The Empress (Factory New)@140.0@123.2
AK-47 | The Empress (Field-Tested)@35.12@30.905599999999996
AK-47 | The Empress (Minimal Wear)@53.44@47.0272
AK-47 | The Empress (Well-Worn)@30.92@27.209600000000002
AK-47 | The Outsiders (Battle-Scarred)@7.9@6.952
AK-47 | The Outsiders (Factory New)@63.52@55.897600000000004
AK-47 | The Outsiders (Field-Tested)@8.6@7.568
AK-47 | The Outsiders (Minimal Wear)@17.0@14.96
AK-47 | The Outsiders (Well-Worn)@8.05@7.0840000000000005
AK-47 | Uncharted (Battle-Scarred)@0.37@0.3256
AK-47 | Uncharted (Factory New)@1.15@1.012
AK-47 | Uncharted (Field-Tested)@0.33@0.2904
AK-47 | Uncharted (Minimal Wear)@0.56@0.49280000000000007
AK-47 | Uncharted (Well-Worn)@0.81@0.7128000000000001
AK-47 | VariCamo Grey (Battle-Scarred)@@
AK-47 | VariCamo Grey (Factory New)@@
AK-47 | VariCamo Grey (Field-Tested)@@
AK-47 | VariCamo Grey (Minimal Wear)@@
AK-47 | Vulcan (Battle-Scarred)@129.35@113.82799999999999
AK-47 | Vulcan (Factory New)@736.76@648.3488
AK-47 | Vulcan (Field-Tested)@219.01@192.7288
AK-47 | Vulcan (Minimal Wear)@458.58@403.55039999999997
AK-47 | Vulcan (Well-Worn)@159.09@139.9992
AK-47 | Wasteland Rebel (Battle-Scarred)@37.4@32.912
AK-47 | Wasteland Rebel (Factory New)@205.0@180.4
AK-47 | Wasteland Rebel (Field-Tested)@35.0@30.8
AK-47 | Wasteland Rebel (Minimal Wear)@59.55@52.403999999999996
