name@price@price_after_sell
★ StatTrak™ Bayonet | Case Hardened (Field-Tested)@493.73@469.0435
★ StatTrak™ Butterfly Knife | Crimson Web (Field-Tested)@1395.73@1325.9434999999999
★ StatTrak™ Butterfly Knife | Night (Well-Worn)@1302.72@1237.584
★ StatTrak™ Butterfly Knife | Blue Steel (Well-Worn)@1245.0@1182.75
★ StatTrak™ Huntsman Knife | Crimson Web (Battle-Scarred)@263.79@250.6005
★ Bayonet | Damascus Steel (Well-Worn)@405.51@385.23449999999997
★ StatTrak™ Bayonet | Blue Steel (Field-Tested)@462.62@439.489
★ Huntsman Knife | Slaughter (Minimal Wear)@359.99@341.9905
★ M9 Bayonet | Case Hardened (Minimal Wear)@1005.0@954.75
★ Bayonet | Damascus Steel (Factory New)@383.33@364.16349999999994
★ Bayonet | Slaughter (Field-Tested)@519.26@493.29699999999997
M4A1-S | Hot Rod (Factory New)@1244.0@1181.8
★ Butterfly Knife | Safari Mesh (Factory New)@1087.3@1032.935
★ Butterfly Knife | Night (Minimal Wear)@1260.0@1197.0
★ StatTrak™ Flip Knife | Damascus Steel (Factory New)@297.89@282.9955
★ Falchion Knife | Case Hardened (Factory New)@431.0@409.45
★ Falchion Knife | Fade (Factory New)@412.5@391.875
★ StatTrak™ M9 Bayonet | Case Hardened (Well-Worn)@960.0@912.0
★ StatTrak™ Butterfly Knife | Case Hardened (Well-Worn)@1374.36@1305.6419999999998
★ Bayonet | Ultraviolet (Minimal Wear)@385.07@365.81649999999996
MP9 | Bulldozer (Factory New)@973.2@924.54
★ Falchion Knife | Blue Steel (Factory New)@338.23@321.31850000000003
StatTrak™ AK-47 | Aquamarine Revenge (Minimal Wear)@164.89@156.64549999999997
★ StatTrak™ Huntsman Knife | Blue Steel (Minimal Wear)@420.0@399.0
★ Karambit | Ultraviolet (Battle-Scarred)@869.99@826.4905
★ Bayonet | Damascus Steel (Minimal Wear)@407.13@386.77349999999996
★ StatTrak™ Karambit | Urban Masked (Field-Tested)@822.56@781.4319999999999
★ StatTrak™ Huntsman Knife | Blue Steel (Field-Tested)@288.02@273.61899999999997
★ StatTrak™ Bayonet | Ultraviolet (Battle-Scarred)@380.95@361.9025
★ Karambit | Scorched (Minimal Wear)@1028.33@976.9134999999999
★ StatTrak™ Gut Knife | Marble Fade (Factory New)@274.29@260.57550000000003
★ Karambit | Rust Coat (Battle-Scarred)@901.21@856.1495
★ StatTrak™ Butterfly Knife | Case Hardened (Battle-Scarred)@1499.0@1424.05
★ Flip Knife | Fade (Minimal Wear)@950.0@902.5
★ StatTrak™ Karambit | Scorched (Field-Tested)@808.2@767.79
★ Karambit | Forest DDPAT (Minimal Wear)@854.66@811.9269999999999
★ Falchion Knife | Slaughter (Minimal Wear)@432.26@410.647
★ Karambit | Urban Masked (Minimal Wear)@861.26@818.197
★ StatTrak™ Falchion Knife | Crimson Web (Field-Tested)@258.8@245.85999999999999
★ StatTrak™ Bayonet | Stained (Minimal Wear)@398.29@378.3755
★ Flip Knife | Fade (Factory New)@682.5@648.375
★ StatTrak™ Butterfly Knife | Scorched (Minimal Wear)@1022.0@970.9
★ StatTrak™ Flip Knife | Slaughter (Minimal Wear)@549.05@521.5975
★ StatTrak™ Falchion Knife | Stained (Minimal Wear)@192.0@182.39999999999998
★ StatTrak™ Karambit | Boreal Forest (Battle-Scarred)@794.8@755.06
★ Bayonet | Night (Minimal Wear)@351.77@334.18149999999997
★ StatTrak™ Gut Knife | Tiger Tooth (Factory New)@230.0@218.5
★ Karambit | Boreal Forest (Minimal Wear)@838.0@796.0999999999999
★ M9 Bayonet | Blue Steel (Well-Worn)@971.54@922.963
★ StatTrak™ Bayonet | Blue Steel (Well-Worn)@485.0@460.75
★ StatTrak™ Bayonet | Case Hardened (Well-Worn)@600.0@570.0
★ Butterfly Knife | Stained (Factory New)@1365.0@1296.75
★ StatTrak™ Huntsman Knife | Urban Masked (Battle-Scarred)@180.0@171.0
★ StatTrak™ Karambit | Boreal Forest (Field-Tested)@963.42@915.2489999999999
★ M9 Bayonet | Damascus Steel (Field-Tested)@865.02@821.7689999999999
AK-47 | Fire Serpent (Field-Tested)@859.83@816.8385
Souvenir Tec-9 | Red Quartz (Factory New)@63.0@59.849999999999994
★ Bayonet | Damascus Steel (Battle-Scarred)@361.87@343.7765
★ Flip Knife | Tiger Tooth (Factory New)@430.34@408.823
★ Bayonet | Blue Steel (Minimal Wear)@446.2@423.89
★ StatTrak™ Bayonet | Crimson Web (Field-Tested)@382.77@363.63149999999996
★ StatTrak™ Flip Knife | Case Hardened (Minimal Wear)@428.0@406.59999999999997
★ Butterfly Knife | Blue Steel (Minimal Wear)@1515.0@1439.25
★ StatTrak™ Karambit | Forest DDPAT (Field-Tested)@745.0@707.75
★ Falchion Knife | Slaughter (Field-Tested)@343.14@325.98299999999995
★ M9 Bayonet | Crimson Web (Field-Tested)@891.36@846.792
★ M9 Bayonet | Crimson Web (Well-Worn)@780.0@741.0
★ StatTrak™ Karambit | Scorched (Battle-Scarred)@810.22@769.709
★ StatTrak™ M9 Bayonet | Scorched (Minimal Wear)@889.2@844.74
★ M9 Bayonet | Blue Steel (Battle-Scarred)@1127.0@1070.6499999999999
★ StatTrak™ Huntsman Knife | Case Hardened (Field-Tested)@539.0@512.05
★ StatTrak™ Butterfly Knife | Night (Field-Tested)@1094.85@1040.1074999999998
★ Huntsman Knife | Slaughter (Field-Tested)@315.25@299.4875
★ Bayonet | Stained (Factory New)@393.0@373.34999999999997
★ StatTrak™ Butterfly Knife | Forest DDPAT (Minimal Wear)@1098.42@1043.499
★ Bayonet@478.92@454.974
★ StatTrak™ Butterfly Knife | Safari Mesh (Well-Worn)@997.63@947.7484999999999
★ StatTrak™ Huntsman Knife | Case Hardened (Battle-Scarred)@449.99@427.4905
★ StatTrak™ Flip Knife | Night (Minimal Wear)@353.63@335.94849999999997
★ StatTrak™ Huntsman Knife | Crimson Web (Field-Tested)@312.55@296.9225
★ Flip Knife | Crimson Web (Minimal Wear)@662.11@629.0045
StatTrak™ AK-47 | Case Hardened (Minimal Wear)@569.43@540.9585
★ Butterfly Knife | Case Hardened (Minimal Wear)@1526.96@1450.612
★ StatTrak™ Falchion Knife@227.93@216.5335
★ StatTrak™ Falchion Knife | Case Hardened (Field-Tested)@421.46@400.38699999999994
AK-47 | Fire Serpent (Well-Worn)@786.53@747.2035
★ M9 Bayonet@1544.99@1467.7404999999999
★ StatTrak™ Flip Knife | Slaughter (Field-Tested)@587.63@558.2484999999999
Souvenir Desert Eagle | Hand Cannon (Minimal Wear)@299.0@284.05
★ StatTrak™ Gut Knife | Slaughter (Factory New)@312.72@297.084
M4A4 | Poseidon (Factory New)@1297.5@1232.625
★ StatTrak™ Bayonet | Rust Coat (Battle-Scarred)@262.6@249.47
★ StatTrak™ Bayonet | Scorched (Minimal Wear)@272.7@259.065
StatTrak™ M4A1-S | Cyrex (Factory New)@147.67@140.2865
★ Flip Knife | Slaughter (Factory New)@581.3@552.2349999999999
★ Butterfly Knife | Crimson Web (Field-Tested)@1256.53@1193.7034999999998
★ StatTrak™ Flip Knife | Damascus Steel (Minimal Wear)@270.46@256.93699999999995
★ StatTrak™ Bayonet | Stained (Battle-Scarred)@313.72@298.034
★ StatTrak™ Bayonet | Blue Steel (Battle-Scarred)@350.85@333.3075
★ Huntsman Knife | Night (Minimal Wear)@223.1@211.945
★ StatTrak™ Falchion Knife | Boreal Forest (Minimal Wear)@220.0@209.0
★ StatTrak™ Falchion Knife | Case Hardened (Well-Worn)@313.77@298.08149999999995
M4A1-S | Icarus Fell (Factory New)@532.49@505.8655
StatTrak™ P90 | Death by Kitty (Minimal Wear)@328.15@311.74249999999995
★ M9 Bayonet | Case Hardened (Field-Tested)@928.2@881.79
★ StatTrak™ Butterfly Knife | Stained (Well-Worn)@1199.26@1139.297
★ StatTrak™ Bayonet | Stained (Field-Tested)@329.99@313.4905
★ StatTrak™ Falchion Knife | Blue Steel (Battle-Scarred)@322.76@306.62199999999996
Souvenir UMP-45 | Blaze (Minimal Wear)@54.99@52.2405
★ M9 Bayonet | Case Hardened (Battle-Scarred)@722.92@686.7739999999999
★ StatTrak™ Bayonet | Safari Mesh (Minimal Wear)@253.0@240.35
M4A1-S | Icarus Fell (Minimal Wear)@616.63@585.7985
★ M9 Bayonet | Case Hardened (Well-Worn)@1434.57@1362.8414999999998
M4A1-S | Hyper Beast (Factory New)@155.79@148.0005
StatTrak™ P90 | Asiimov (Factory New)@225.08@213.826
★ Bayonet | Blue Steel (Field-Tested)@449.75@427.2625
★ Butterfly Knife@2599.94@2469.9429999999998
★ StatTrak™ Butterfly Knife | Crimson Web (Battle-Scarred)@1076.0@1022.1999999999999
★ Gut Knife | Marble Fade (Minimal Wear)@355.62@337.839
★ StatTrak™ Butterfly Knife | Stained (Battle-Scarred)@1461.26@1388.197
★ Bayonet | Damascus Steel (Field-Tested)@317.29@301.4255
★ Karambit | Boreal Forest (Field-Tested)@782.32@743.2040000000001
StatTrak™ CZ75-Auto | Victoria (Factory New)@120.0@114.0
StatTrak™ AWP | Hyper Beast (Field-Tested)@93.11@88.4545
★ Karambit | Urban Masked (Field-Tested)@759.73@721.7435
★ Bayonet | Case Hardened (Field-Tested)@404.0@383.79999999999995
★ Falchion Knife | Night (Minimal Wear)@163.59@155.41049999999998
★ Flip Knife | Slaughter (Minimal Wear)@482.0@457.9
★ StatTrak™ Gut Knife | Fade (Factory New)@300.94@285.893
★ StatTrak™ Bayonet | Urban Masked (Minimal Wear)@320.0@304.0
★ Butterfly Knife | Case Hardened (Field-Tested)@1617.0@1536.1499999999999
★ StatTrak™ Flip Knife | Crimson Web (Field-Tested)@358.13@340.2235
★ M9 Bayonet | Stained (Minimal Wear)@821.08@780.026
StatTrak™ Desert Eagle | Crimson Web (Factory New)@370.0@351.5
★ Butterfly Knife | Blue Steel (Field-Tested)@1455.0@1382.25
★ StatTrak™ Bayonet | Boreal Forest (Minimal Wear)@291.94@277.34299999999996
Souvenir Glock-18 | Night (Factory New)@32.17@30.5615
★ StatTrak™ Huntsman Knife | Forest DDPAT (Minimal Wear)@225.0@213.75
M4A1-S | Master Piece (Minimal Wear)@226.27@214.9565
★ StatTrak™ Butterfly Knife | Safari Mesh (Minimal Wear)@945.0@897.75
★ Butterfly Knife | Blue Steel (Well-Worn)@1340.41@1273.3895
★ Karambit | Scorched (Well-Worn)@772.55@733.9224999999999
★ StatTrak™ M9 Bayonet | Night (Battle-Scarred)@648.0@615.6
★ Flip Knife | Ultraviolet (Minimal Wear)@296.53@281.70349999999996
★ Karambit | Forest DDPAT (Field-Tested)@723.13@686.9735
★ Bayonet | Blue Steel (Well-Worn)@352.93@335.2835
★ StatTrak™ Karambit | Safari Mesh (Battle-Scarred)@705.0@669.75
★ Butterfly Knife | Crimson Web (Well-Worn)@1142.99@1085.8405
★ StatTrak™ Bayonet | Night (Field-Tested)@294.07@279.3665
