name@price@price_after_sell
StatTrak™ P90 | Nostalgia (Field-Tested)@9.79@9.3005
FAMAS | Commemoration (Battle-Scarred)@11.53@10.953499999999998
Sticker | Dragon Lore (Foil)@7.5@7.125
FAMAS | Commemoration (Field-Tested)@10.48@9.956
StatTrak™ MP9 | Hydra (Battle-Scarred)@14.24@13.527999999999999
FAMAS | Commemoration (Well-Worn)@11.99@11.3905
StatTrak™ P250 | Inferno (Well-Worn)@2.09@1.9854999999999998
StatTrak™ M249 | Aztec (Factory New)@4.39@4.1705
P90 | Nostalgia (Factory New)@11.03@10.478499999999999
StatTrak™ UMP-45 | Plastique (Factory New)@5.61@5.3295
AUG | Death by Puppy (Factory New)@10.45@9.927499999999998
StatTrak™ FAMAS | Decommissioned (Factory New)@2.81@2.6694999999999998
AUG | Death by Puppy (Minimal Wear)@6.91@6.5645
StatTrak™ P250 | Inferno (Factory New)@4.63@4.398499999999999
P90 | Nostalgia (Minimal Wear)@5.8@5.51
AUG | Death by Puppy (Field-Tested)@5.7@5.415
MP9 | Hydra (Minimal Wear)@9.53@9.0535
StatTrak™ Five-SeveN | Buddy (Well-Worn)@3.2@3.04
MP9 | Hydra (Field-Tested)@6.24@5.928
StatTrak™ MP5-SD | Agent (Minimal Wear)@2.93@2.7835
StatTrak™ Glock-18 | Sacrifice (Minimal Wear)@1.06@1.007
MP9 | Hydra (Well-Worn)@6.45@6.1274999999999995
P90 | Nostalgia (Field-Tested)@4.81@4.5695
P90 | Nostalgia (Well-Worn)@4.9@4.655
AUG | Death by Puppy (Well-Worn)@6.2@5.89
MP5-SD | Agent (Factory New)@3.24@3.078
P90 | Nostalgia (Battle-Scarred)@4.52@4.294
StatTrak™ P90 | Nostalgia (Battle-Scarred)@10.21@9.6995
StatTrak™ Five-SeveN | Buddy (Factory New)@4.87@4.6265
MP9 | Hydra (Battle-Scarred)@6.31@5.9944999999999995
StatTrak™ P250 | Inferno (Battle-Scarred)@1.27@1.2065
StatTrak™ UMP-45 | Plastique (Minimal Wear)@2.54@2.413
StatTrak™ MAC-10 | Classic Crate (Factory New)@1.54@1.4629999999999999
StatTrak™ UMP-45 | Plastique (Well-Worn)@3.09@2.9354999999999998
CS20 Case@0.85@0.8075
StatTrak™ P250 | Inferno (Minimal Wear)@2.79@2.6505
StatTrak™ Glock-18 | Sacrifice (Well-Worn)@0.4@0.38
Glock-18 | Sacrifice (Factory New)@1.53@1.4535
StatTrak™ Glock-18 | Sacrifice (Field-Tested)@0.51@0.4845
StatTrak™ Five-SeveN | Buddy (Minimal Wear)@2.22@2.109
StatTrak™ Dual Berettas | Elite 1.6 (Factory New)@1.14@1.083
StatTrak™ MP5-SD | Agent (Well-Worn)@1.17@1.1115
StatTrak™ MP5-SD | Agent (Field-Tested)@1.13@1.0735
StatTrak™ M249 | Aztec (Minimal Wear)@2.38@2.2609999999999997
StatTrak™ MAG-7 | Popdog (Factory New)@1.0@0.95
StatTrak™ Glock-18 | Sacrifice (Battle-Scarred)@0.36@0.34199999999999997
StatTrak™ P250 | Inferno (Field-Tested)@1.3@1.2349999999999999
StatTrak™ UMP-45 | Plastique (Battle-Scarred)@1.21@1.1495
UMP-45 | Plastique (Factory New)@2.11@2.0044999999999997
Sticker | All Hail the King (Foil)@0.64@0.608
StatTrak™ MP5-SD | Agent (Battle-Scarred)@1.1@1.045
P250 | Inferno (Factory New)@2.09@1.9854999999999998
MP5-SD | Agent (Minimal Wear)@1.45@1.3775
Glock-18 | Sacrifice (Minimal Wear)@0.23@0.2185
M249 | Aztec (Factory New)@2.13@2.0235
StatTrak™ Five-SeveN | Buddy (Field-Tested)@1.87@1.7765
Five-SeveN | Buddy (Factory New)@1.7@1.615
StatTrak™ Tec-9 | Flash Out (Factory New)@1.22@1.159
StatTrak™ SCAR-20 | Assault (Factory New)@0.87@0.8265
StatTrak™ UMP-45 | Plastique (Field-Tested)@1.23@1.1684999999999999
StatTrak™ Five-SeveN | Buddy (Battle-Scarred)@1.79@1.7005
StatTrak™ M249 | Aztec (Field-Tested)@1.2@1.14
UMP-45 | Plastique (Well-Worn)@0.77@0.7314999999999999
M249 | Aztec (Minimal Wear)@1.09@1.0355
P250 | Inferno (Minimal Wear)@1.17@1.1115
StatTrak™ FAMAS | Decommissioned (Minimal Wear)@0.55@0.5225
Glock-18 | Sacrifice (Field-Tested)@0.19@0.1805
Five-SeveN | Buddy (Minimal Wear)@1.08@1.026
P250 | Inferno (Well-Worn)@0.7@0.6649999999999999
Sticker | Door Stuck (Foil)@0.33@0.3135
UMP-45 | Plastique (Minimal Wear)@1.09@1.0355
StatTrak™ Dual Berettas | Elite 1.6 (Minimal Wear)@0.48@0.45599999999999996
FAMAS | Decommissioned (Factory New)@0.58@0.5509999999999999
Five-SeveN | Buddy (Field-Tested)@0.64@0.608
CS20 Sticker Capsule@0.81@0.7695
Sticker | Boost (Holo)@1.64@1.5579999999999998
MP5-SD | Agent (Field-Tested)@0.78@0.741
StatTrak™ Dual Berettas | Elite 1.6 (Battle-Scarred)@0.42@0.39899999999999997
UMP-45 | Plastique (Field-Tested)@0.62@0.589
StatTrak™ FAMAS | Decommissioned (Field-Tested)@0.31@0.2945
StatTrak™ FAMAS | Decommissioned (Battle-Scarred)@0.23@0.2185
P250 | Inferno (Field-Tested)@0.64@0.608
M249 | Aztec (Field-Tested)@0.56@0.532
StatTrak™ Dual Berettas | Elite 1.6 (Well-Worn)@2.24@2.128
Five-SeveN | Buddy (Well-Worn)@0.72@0.6839999999999999
Sticker | Fire in the Hole (Holo)@2.72@2.584
P250 | Inferno (Battle-Scarred)@0.67@0.6365
Glock-18 | Sacrifice (Well-Worn)@0.11@0.1045
StatTrak™ MAG-7 | Popdog (Minimal Wear)@0.38@0.361
StatTrak™ MAC-10 | Classic Crate (Minimal Wear)@0.38@0.361
StatTrak™ FAMAS | Decommissioned (Well-Worn)@0.25@0.2375
Dual Berettas | Elite 1.6 (Factory New)@0.26@0.247
MP5-SD | Agent (Battle-Scarred)@0.73@0.6935
StatTrak™ SCAR-20 | Assault (Minimal Wear)@0.54@0.513
UMP-45 | Plastique (Battle-Scarred)@0.62@0.589
MP5-SD | Agent (Well-Worn)@2.42@2.299
Five-SeveN | Buddy (Battle-Scarred)@0.63@0.5984999999999999
StatTrak™ MAG-7 | Popdog (Battle-Scarred)@0.23@0.2185
Sticker | CS20 Classic (Holo)@0.47@0.44649999999999995
StatTrak™ Dual Berettas | Elite 1.6 (Field-Tested)@0.23@0.2185
MAG-7 | Popdog (Factory New)@0.27@0.2565
M249 | Aztec (Battle-Scarred)@0.66@0.627
Glock-18 | Sacrifice (Battle-Scarred)@0.12@0.11399999999999999
StatTrak™ SCAR-20 | Assault (Battle-Scarred)@0.31@0.2945
StatTrak™ MAC-10 | Classic Crate (Field-Tested)@0.16@0.152
MAC-10 | Classic Crate (Factory New)@0.3@0.285
StatTrak™ Tec-9 | Flash Out (Field-Tested)@0.29@0.27549999999999997
StatTrak™ Tec-9 | Flash Out (Minimal Wear)@0.47@0.44649999999999995
Sticker | Guinea Pig (Holo)@0.35@0.33249999999999996
StatTrak™ MAG-7 | Popdog (Field-Tested)@0.2@0.19
StatTrak™ MAC-10 | Classic Crate (Battle-Scarred)@0.18@0.17099999999999999
StatTrak™ SCAR-20 | Assault (Field-Tested)@0.17@0.1615
StatTrak™ MAC-10 | Classic Crate (Well-Worn)@0.17@0.1615
SCAR-20 | Assault (Factory New)@0.25@0.2375
FAMAS | Decommissioned (Minimal Wear)@0.19@0.1805
Tec-9 | Flash Out (Factory New)@0.35@0.33249999999999996
Tec-9 | Flash Out (Minimal Wear)@0.17@0.1615
Dual Berettas | Elite 1.6 (Minimal Wear)@0.18@0.17099999999999999
SCAR-20 | Assault (Minimal Wear)@0.18@0.17099999999999999
MAG-7 | Popdog (Minimal Wear)@0.14@0.133
Dual Berettas | Elite 1.6 (Well-Worn)@0.44@0.418
FAMAS | Decommissioned (Field-Tested)@0.19@0.1805
FAMAS | Decommissioned (Well-Worn)@0.1@0.095
MAG-7 | Popdog (Field-Tested)@0.16@0.152
Dual Berettas | Elite 1.6 (Field-Tested)@0.17@0.1615
MAC-10 | Classic Crate (Minimal Wear)@0.15@0.1425
MAC-10 | Classic Crate (Well-Worn)@0.12@0.11399999999999999
MAC-10 | Classic Crate (Battle-Scarred)@0.11@0.1045
MAG-7 | Popdog (Battle-Scarred)@0.11@0.1045
SCAR-20 | Assault (Field-Tested)@0.21@0.19949999999999998
Tec-9 | Flash Out (Field-Tested)@0.22@0.209
SCAR-20 | Assault (Well-Worn)@0.17@0.1615
MAC-10 | Classic Crate (Field-Tested)@0.3@0.285
Sticker | Nuke Beast@0.15@0.1425
Dual Berettas | Elite 1.6 (Battle-Scarred)@0.15@0.1425
FAMAS | Decommissioned (Battle-Scarred)@0.09@0.08549999999999999
Sticker | Friend Code@0.15@0.1425
Sticker | Too Old for This@0.12@0.11399999999999999
Tec-9 | Flash Out (Battle-Scarred)@0.11@0.1045
SCAR-20 | Assault (Battle-Scarred)@0.12@0.11399999999999999
MAG-7 | Popdog (Well-Worn)@0.26@0.247
Sticker | Aztec@0.05@0.0475
Sticker | Pixel Avenger@0.07@0.0665
Sticker | Obey SAS@0.09@0.08549999999999999
Sticker | Surf's Up@0.26@0.247
Sticker | Separate Pixels@0.09@0.08549999999999999
Sticker | Mondays@0.04@0.038
Sticker | Too Late@0.05@0.0475
Sticker | Temperance@0.04@0.038
★ StatTrak™ Classic Knife | Slaughter (Factory New)@506.62@481.289
★ StatTrak™ Classic Knife | Stained (Minimal Wear)@299.44@284.46799999999996
★ StatTrak™ Classic Knife | Boreal Forest (Well-Worn)@257.41@244.5395
★ StatTrak™ Classic Knife | Case Hardened (Well-Worn)@333.0@316.34999999999997
★ Classic Knife | Case Hardened (Battle-Scarred)@232.7@221.06499999999997
★ Classic Knife | Fade (Minimal Wear)@666.87@633.5264999999999
★ Classic Knife | Case Hardened (Factory New)@451.45@428.87749999999994
★ StatTrak™ Classic Knife | Stained (Well-Worn)@219.38@208.41099999999997
★ Classic Knife | Crimson Web (Minimal Wear)@665.36@632.092
★ StatTrak™ Classic Knife | Crimson Web (Field-Tested)@479.77@455.78149999999994
★ StatTrak™ Classic Knife | Crimson Web (Battle-Scarred)@285.26@270.99699999999996
★ StatTrak™ Classic Knife | Case Hardened (Minimal Wear)@354.16@336.452
★ Classic Knife | Night Stripe (Well-Worn)@275.07@261.31649999999996
★ StatTrak™ Classic Knife | Urban Masked (Well-Worn)@204.99@194.7405
★ Classic Knife | Safari Mesh (Well-Worn)@156.5@148.67499999999998
★ StatTrak™ Classic Knife | Boreal Forest (Minimal Wear)@216.34@205.523
★ StatTrak™ Classic Knife | Forest DDPAT (Battle-Scarred)@191.19@181.63049999999998
★ StatTrak™ Classic Knife | Night Stripe (Minimal Wear)@289.36@274.892
★ Classic Knife | Scorched (Minimal Wear)@182.0@172.9
★ Classic Knife | Blue Steel (Battle-Scarred)@212.99@202.3405
★ Classic Knife | Forest DDPAT (Well-Worn)@171.26@162.69699999999997
★ Classic Knife | Case Hardened (Field-Tested)@291.74@277.153
★ StatTrak™ Classic Knife | Urban Masked (Battle-Scarred)@263.95@250.75249999999997
★ StatTrak™ Classic Knife | Scorched (Minimal Wear)@196.0@186.2
★ StatTrak™ Classic Knife | Scorched (Battle-Scarred)@172.5@163.875
★ StatTrak™ Classic Knife | Boreal Forest (Field-Tested)@182.91@173.7645
★ Classic Knife | Boreal Forest (Well-Worn)@162.49@154.3655
★ Classic Knife | Night Stripe (Minimal Wear)@212.66@202.027
★ Classic Knife | Night Stripe (Battle-Scarred)@174.57@165.8415
★ Classic Knife | Urban Masked (Minimal Wear)@188.45@179.02749999999997
★ Classic Knife | Urban Masked (Well-Worn)@169.49@161.0155
StatTrak™ AWP | Wildfire (Well-Worn)@153.62@145.939
★ Classic Knife | Stained (Field-Tested)@192.92@183.27399999999997
StatTrak™ MP9 | Hydra (Factory New)@89.4@84.93
StatTrak™ FAMAS | Commemoration (Well-Worn)@40.0@38.0
StatTrak™ FAMAS | Commemoration (Battle-Scarred)@37.51@35.634499999999996
StatTrak™ M249 | Aztec (Well-Worn)@4.9@4.655
Sticker | Rush 4x20 (Holo)@1.46@1.387
StatTrak™ MAG-7 | Popdog (Well-Worn)@0.48@0.45599999999999996
Sticker | Clutchman (Holo)@0.3@0.285
StatTrak™ Tec-9 | Flash Out (Battle-Scarred)@0.3@0.285
★ StatTrak™ Classic Knife | Fade (Factory New)@624.89@593.6455
★ StatTrak™ Classic Knife | Slaughter (Minimal Wear)@367.44@349.068
★ StatTrak™ Classic Knife | Stained (Field-Tested)@240.0@228.0
★ Classic Knife | Stained (Factory New)@322.67@306.5365
★ Classic Knife | Boreal Forest (Battle-Scarred)@167.87@159.4765
★ StatTrak™ Classic Knife | Fade (Minimal Wear)@790.0@750.5
★ StatTrak™ Classic Knife | Blue Steel (Minimal Wear)@281.46@267.38699999999994
★ StatTrak™ Classic Knife | Blue Steel (Battle-Scarred)@227.0@215.64999999999998
★ StatTrak™ Classic Knife | Safari Mesh (Field-Tested)@157.9@150.005
★ StatTrak™ Classic Knife | Case Hardened (Field-Tested)@292.04@277.438
★ Classic Knife | Boreal Forest (Factory New)@266.2@252.89
★ StatTrak™ Classic Knife | Stained (Battle-Scarred)@221.0@209.95
★ Classic Knife | Crimson Web (Battle-Scarred)@339.86@322.867
★ StatTrak™ Classic Knife | Night Stripe (Battle-Scarred)@221.09@210.03549999999998
★ StatTrak™ Classic Knife | Blue Steel (Well-Worn)@264.21@250.99949999999995
★ StatTrak™ Stiletto Knife | Marble Fade (Minimal Wear)@719.35@683.3824999999999
★ StatTrak™ Classic Knife | Night Stripe (Well-Worn)@220.0@209.0
★ Classic Knife | Night Stripe (Factory New)@451.47@428.8965
★ Nomad Knife@459.61@436.6295
★ Nomad Knife | Fade (Factory New)@922.5@876.375
AWP | Gungnir (Field-Tested)@10260.0@9747.0
★ Survival Knife | Blue Steel (Field-Tested)@162.11@154.0045
★ Survival Knife | Scorched (Field-Tested)@134.84@128.09799999999998
StatTrak™ AWP | Containment Breach (Factory New)@1264.71@1201.4745
StatTrak™ SG 553 | Colony IV (Minimal Wear)@48.17@45.7615
★ Nomad Knife | Blue Steel (Well-Worn)@331.15@314.5925
★ Skeleton Knife@738.86@701.917
★ Paracord Knife | Urban Masked (Field-Tested)@139.76@132.772
★ Paracord Knife | Scorched (Battle-Scarred)@141.27@134.2065
AK-47 | Wild Lotus (Field-Tested)@9567.19@9088.8305
★ Skeleton Knife | Forest DDPAT (Field-Tested)@230.9@219.355
★ Paracord Knife | Slaughter (Field-Tested)@289.65@275.16749999999996
★ Nomad Knife | Safari Mesh (Minimal Wear)@179.8@170.81
AWP | The Prince (Field-Tested)@2603.7@2473.515
AWP | Containment Breach (Factory New)@319.47@303.4965
StatTrak™ AWP | Containment Breach (Well-Worn)@234.7@222.96499999999997
★ Skeleton Knife | Scorched (Field-Tested)@277.2@263.34
★ Skeleton Knife | Case Hardened (Well-Worn)@446.09@423.78549999999996
★ Survival Knife | Urban Masked (Field-Tested)@139.94@132.94299999999998
StatTrak™ MAC-10 | Stalker (Minimal Wear)@102.16@97.05199999999999
StatTrak™ AWP | Containment Breach (Battle-Scarred)@135.99@129.19050000000001
StatTrak™ MP7 | Neon Ply (Factory New)@17.15@16.292499999999997
StatTrak™ Tec-9 | Decimator (Factory New)@192.76@183.12199999999999
StatTrak™ AWP | Containment Breach (Field-Tested)@229.32@217.85399999999998
AWP | Containment Breach (Minimal Wear)@152.84@145.198
SG 553 | Colony IV (Factory New)@47.24@44.878
StatTrak™ AUG | Arctic Wolf (Factory New)@19.12@18.164
StatTrak™ MAC-10 | Stalker (Field-Tested)@48.96@46.512
AWP | Containment Breach (Well-Worn)@61.95@58.8525
StatTrak™ P2000 | Obsidian (Factory New)@30.0@28.5
AWP | Containment Breach (Field-Tested)@83.97@79.77149999999999
StatTrak™ SG 553 | Colony IV (Field-Tested)@55.55@52.772499999999994
MAG-7 | Cinquedea (Minimal Wear)@940.06@893.0569999999999
StatTrak™ AUG | Arctic Wolf (Well-Worn)@9.01@8.5595
AUG | Flame Jörmungandr (Factory New)@558.83@530.8885
MAC-10 | Stalker (Minimal Wear)@24.81@23.569499999999998
StatTrak™ SG 553 | Colony IV (Battle-Scarred)@19.05@18.0975
StatTrak™ Tec-9 | Decimator (Minimal Wear)@75.68@71.896
StatTrak™ SG 553 | Colony IV (Well-Worn)@19.4@18.429999999999996
StatTrak™ AK-47 | Rat Rod (Minimal Wear)@18.96@18.012
StatTrak™ SSG 08 | Bloodshot (Field-Tested)@26.32@25.003999999999998
AWP | Containment Breach (Battle-Scarred)@63.2@60.04
MP9 | Stained Glass (Field-Tested)@137.02@130.169
AK-47 | Baroque Purple (Factory New)@17.73@16.8435
AUG | Arctic Wolf (Well-Worn)@2.17@2.0614999999999997
Nova | Baroque Orange (Factory New)@117.04@111.188
StatTrak™ Tec-9 | Decimator (Battle-Scarred)@42.11@40.0045
Desert Eagle | Emerald Jörmungandr (Minimal Wear)@449.82@427.32899999999995
StatTrak™ AUG | Arctic Wolf (Minimal Wear)@10.38@9.861
M4A1-S | Moss Quartz (Battle-Scarred)@49.41@46.939499999999995
Desert Eagle | Emerald Jörmungandr (Factory New)@421.72@400.634
MAC-10 | Stalker (Battle-Scarred)@12.26@11.646999999999998
StatTrak™ G3SG1 | Black Sand (Well-Worn)@2.51@2.3844999999999996
AUG | Navy Murano (Factory New)@5.23@4.968500000000001
MAC-10 | Stalker (Field-Tested)@13.48@12.806
MAC-10 | Stalker (Well-Worn)@13.8@13.11
MAG-7 | Cinquedea (Well-Worn)@955.08@907.326
Tec-9 | Decimator (Well-Worn)@15.47@14.6965
StatTrak™ AK-47 | Rat Rod (Well-Worn)@13.47@12.7965
'The Doctor' Romanov | Sabre@7.89@7.495499999999999
PP-Bizon | Embargo (Factory New)@18.71@17.7745
StatTrak™ Tec-9 | Decimator (Field-Tested)@36.67@34.8365
Nova | Baroque Orange (Field-Tested)@108.0@102.6
SCAR-20 | Brass (Well-Worn)@139.0@132.04999999999998
Special Agent Ava | FBI@17.5@16.625
FAMAS | Sundown (Minimal Wear)@207.27@196.9065
StatTrak™ Nova | Plume (Well-Worn)@4.67@4.4365
SSG 08 | Bloodshot (Battle-Scarred)@12.53@11.9035
SSG 08 | Bloodshot (Well-Worn)@12.79@12.1505
SG 553 | Colony IV (Minimal Wear)@17.13@16.2735
AK-47 | Rat Rod (Factory New)@24.32@23.104
StatTrak™ AK-47 | Rat Rod (Battle-Scarred)@12.45@11.827499999999999
StatTrak™ AK-47 | Rat Rod (Field-Tested)@11.88@11.286
Tec-9 | Decimator (Factory New)@57.61@54.729499999999994
P90 | Astral Jörmungandr (Factory New)@472.5@448.875
AUG | Midnight Lily (Minimal Wear)@435.04@413.288
StatTrak™ SCAR-20 | Torn (Well-Worn)@1.38@1.311
P2000 | Obsidian (Factory New)@9.83@9.3385
Five-SeveN | Crimson Blossom (Minimal Wear)@198.82@188.879
StatTrak™ P2000 | Obsidian (Well-Worn)@7.13@6.773499999999999
P90 | Astral Jörmungandr (Field-Tested)@413.58@392.90099999999995
SSG 08 | Orange Filigree (Field-Tested)@39.62@37.638999999999996
Tec-9 | Decimator (Minimal Wear)@28.45@27.027499999999996
SG 553 | Colony IV (Field-Tested)@8.6@8.17
MAC-10 | Copper Borre (Factory New)@196.79@186.95049999999998
StatTrak™ P2000 | Obsidian (Field-Tested)@6.85@6.507499999999999
UMP-45 | Day Lily (Factory New)@206.16@195.85199999999998
SG 553 | Colony IV (Well-Worn)@5.92@5.624
SG 553 | Candy Apple (Battle-Scarred)@7.61@7.2295
AUG | Arctic Wolf (Factory New)@5.32@5.054
3rd Commando Company | KSK@9.04@8.588
StatTrak™ PP-Bizon | Embargo (Well-Worn)@5.73@5.4435
StatTrak™ P2000 | Obsidian (Minimal Wear)@11.2@10.639999999999999
SG 553 | Barricade (Well-Worn)@6.65@6.3175
AK-47 | Rat Rod (Minimal Wear)@5.92@5.624
StatTrak™ MP7 | Neon Ply (Field-Tested)@3.83@3.6385
M249 | Warbird (Factory New)@2.73@2.5934999999999997
SCAR-20 | Brass (Field-Tested)@145.0@137.75
StatTrak™ MP7 | Neon Ply (Battle-Scarred)@3.19@3.0305
StatTrak™ PP-Bizon | Embargo (Field-Tested)@5.57@5.2915
Seal Team 6 Soldier | NSWC SEAL@8.36@7.941999999999999
StatTrak™ PP-Bizon | Embargo (Battle-Scarred)@5.83@5.5385
MP7 | Neon Ply (Factory New)@5.83@5.5385
P90 | Baroque Red (Factory New)@37.37@35.50149999999999
Tec-9 | Decimator (Battle-Scarred)@14.73@13.9935
SSG 08 | Bloodshot (Field-Tested)@11.43@10.8585
XM1014 | Frost Borre (Factory New)@197.76@187.87199999999999
StatTrak™ AUG | Arctic Wolf (Field-Tested)@4.37@4.1514999999999995
AK-47 | Rat Rod (Well-Worn)@3.96@3.762
MAC-10 | Copper Borre (Minimal Wear)@174.61@165.8795
Prof. Shahmat | Elite Crew@4.56@4.332
Lt. Commander Ricksaw | NSWC SEAL@11.97@11.3715
StatTrak™ MP7 | Neon Ply (Minimal Wear)@8.51@8.0845
AUG | Arctic Wolf (Minimal Wear)@2.86@2.7169999999999996
SG 553 | Colony IV (Battle-Scarred)@5.98@5.681
SSG 08 | Red Stone (Factory New)@27.26@25.897000000000002
AK-47 | Rat Rod (Field-Tested)@3.81@3.6195
Blackwolf | Sabre@5.03@4.7785
StatTrak™ M249 | Warbird (Battle-Scarred)@0.87@0.8265
MAG-7 | Chainmail (Field-Tested)@39.09@37.1355
StatTrak™ MP7 | Neon Ply (Well-Worn)@3.43@3.2585
SSG 08 | Red Stone (Well-Worn)@9.58@9.100999999999999
'Two Times' McCoy | USAF TACP@5.51@5.2345
AK-47 | Rat Rod (Battle-Scarred)@3.95@3.7525
StatTrak™ PP-Bizon | Embargo (Minimal Wear)@9.43@8.958499999999999
AK-47 | Baroque Purple (Minimal Wear)@8.13@7.7235000000000005
B Squadron Officer | SAS@8.63@8.198500000000001
Dual Berettas | Pyre (Battle-Scarred)@40.48@38.455999999999996
StatTrak™ MP5-SD | Acid Wash (Factory New)@3.64@3.4579999999999997
FAMAS | Sundown (Factory New)@172.35@163.7325
Buckshot | NSWC SEAL@4.9@4.655
StatTrak™ Nova | Plume (Factory New)@4.28@4.066
G3SG1 | Violet Murano (Field-Tested)@35.8@34.01
Shattered Web Case@4.36@4.142
StatTrak™ Dual Berettas | Balance (Battle-Scarred)@0.79@0.7505
MP7 | Neon Ply (Minimal Wear)@2.69@2.5555
StatTrak™ Dual Berettas | Balance (Minimal Wear)@2.97@2.8215
SG 553 | Candy Apple (Field-Tested)@7.16@6.802
StatTrak™ R8 Revolver | Memento (Battle-Scarred)@0.95@0.9025
AK-47 | Baroque Purple (Well-Worn)@7.48@7.106
Dual Berettas | Balance (Factory New)@4.16@3.952
Slingshot | Phoenix@5.94@5.643
G3SG1 | Violet Murano (Minimal Wear)@38.64@36.708
StatTrak™ Dual Berettas | Balance (Well-Worn)@0.8@0.76
Osiris | Elite Crew@5.59@5.310499999999999
SG 553 | Candy Apple (Minimal Wear)@7.58@7.201
M4A4 | Dark Blossom (Minimal Wear)@36.99@35.1405
Dragomir | Sabre@4.11@3.9045
Maximus | Sabre@3.73@3.5435
R8 Revolver | Canal Spray (Well-Worn)@14.49@13.7655
StatTrak™ Nova | Plume (Minimal Wear)@1.71@1.6244999999999998
Operator | FBI SWAT@6.98@6.631
Dual Berettas | Emerald (Factory New)@33.77@32.0815
FAMAS | Sundown (Field-Tested)@279.47@265.4965
AK-47 | Baroque Purple (Field-Tested)@7.39@7.020499999999999
Tec-9 | Orange Murano (Minimal Wear)@16.41@15.5895
Negev | Boroque Sand (Factory New)@5.39@5.1205
AK-47 | Baroque Purple (Battle-Scarred)@7.82@7.429
StatTrak™ G3SG1 | Black Sand (Battle-Scarred)@1.34@1.273
MP5-SD | Bamboo Garden (Battle-Scarred)@6.0@5.699999999999999
M4A4 | Dark Blossom (Factory New)@37.27@35.4065
USP-S | Pathfinder (Factory New)@37.59@35.7105
P90 | Baroque Red (Field-Tested)@43.37@41.201499999999996
AUG | Arctic Wolf (Field-Tested)@1.54@1.4629999999999999
AUG | Arctic Wolf (Battle-Scarred)@1.54@1.4629999999999999
StatTrak™ Dual Berettas | Balance (Field-Tested)@1.14@1.083
Sticker | Gold Web (Foil)@3.6@3.42
StatTrak™ MP5-SD | Acid Wash (Field-Tested)@0.87@0.8265
Ground Rebel  | Elite Crew@5.84@5.548
Enforcer | Phoenix@3.48@3.306
M4A4 | Dark Blossom (Well-Worn)@38.25@36.3375
Michael Syfers  | FBI Sniper@5.91@5.6145
P250 | Dark Filigree (Factory New)@9.13@8.6735
P90 | Sunset Lily (Factory New)@37.78@35.891
SCAR-20 | Stone Mosaico (Well-Worn)@5.32@5.054
PP-Bizon | Seabird (Well-Worn)@4.68@4.446
P90 | Sunset Lily (Minimal Wear)@36.76@34.922
StatTrak™ MP5-SD | Acid Wash (Minimal Wear)@2.29@2.1755
PP-Bizon | Embargo (Minimal Wear)@2.97@2.8215
Tec-9 | Rust Leaf (Minimal Wear)@37.45@35.5775
StatTrak™ P2000 | Obsidian (Battle-Scarred)@7.42@7.0489999999999995
M4A1-S | Moss Quartz (Factory New)@72.46@68.83699999999999
StatTrak™ R8 Revolver | Memento (Minimal Wear)@2.21@2.0995
StatTrak™ MP5-SD | Acid Wash (Battle-Scarred)@0.94@0.8929999999999999
MAC-10 | Surfwood (Battle-Scarred)@5.99@5.6905
Soldier | Phoenix@3.3@3.135
StatTrak™ SCAR-20 | Torn (Factory New)@4.54@4.313
Markus Delrow | FBI HRT@5.29@5.0255
FAMAS | Night Borre (Well-Worn)@7.5@7.125
R8 Revolver | Memento (Factory New)@1.73@1.6435
XM1014 | Banana Leaf (Minimal Wear)@41.43@39.3585
SG 553 | Barricade (Factory New)@8.49@8.0655
StatTrak™ M249 | Warbird (Minimal Wear)@1.81@1.7195
StatTrak™ Nova | Plume (Battle-Scarred)@0.91@0.8644999999999999
P90 | Sunset Lily (Field-Tested)@37.03@35.1785
MP5-SD | Bamboo Garden (Factory New)@5.8@5.51
P2000 | Obsidian (Field-Tested)@1.55@1.4725
MP7 | Neon Ply (Battle-Scarred)@1.42@1.349
MP7 | Neon Ply (Field-Tested)@1.52@1.444
PP-Bizon | Embargo (Field-Tested)@1.48@1.406
PP-Bizon | Embargo (Well-Worn)@1.58@1.501
M4A1-S | Moss Quartz (Field-Tested)@36.65@34.817499999999995
R8 Revolver | Memento (Well-Worn)@1.36@1.292
P2000 | Obsidian (Battle-Scarred)@1.47@1.3964999999999999
Dual Berettas | Pyre (Minimal Wear)@34.18@32.471
MP7 | Neon Ply (Well-Worn)@1.46@1.387
MP5-SD | Acid Wash (Well-Worn)@1.26@1.1969999999999998
StatTrak™ SCAR-20 | Torn (Minimal Wear)@4.23@4.0185
PP-Bizon | Seabird (Minimal Wear)@5.67@5.3865
USP-S | Pathfinder (Minimal Wear)@36.16@34.352
FAMAS | Night Borre (Battle-Scarred)@6.55@6.222499999999999
USP-S | Pathfinder (Field-Tested)@34.82@33.079
M4A4 | Dark Blossom (Field-Tested)@36.29@34.4755
MAG-7 | Chainmail (Factory New)@43.87@41.6765
Tec-9 | Rust Leaf (Factory New)@44.61@42.3795
G3SG1 | Black Sand (Factory New)@1.03@0.9784999999999999
StatTrak™ G3SG1 | Black Sand (Minimal Wear)@1.96@1.8619999999999999
M4A1-S | Moss Quartz (Minimal Wear)@50.24@47.728
MAG-7 | Chainmail (Minimal Wear)@41.57@39.491499999999995
