name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
★ Talon Knife | Scorched (Minimal Wear)@378.29@332.89520000000005@409.5@389.025@skinport@shadowpay@10.73
★ Talon Knife | Scorched (Field-Tested)@332.4@292.512@379.18@360.221@skinport@shadowpay@27.82
★ Talon Knife | Scorched (Battle-Scarred)@324.5@285.56@363.78@345.59099999999995@skinport@shadowpay@21.09
★ Talon Knife | Safari Mesh (Field-Tested)@310.0@272.8@359.99@352.7902@skinport@csdeals@42.79
★ Talon Knife | Safari Mesh (Field-Tested)@333.3@316.635@359.99@352.7902@shadowpay@csdeals@19.49
★ Talon Knife | Safari Mesh (Battle-Scarred)@317.76@279.6288@377.48@358.606@skinport@shadowpay@40.85
★ Talon Knife | Rust Coat (Battle-Scarred)@400.0@352.0@449.84@427.348@skinport@shadowpay@27.35
★ Talon Knife | Night Stripe (Well-Worn)@377.36@332.0768@408.0@387.6@skinport@shadowpay@10.24
★ Talon Knife | Night Stripe (Field-Tested)@375.0@330.0@419.45@398.4775@skinport@shadowpay@23.48
★ Talon Knife | Night Stripe (Battle-Scarred)@306.07@269.3416@368.65@350.2175@skinport@shadowpay@44.15
★ Talon Knife | Marble Fade (Minimal Wear)@840.5@739.64@1077.9@1024.005@skinport@shadowpay@183.51
★ Talon Knife | Marble Fade (Minimal Wear)@840.5@739.64@1024.99@1004.4902@skinport@csdeals@163.99
★ Talon Knife | Marble Fade (Factory New)@870.0@765.6@982.43@933.3085@skinport@shadowpay@63.31
★ Talon Knife | Marble Fade (Factory New)@870.0@765.6@950.0@931.0@skinport@csdeals@61.0
★ Talon Knife | Forest DDPAT (Well-Worn)@329.42@289.88960000000003@480.2@456.19@skinport@shadowpay@126.77
★ Talon Knife | Forest DDPAT (Battle-Scarred)@326.87@287.6456@367.93@349.5335@skinport@shadowpay@22.66
★ Talon Knife | Fade (Factory New)@1190.14@1047.3232@1380.0@1311.0@skinport@shadowpay@120.86
★ Talon Knife | Fade (Factory New)@1190.14@1047.3232@1475.0@1445.5@skinport@csdeals@255.36
★ Talon Knife | Fade (Factory New)@1380.0@1311.0@1475.0@1445.5@shadowpay@csdeals@65.5
★ Talon Knife | Doppler (Minimal Wear)@1200.0@1056.0@1333.2@1266.54@skinport@shadowpay@66.54
★ Talon Knife | Doppler (Minimal Wear)@1200.0@1056.0@1565.5@1487.225@skinport@shadowpay@287.22
★ Talon Knife | Doppler (Factory New)@1098.39@966.5832@1350.0@1282.5@skinport@shadowpay@184.11
★ Talon Knife | Doppler (Factory New)@1098.39@966.5832@1579.8@1500.81@skinport@shadowpay@402.42
★ Talon Knife | Doppler (Factory New)@1098.39@966.5832@1318.35@1252.4325@skinport@shadowpay@154.04
★ Talon Knife | Doppler (Factory New)@1098.39@966.5832@5531.9@5255.304999999999@skinport@shadowpay@4156.91
★ Talon Knife | Doppler (Factory New)@1098.39@966.5832@4899.71@4654.7245@skinport@shadowpay@3556.33
★ Talon Knife | Damascus Steel (Field-Tested)@465.74@409.8512@535.91@509.1145@skinport@shadowpay@43.37
★ Talon Knife | Damascus Steel (Factory New)@515.0@453.2@569.04@540.588@skinport@shadowpay@25.59
★ Talon Knife | Crimson Web (Minimal Wear)@681.72@599.9136@819.05@778.0975@skinport@shadowpay@96.38
★ Talon Knife | Crimson Web (Field-Tested)@500.0@440.0@598.71@568.7745@skinport@shadowpay@68.77
★ Talon Knife | Crimson Web (Battle-Scarred)@444.33@391.0104@490.16@465.652@skinport@shadowpay@21.32
★ Talon Knife | Case Hardened (Well-Worn)@607.34@576.973@1000.0@880.0@shadowpay@skinport@272.66
★ Talon Knife | Case Hardened (Minimal Wear)@699.99@615.9912@783.88@744.6859999999999@skinport@shadowpay@44.7
★ Talon Knife | Case Hardened (Field-Tested)@547.25@481.58@651.93@619.3335@skinport@shadowpay@72.08
★ Talon Knife | Case Hardened (Factory New)@1009.47@888.3336@1113.83@1058.1384999999998@skinport@shadowpay@48.67
★ Talon Knife | Boreal Forest (Field-Tested)@325.0@286.0@361.12@343.064@skinport@shadowpay@18.06
★ Talon Knife | Blue Steel (Well-Worn)@505.0@444.4@561.0@532.9499999999999@skinport@shadowpay@27.95
★ Talon Knife | Blue Steel (Factory New)@749.99@659.9912@1035.0@983.25@skinport@shadowpay@233.26
★ Talon Knife@505.95@445.236@580.34@551.323@skinport@shadowpay@45.37
★ Talon Knife@505.95@445.236@699.99@685.9902@skinport@csdeals@180.04
★ Talon Knife@580.34@551.323@699.99@685.9902@shadowpay@csdeals@105.65
★ Survival Knife | Stained (Minimal Wear)@149.0@131.12@173.25@164.5875@skinport@shadowpay@15.59
★ Survival Knife | Stained (Field-Tested)@139.7@122.936@160.0@156.8@skinport@csdeals@17.1
★ Survival Knife | Stained (Factory New)@185.0@162.8@226.25@214.9375@skinport@shadowpay@29.94
★ Survival Knife | Stained (Factory New)@185.0@162.8@350.0@343.0@skinport@csdeals@158.0
★ Survival Knife | Stained (Factory New)@226.25@214.9375@350.0@343.0@shadowpay@csdeals@116.75
★ Survival Knife | Slaughter (Minimal Wear)@223.37@196.5656@265.47@252.1965@skinport@shadowpay@28.83
★ Survival Knife | Slaughter (Minimal Wear)@223.37@196.5656@256.36@251.2328@skinport@csdeals@27.86
★ Survival Knife | Scorched (Battle-Scarred)@112.51@99.0088@133.02@126.369@skinport@shadowpay@13.86
★ Survival Knife | Forest DDPAT (Battle-Scarred)@110.0@96.8@132.55@125.9225@skinport@shadowpay@15.92
★ Survival Knife | Fade (Factory New)@318.55@280.324@354.44@336.718@skinport@shadowpay@18.17
★ Survival Knife | Fade (Factory New)@318.55@280.324@599.0@587.02@skinport@csdeals@268.47
★ Survival Knife | Fade (Factory New)@354.44@336.718@599.0@587.02@shadowpay@csdeals@232.58
★ Survival Knife | Crimson Web (Minimal Wear)@208.7@183.656@236.99@225.1405@skinport@shadowpay@16.44
★ Survival Knife | Crimson Web (Field-Tested)@174.75@153.78@203.5@193.325@skinport@shadowpay@18.57
★ Survival Knife | Crimson Web (Field-Tested)@174.75@153.78@309.99@303.7902@skinport@csdeals@129.04
★ Survival Knife | Crimson Web (Field-Tested)@203.5@193.325@309.99@303.7902@shadowpay@csdeals@100.29
★ Survival Knife | Crimson Web (Battle-Scarred)@146.83@129.21040000000002@192.44@182.818@skinport@shadowpay@35.99
★ Survival Knife | Case Hardened (Well-Worn)@175.0@154.0@196.49@186.6655@skinport@shadowpay@11.67
★ Survival Knife | Case Hardened (Field-Tested)@170.03@149.6264@201.88@191.786@skinport@shadowpay@21.76
★ Survival Knife | Case Hardened (Battle-Scarred)@186.62@177.289@230.76@203.0688@shadowpay@skinport@16.45
★ Survival Knife | Boreal Forest (Minimal Wear)@128.26@112.8688@145.0@142.1@skinport@csdeals@13.84
★ Survival Knife | Boreal Forest (Field-Tested)@122.97@108.2136@141.38@134.31099999999998@skinport@shadowpay@11.34
★ Survival Knife | Blue Steel (Field-Tested)@143.75@126.5@162.11@154.0045@skinport@shadowpay@10.25
★ Stiletto Knife | Ultraviolet (Minimal Wear)@366.98@322.9424@413.82@393.129@skinport@shadowpay@26.15
★ Stiletto Knife | Ultraviolet (Field-Tested)@291.45@256.476@333.3@316.635@skinport@shadowpay@25.18
★ Stiletto Knife | Ultraviolet (Factory New)@699.65@615.692@1250.95@1188.4025@skinport@shadowpay@488.75
★ Stiletto Knife | Tiger Tooth (Minimal Wear)@544.88@533.9824@599.7@569.715@csdeals@shadowpay@24.84
★ Stiletto Knife | Tiger Tooth (Factory New)@511.18@449.8384@571.29@542.7254999999999@skinport@shadowpay@31.55
★ Stiletto Knife | Tiger Tooth (Factory New)@511.18@449.8384@593.46@581.5908000000001@skinport@csdeals@70.41
★ Stiletto Knife | Tiger Tooth (Factory New)@571.29@542.7254999999999@593.46@581.5908000000001@shadowpay@csdeals@10.3
★ Stiletto Knife | Stained (Minimal Wear)@322.0@283.36@360.5@342.475@skinport@shadowpay@20.48
★ Stiletto Knife | Slaughter (Field-Tested)@588.0@517.44@774.18@735.4709999999999@skinport@shadowpay@147.47
★ Stiletto Knife | Scorched (Field-Tested)@235.38@207.1344@280.49@266.4655@skinport@shadowpay@31.09
★ Stiletto Knife | Safari Mesh (Battle-Scarred)@222.86@211.717@265.79@233.8952@shadowpay@skinport@11.04
★ Stiletto Knife | Rust Coat (Battle-Scarred)@249.3@219.384@283.33@269.1635@skinport@shadowpay@19.86
★ Stiletto Knife | Marble Fade (Factory New)@529.99@466.3912@615.0@584.25@skinport@shadowpay@54.26
★ Stiletto Knife | Marble Fade (Factory New)@529.99@466.3912@679.99@666.3902@skinport@csdeals@136.4
★ Stiletto Knife | Marble Fade (Factory New)@615.0@584.25@679.99@666.3902@shadowpay@csdeals@51.39
★ Stiletto Knife | Forest DDPAT (Battle-Scarred)@224.78@213.541@323.14@284.3632@shadowpay@skinport@59.58
★ Stiletto Knife | Fade (Factory New)@749.69@659.7272@908.99@863.5405@skinport@shadowpay@113.85
★ Stiletto Knife | Doppler (Factory New)@738.42@649.8095999999999@862.5@819.375@skinport@shadowpay@80.96
★ Stiletto Knife | Doppler (Factory New)@738.42@649.8095999999999@1079.25@1025.2875@skinport@shadowpay@286.87
★ Stiletto Knife | Doppler (Factory New)@738.42@649.8095999999999@846.13@803.8235@skinport@shadowpay@65.4
★ Stiletto Knife | Doppler (Factory New)@738.42@649.8095999999999@3543.6@3366.42@skinport@shadowpay@2628.0
★ Stiletto Knife | Doppler (Factory New)@738.42@649.8095999999999@2715.0@2579.25@skinport@shadowpay@1840.83
★ Stiletto Knife | Damascus Steel (Minimal Wear)@320.98@282.4624@404.55@384.3225@skinport@shadowpay@63.34
★ Stiletto Knife | Damascus Steel (Field-Tested)@314.97@277.1736@363.0@344.85@skinport@shadowpay@29.88
★ Stiletto Knife | Damascus Steel (Field-Tested)@314.97@277.1736@359.99@352.7902@skinport@csdeals@37.82
★ Stiletto Knife | Crimson Web (Minimal Wear)@565.0@497.2@624.99@612.4902@skinport@csdeals@47.49
★ Stiletto Knife | Case Hardened (Minimal Wear)@471.78@415.1664@512.61@486.9795@skinport@shadowpay@15.2
★ Stiletto Knife | Case Hardened (Field-Tested)@388.07@341.5016@460.0@437.0@skinport@shadowpay@48.93
★ Stiletto Knife | Case Hardened (Field-Tested)@388.07@341.5016@420.0@411.6@skinport@csdeals@23.53
★ Stiletto Knife | Case Hardened (Field-Tested)@420.0@411.6@460.0@437.0@csdeals@shadowpay@17.0
★ Stiletto Knife | Case Hardened (Factory New)@652.11@619.5045@923.02@812.2576@shadowpay@skinport@160.15
★ Stiletto Knife | Case Hardened (Battle-Scarred)@351.0@308.88@411.2@390.64@skinport@shadowpay@39.64
★ Stiletto Knife | Boreal Forest (Minimal Wear)@210.08@184.8704@248.99@236.5405@skinport@shadowpay@26.46
★ Stiletto Knife | Boreal Forest (Field-Tested)@215.0@189.2@240.74@228.703@skinport@shadowpay@13.7
★ Stiletto Knife | Blue Steel (Well-Worn)@336.44@296.0672@380.37@361.3515@skinport@shadowpay@24.91
★ Stiletto Knife | Blue Steel (Field-Tested)@363.61@319.9768@399.1@379.145@skinport@shadowpay@15.53
★ Stiletto Knife@387.19@340.7272@432.22@410.609@skinport@shadowpay@23.42
★ Stiletto Knife@387.19@340.7272@569.99@558.5902@skinport@csdeals@171.4
★ Stiletto Knife@432.22@410.609@569.99@558.5902@shadowpay@csdeals@126.37
