name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
★ Huntsman Knife | Stained (Field-Tested)@125.0@122.5@152.1@144.49499999999998@csdeals@shadowpay@19.49
★ Karambit | Scorched (Well-Worn)@464.5@455.21@501.0@475.95@csdeals@shadowpay@11.45
★ M9 Bayonet | Night (Field-Tested)@499.0@489.02@557.8@529.91@csdeals@shadowpay@30.91
★ Shadow Daggers | Fade (Factory New)@414.65@406.357@445.19@422.9305@csdeals@shadowpay@8.28
★ Shadow Daggers | Urban Masked (Minimal Wear)@110.99@108.7702@201.02@190.969@csdeals@shadowpay@79.98
★ StatTrak™ Bayonet | Autotronic (Minimal Wear)@674.99@661.4902@1180.0@1121.0@csdeals@shadowpay@446.01
★ StatTrak™ Bayonet | Rust Coat (Battle-Scarred)@350.0@343.0@445.75@423.4625@csdeals@shadowpay@73.46
★ StatTrak™ Butterfly Knife@2099.99@2057.9902@2379.8@2260.81@csdeals@shadowpay@160.82
★ Butterfly Knife | Rust Coat (Battle-Scarred)@799.99@783.9902@869.0@825.55@csdeals@shadowpay@25.56
★ Falchion Knife | Marble Fade (Factory New)@374.95@367.451@397.99@378.0905@csdeals@shadowpay@3.14
★ StatTrak™ Huntsman Knife | Rust Coat (Battle-Scarred)@124.99@122.4902@138.0@131.1@csdeals@shadowpay@6.11
★ Shadow Daggers | Damascus Steel (Well-Worn)@99.99@97.9902@136.68@129.846@csdeals@shadowpay@29.86
M4A4 | Hellfire (Field-Tested)@37.0@36.26@44.35@42.1325@csdeals@shadowpay@5.13
StatTrak™ Dual Berettas | Cobra Strike (Minimal Wear)@79.99@78.3902@134.69@127.9555@csdeals@shadowpay@47.97
StatTrak™ Galil AR | Sugar Rush (Factory New)@130.99@128.3702@189.99@180.4905@csdeals@shadowpay@49.5
StatTrak™ SSG 08 | Death's Head (Factory New)@22.48@22.0304@36.94@35.093@csdeals@shadowpay@12.61
AWP | Oni Taiji (Well-Worn)@230.0@225.4@265.0@251.75@csdeals@shadowpay@21.75
Sticker | mousesports | Krakow 2017@2.09@2.0482@6.88@6.536@csdeals@shadowpay@4.45
StatTrak™ P250 | See Ya Later (Minimal Wear)@20.0@19.6@26.97@25.6215@csdeals@shadowpay@5.62
Perfect World Graffiti Box@0.76@0.7448@3.01@2.8595@csdeals@shadowpay@2.1
Sticker | Virtus.Pro | Boston 2018@2.4@2.352@5.96@5.662@csdeals@shadowpay@3.26
Sticker | Misfits Gaming | Boston 2018@3.0@2.94@6.88@6.536@csdeals@shadowpay@3.54
Sticker | Twistzz | Boston 2018@25.0@24.5@37.98@36.081@csdeals@shadowpay@11.08
★ Driver Gloves | Imperial Plaid (Well-Worn)@300.0@294.0@320.0@304.0@csdeals@shadowpay@4.0
★ Hand Wraps | Arboreal (Battle-Scarred)@63.47@62.2006@69.36@65.892@csdeals@shadowpay@2.42
★ Sport Gloves | Vice (Well-Worn)@1599.99@1567.9902@1688.98@1604.531@csdeals@shadowpay@4.54
★ Sport Gloves | Omega (Well-Worn)@699.9@685.9019999999999@992.59@942.9605@csdeals@shadowpay@243.06
Sticker | Astralis (Holo) | London 2018@18.8@18.424@25.7@24.415@csdeals@shadowpay@5.61
★ Talon Knife | Slaughter (Minimal Wear)@719.9@705.502@769.54@731.0629999999999@csdeals@shadowpay@11.16
★ Navaja Knife | Safari Mesh (Field-Tested)@85.99@84.27019999999999@129.28@122.816@csdeals@shadowpay@36.83
StatTrak™ Desert Eagle | Code Red (Battle-Scarred)@32.08@31.4384@36.11@34.3045@csdeals@shadowpay@2.22
★ StatTrak™ Stiletto Knife | Fade (Factory New)@999.99@979.9902@1190.0@1130.5@csdeals@shadowpay@130.51
★ Navaja Knife | Crimson Web (Battle-Scarred)@122.46@120.0108@134.68@127.946@csdeals@shadowpay@5.49
★ Navaja Knife | Scorched (Battle-Scarred)@81.42@79.7916@88.99@84.5405@csdeals@shadowpay@3.12
★ Navaja Knife | Boreal Forest (Field-Tested)@85.99@84.27019999999999@92.83@88.18849999999999@csdeals@shadowpay@2.2
★ Talon Knife | Boreal Forest (Minimal Wear)@349.99@342.9902@617.87@586.9765@csdeals@shadowpay@236.99
★ Navaja Knife | Scorched (Minimal Wear)@83.44@81.7712@91.23@86.6685@csdeals@shadowpay@3.23
