name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
★ StatTrak™ Falchion Knife | Tiger Tooth (Factory New)@315.78@299.991@370.0@325.6@shadowpay@skinport@9.82
★ StatTrak™ Flip Knife@427.99@406.5905@779.02@685.5376@shadowpay@skinport@257.55
★ StatTrak™ Flip Knife | Black Laminate (Minimal Wear)@250.0@237.5@319.0@280.72@shadowpay@skinport@30.72
★ StatTrak™ Flip Knife | Tiger Tooth (Factory New)@525.0@498.75@612.09@538.6392000000001@shadowpay@skinport@13.64
★ StatTrak™ Flip Knife | Ultraviolet (Battle-Scarred)@230.0@218.5@277.11@243.8568@shadowpay@skinport@13.86
★ StatTrak™ Gut Knife | Crimson Web (Well-Worn)@250.0@237.5@6430.61@5658.9368@shadowpay@skinport@5408.94
★ StatTrak™ Gut Knife | Marble Fade (Factory New)@282.45@268.3275@340.0@299.2@shadowpay@skinport@16.75
★ StatTrak™ Gut Knife | Ultraviolet (Field-Tested)@129.99@123.4905@185.93@163.6184@shadowpay@skinport@33.63
★ StatTrak™ Huntsman Knife | Bright Water (Factory New)@233.0@221.35@281.71@247.9048@shadowpay@skinport@14.9
★ StatTrak™ Huntsman Knife | Gamma Doppler (Factory New)@535.44@508.668@623.22@548.4336000000001@shadowpay@skinport@12.99
★ StatTrak™ Huntsman Knife | Lore (Field-Tested)@304.68@289.446@350.56@308.4928@shadowpay@skinport@3.81
★ StatTrak™ Karambit | Case Hardened (Well-Worn)@914.43@868.7085@1658.21@1459.2248@shadowpay@skinport@544.79
★ StatTrak™ Karambit | Marble Fade (Factory New)@2050.0@1947.5@2549.62@2243.6656@shadowpay@skinport@193.67
★ StatTrak™ M9 Bayonet | Crimson Web (Minimal Wear)@1698.0@1613.1@2482.78@2184.8464000000004@shadowpay@skinport@486.85
★ StatTrak™ M9 Bayonet | Marble Fade (Factory New)@1569.99@1491.4905@2225.78@1958.6864000000005@shadowpay@skinport@388.7
★ StatTrak™ Navaja Knife | Case Hardened (Field-Tested)@225.0@213.75@492.7@433.576@shadowpay@skinport@208.58
