name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
Sticker | Ninjas in Pyjamas (Gold) | Rio 2022@4.3@3.784@29.9@28.405@skinport@skinwallet@24.1
Sticker | Nuke Beast@0.09@0.0791999999999999@14.0@13.3@skinport@skinwallet@13.21
Sticker | rain | Cologne 2016@15.57@13.7016@34.5@32.775@skinport@skinwallet@17.2
Sticker | Team Spirit (Holo) | Stockholm 2021@5.12@4.5056@9.72@9.234@skinport@skinwallet@4.11
Sticker | Virtus.pro (Holo) | Katowice 2015@311.61@274.21680000000003@342.0@324.9@skinport@skinwallet@13.29
Sticker | YEKINDAR (Gold) | Antwerp 2022@57.87@50.9256@170.0@161.5@skinport@skinwallet@103.63
Stockholm 2021 Challengers Sticker Capsule@5.62@4.9456@15.0@14.25@skinport@skinwallet@8.63
Stockholm 2021 Contenders Sticker Capsule@4.1@3.608@10.0@9.5@skinport@skinwallet@5.4
Stockholm 2021 Dust II Souvenir Package@8.5@7.48@100.0@95.0@skinport@skinwallet@86.5
Stockholm 2021 Mirage Souvenir Package@3.95@3.476@50.0@47.5@skinport@skinwallet@43.55
USP-S | Overgrowth (Minimal Wear)@28.94@25.4672@62.0@58.9@skinport@skinwallet@29.96
XM1014 | Teclu Burner (Factory New)@1.84@1.6192@4.87@4.6265@skinport@skinwallet@2.79
