name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
M4A1-S | Golden Coil (Well-Worn)@28.22@26.809@39.43@37.4585@skinwallet@shadowpay@9.24
M4A1-S | Hyper Beast (Battle-Scarred)@9.38@8.911@12.77@12.1315@skinwallet@shadowpay@2.75
M4A1-S | Master Piece (Well-Worn)@78.19@74.28049999999999@103.19@98.0305@skinwallet@shadowpay@19.84
M4A1-S | Mecha Industries (Minimal Wear)@29.13@27.6735@38.96@37.012@skinwallet@shadowpay@7.88
M4A1-S | Nightmare (Field-Tested)@6.46@6.137@8.97@8.5215@skinwallet@shadowpay@2.06
M4A1-S | Player Two (Factory New)@78.26@74.34700000000001@93.0@88.35@skinwallet@shadowpay@10.09
M4A1-S | Printstream (Battle-Scarred)@90.42@85.899@122.4@116.28@skinwallet@shadowpay@25.86
M4A1-S | Printstream (Well-Worn)@115.01@109.2595@156.99@149.1405@skinwallet@shadowpay@34.13
M4A4 | Cyber Security (Minimal Wear)@18.91@17.9645@23.31@22.1445@skinwallet@shadowpay@3.23
M4A4 | Global Offensive (Field-Tested)@8.94@8.492999999999999@13.16@12.502@skinwallet@shadowpay@3.56
M4A4 | Hellfire (Factory New)@57.11@54.2545@70.02@66.51899999999999@skinwallet@shadowpay@9.41
M4A4 | Radiation Hazard (Field-Tested)@14.09@13.3855@17.9@17.005@skinwallet@shadowpay@2.91
M4A4 | Temukau (Battle-Scarred)@10.41@9.8895@13.99@13.2905@skinwallet@shadowpay@2.88
M4A4 | Temukau (Field-Tested)@23.47@22.2965@27.8@26.41@skinwallet@shadowpay@2.94
M4A4 | The Battlestar (Factory New)@11.28@10.716@15.31@14.5445@skinwallet@shadowpay@3.26
M4A4 | The Emperor (Minimal Wear)@31.3@29.735@38.93@36.9835@skinwallet@shadowpay@5.68
MAC-10 | Propaganda (Minimal Wear)@13.57@12.8915@22.73@21.5935@skinwallet@shadowpay@8.02
MAG-7 | Bulldozer (Minimal Wear)@10.28@9.765999999999998@13.9@13.205@skinwallet@shadowpay@2.93
MAG-7 | Chainmail (Minimal Wear)@12.54@11.912999999999998@32.66@31.026999999999997@skinwallet@shadowpay@18.49
MAG-7 | Praetorian (Minimal Wear)@1.76@1.672@8.85@8.407499999999999@skinwallet@shadowpay@6.65
MP7 | Powercore (Factory New)@2.16@2.052@4.56@4.332@skinwallet@shadowpay@2.17
MP9 | Hydra (Well-Worn)@3.11@2.9545@5.62@5.339@skinwallet@shadowpay@2.23
MP9 | Hypnotic (Factory New)@10.28@9.765999999999998@14.06@13.357@skinwallet@shadowpay@3.08
MP9 | Starlight Protector (Factory New)@21.5@20.425@26.08@24.776@skinwallet@shadowpay@3.28
Nova | Antique (Minimal Wear)@6.96@6.612@11.45@10.8775@skinwallet@shadowpay@3.92
Nova | Tempest (Field-Tested)@3.39@3.2205@6.89@6.5455@skinwallet@shadowpay@3.16
Operation Hydra Case@15.97@15.1715@21.93@20.8335@skinwallet@shadowpay@4.86
P2000 | Obsidian (Field-Tested)@1.05@0.9975@3.63@3.4485@skinwallet@shadowpay@2.4
P2000 | Scorpion (Factory New)@6.93@6.583499999999999@10.64@10.108@skinwallet@shadowpay@3.18
P250 | Apep's Curse (Field-Tested)@64.09@60.8855@91.77@87.18149999999999@skinwallet@shadowpay@23.09
P250 | Hive (Factory New)@3.05@2.8974999999999995@5.91@5.6145@skinwallet@shadowpay@2.56
P90 | Asiimov (Minimal Wear)@11.97@11.3715@15.83@15.0385@skinwallet@shadowpay@3.07
P90 | Death Grip (Field-Tested)@4.03@3.8285@7.7@7.314999999999999@skinwallet@shadowpay@3.28
P90 | Desert Warfare (Factory New)@2.54@2.413@5.55@5.2725@skinwallet@shadowpay@2.73
P90 | Nostalgia (Field-Tested)@3.61@3.4294999999999995@6.66@6.327@skinwallet@shadowpay@2.72
P90 | Nostalgia (Well-Worn)@3.32@3.154@6.64@6.308@skinwallet@shadowpay@2.99
P90 | ScaraB Rush (Field-Tested)@8.06@7.657@11.78@11.191@skinwallet@shadowpay@3.13
P90 | ScaraB Rush (Minimal Wear)@12.14@11.533@18.98@18.031@skinwallet@shadowpay@5.89
P90 | Shallow Grave (Well-Worn)@1.54@1.463@4.27@4.0565@skinwallet@shadowpay@2.52
P90 | Sunset Lily (Minimal Wear)@9.53@9.0535@16.36@15.541999999999998@skinwallet@shadowpay@6.01
PP-Bizon | Antique (Minimal Wear)@5.99@5.6905@8.57@8.1415@skinwallet@shadowpay@2.15
PP-Bizon | Embargo (Field-Tested)@1.04@0.988@6.37@6.0515@skinwallet@shadowpay@5.01
PP-Bizon | Embargo (Well-Worn)@0.89@0.8454999999999999@5.93@5.6335@skinwallet@shadowpay@4.74
R8 Revolver | Fade (Field-Tested)@4.14@3.933@6.75@6.4125@skinwallet@shadowpay@2.27
Sawed-Off | Highwayman (Field-Tested)@0.5@0.475@3.05@2.8974999999999995@skinwallet@shadowpay@2.4
SCAR-20 | Cardiac (Minimal Wear)@3.75@3.5625@6.14@5.832999999999999@skinwallet@shadowpay@2.08
SCAR-20 | Emerald (Factory New)@33.59@31.910500000000003@55.43@52.6585@skinwallet@shadowpay@19.07
SCAR-20 | Magna Carta (Field-Tested)@9.15@8.6925@14.3@13.585@skinwallet@shadowpay@4.44
SG 553 | Colony IV (Battle-Scarred)@3.72@3.534@6.35@6.0325@skinwallet@shadowpay@2.31
SG 553 | Integrale (Well-Worn)@9.45@8.9775@12.8@12.16@skinwallet@shadowpay@2.71
Sir Bloody Loudmouth Darryl | The Professionals@21.76@20.672@27.49@26.1155@skinwallet@shadowpay@4.36
Sir Bloody Miami Darryl | The Professionals@43.42@41.249@49.74@47.253@skinwallet@shadowpay@3.83
Sir Bloody Silent Darryl | The Professionals@10.85@10.3075@14.66@13.927@skinwallet@shadowpay@3.08
Sir Bloody Skullhead Darryl | The Professionals@13.37@12.7015@17.73@16.8435@skinwallet@shadowpay@3.47
SSG 08 | Detour (Minimal Wear)@5.36@5.092@7.9@7.505@skinwallet@shadowpay@2.14
SSG 08 | Dragonfire (Battle-Scarred)@7.38@7.010999999999999@11.49@10.9155@skinwallet@shadowpay@3.54
SSG 08 | Dragonfire (Minimal Wear)@10.8@10.26@13.99@13.2905@skinwallet@shadowpay@2.49
SSG 08 | Turbo Peek (Well-Worn)@3.14@2.983@6.82@6.479@skinwallet@shadowpay@3.34
StatTrak™ AK-47 | Frontside Misty (Well-Worn)@22.21@21.0995@33.01@31.3595@skinwallet@shadowpay@9.15
StatTrak™ AK-47 | Head Shot (Minimal Wear)@149.72@142.23399999999998@299.99@284.9905@skinwallet@shadowpay@135.27
StatTrak™ AK-47 | Ice Coaled (Well-Worn)@15.1@14.345@23.18@22.021@skinwallet@shadowpay@6.92
StatTrak™ AK-47 | Legion of Anubis (Factory New)@57.7@54.815@71.86@68.267@skinwallet@shadowpay@10.57
StatTrak™ AK-47 | Legion of Anubis (Field-Tested)@16.73@15.8935@20.47@19.4465@skinwallet@shadowpay@2.72
StatTrak™ AK-47 | Nightwish (Field-Tested)@30.4@28.88@40.74@38.703@skinwallet@shadowpay@8.3
StatTrak™ AK-47 | Phantom Disruptor (Field-Tested)@7.98@7.581@10.69@10.155499999999998@skinwallet@shadowpay@2.18
StatTrak™ AK-47 | Redline (Field-Tested)@37.02@35.169000000000004@45.92@43.624@skinwallet@shadowpay@6.6
StatTrak™ AWP | Fever Dream (Field-Tested)@12.31@11.6945@15.13@14.3735@skinwallet@shadowpay@2.06
StatTrak™ AWP | Fever Dream (Well-Worn)@12.87@12.226499999999998@21.02@19.969@skinwallet@shadowpay@7.1
StatTrak™ AWP | Neo-Noir (Field-Tested)@38.11@36.2045@46.81@44.4695@skinwallet@shadowpay@6.36
StatTrak™ AWP | PAW (Minimal Wear)@5.48@5.206@7.89@7.495499999999999@skinwallet@shadowpay@2.02
StatTrak™ CZ75-Auto | Tread Plate (Factory New)@10.6@10.07@21.57@20.4915@skinwallet@shadowpay@9.89
StatTrak™ Desert Eagle | Conspiracy (Minimal Wear)@12.08@11.476@19.98@18.981@skinwallet@shadowpay@6.9
StatTrak™ Desert Eagle | Corinthian (Well-Worn)@2.39@2.2705@4.64@4.408@skinwallet@shadowpay@2.02
StatTrak™ Desert Eagle | Mecha Industries (Field-Tested)@6.26@5.946999999999999@8.83@8.3885@skinwallet@shadowpay@2.13
StatTrak™ Desert Eagle | Mecha Industries (Minimal Wear)@9.25@8.7875@12.49@11.8655@skinwallet@shadowpay@2.62
StatTrak™ FAMAS | Djinn (Field-Tested)@3.29@3.1255@6.47@6.1465@skinwallet@shadowpay@2.86
StatTrak™ FAMAS | ZX Spectron (Minimal Wear)@4.49@4.2655@7.26@6.896999999999999@skinwallet@shadowpay@2.41
StatTrak™ Five-SeveN | Monkey Business (Field-Tested)@4.35@4.132499999999999@7.09@6.735499999999999@skinwallet@shadowpay@2.39
StatTrak™ Five-SeveN | Triumvirate (Minimal Wear)@3.23@3.0685@5.54@5.263@skinwallet@shadowpay@2.03
StatTrak™ Galil AR | Stone Cold (Minimal Wear)@4.34@4.122999999999999@6.75@6.4125@skinwallet@shadowpay@2.07
StatTrak™ Glock-18 | Grinder (Factory New)@5.42@5.149@9.17@8.7115@skinwallet@shadowpay@3.29
StatTrak™ Glock-18 | Water Elemental (Battle-Scarred)@7.39@7.020499999999999@11.19@10.6305@skinwallet@shadowpay@3.24
StatTrak™ M4A1-S | Atomic Alloy (Factory New)@130.74@124.203@215.75@204.9625@skinwallet@shadowpay@74.22
StatTrak™ M4A1-S | Decimator (Field-Tested)@16.87@16.0265@21.7@20.615@skinwallet@shadowpay@3.74
StatTrak™ M4A1-S | Guardian (Factory New)@73.62@69.93900000000001@117.33@111.4635@skinwallet@shadowpay@37.84
StatTrak™ M4A1-S | Leaded Glass (Field-Tested)@7.43@7.0585@10.45@9.927499999999998@skinwallet@shadowpay@2.5
StatTrak™ M4A4 | Griffin (Factory New)@13.82@13.129@19.94@18.943@skinwallet@shadowpay@5.12
StatTrak™ M4A4 | In Living Color (Field-Tested)@9.06@8.607@12.6@11.97@skinwallet@shadowpay@2.91
StatTrak™ M4A4 | Neo-Noir (Factory New)@80.78@76.741@103.66@98.477@skinwallet@shadowpay@17.7
StatTrak™ M4A4 | Tooth Fairy (Factory New)@15.66@14.877@21.5@20.425@skinwallet@shadowpay@4.77
StatTrak™ M4A4 | Tooth Fairy (Minimal Wear)@7.79@7.4005@10.33@9.8135@skinwallet@shadowpay@2.02
StatTrak™ MAC-10 | Neon Rider (Minimal Wear)@16.47@15.646499999999998@22.78@21.641@skinwallet@shadowpay@5.17
StatTrak™ MAC-10 | Stalker (Well-Worn)@23.47@22.2965@35.19@33.430499999999995@skinwallet@shadowpay@9.96
StatTrak™ MAC-10 | Ultraviolet (Field-Tested)@1.14@1.083@6.99@6.6405@skinwallet@shadowpay@5.5
StatTrak™ MAG-7 | Justice (Minimal Wear)@9.35@8.882499999999999@17.92@17.024@skinwallet@shadowpay@7.67
StatTrak™ MP9 | Food Chain (Minimal Wear)@5.58@5.301@8.3@7.885000000000001@skinwallet@shadowpay@2.31
