name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
'Blueberries' Buckshot | NSWC SEAL@3.03@2.8785@6.12@5.3856@skinwallet@skinport@2.36
StatTrak™ USP-S | Stainless (Minimal Wear)@22.08@20.976@31.08@27.3504@skinwallet@skinport@5.27
StatTrak™ XM1014 | Incinegator (Field-Tested)@2.03@1.9285@4.69@4.1272@skinwallet@skinport@2.1
StatTrak™ XM1014 | Tranquility (Minimal Wear)@18.08@17.176@27.81@24.4728@skinwallet@skinport@6.39
Sticker Capsule 2@17.71@16.8245@23.45@20.636@skinwallet@skinport@2.93
Sticker | Combine Helmet (Holo)@0.4@0.38@5.34@4.6992@skinwallet@skinport@4.3
Sticker | ENCE (Glitter) | Rio 2022@0.31@0.2945@2.66@2.3408@skinwallet@skinport@2.03
Sticker | Fnatic | Katowice 2015@12.0@11.4@16.58@14.5904@skinwallet@skinport@2.59
Sticker | GuardiaN (Gold) | Boston 2018@447.88@425.486@667.73@587.6024@skinwallet@skinport@139.72
Sticker | iBUYPOWER | Cologne 2014@55.0@52.25@89.02@78.3376@skinwallet@skinport@23.34
Sticker | London Conspiracy | Cologne 2014@20.0@19.0@25.59@22.5192@skinwallet@skinport@2.52
Sticker | LUCAS1 | Krakow 2017@1.54@1.463@12.97@11.4136@skinwallet@skinport@9.87
Sticker | ropz | London 2018@2.94@2.793@9.64@8.4832@skinwallet@skinport@5.54
Sticker | Team LDLC.com | Katowice 2014@2000.0@1900.0@2829.33@2489.8104@skinwallet@skinport@489.81
Sticker | Thug Life@1.44@1.368@5.91@5.2008@skinwallet@skinport@3.76
Sticker | Water Gun@0.59@0.5605@5.09@4.4792@skinwallet@skinport@3.89
Tec-9 | Bamboo Forest (Battle-Scarred)@2.13@2.0235@16.68@14.6784@skinwallet@skinport@12.55
Tec-9 | Blue Titanium (Factory New)@3.13@2.9735@5.89@5.183199999999999@skinwallet@skinport@2.05
Tec-9 | Cut Out (Factory New)@5.27@5.006499999999999@9.14@8.0432@skinwallet@skinport@2.77
Tec-9 | Toxic (Minimal Wear)@3.36@3.192@6.44@5.6672@skinwallet@skinport@2.31
UMP-45 | Bone Pile (Field-Tested)@3.41@3.2395@6.67@5.8696@skinwallet@skinport@2.46
USP-S | Black Lotus (Well-Worn)@0.46@0.437@2.96@2.6048@skinwallet@skinport@2.14
USP-S | Kill Confirmed (Minimal Wear)@64.37@61.1515@75.67@66.5896@skinwallet@skinport@2.22
USP-S | The Traitor (Factory New)@45.45@43.1775@58.42@51.409600000000005@skinwallet@skinport@5.96
★ Bayonet | Black Laminate (Well-Worn)@296.58@281.751@412.38@362.8944@skinwallet@skinport@66.31
★ Bowie Knife | Case Hardened (Minimal Wear)@225.0@213.75@312.87@275.3256@skinwallet@skinport@50.33
★ Butterfly Knife | Black Laminate (Well-Worn)@859.34@816.373@1016.06@894.1328@skinwallet@skinport@34.79
★ Butterfly Knife | Damascus Steel (Factory New)@945.74@898.453@1087.63@957.1144@skinwallet@skinport@11.37
★ Classic Knife | Crimson Web (Battle-Scarred)@249.9@237.405@298.0@262.24@skinwallet@skinport@12.34
★ Driver Gloves | Imperial Plaid (Battle-Scarred)@178.97@170.0215@222.57@195.8616@skinwallet@skinport@16.89
★ Driver Gloves | Rezan the Red (Field-Tested)@66.64@63.308@81.36@71.5968@skinwallet@skinport@4.96
★ Falchion Knife | Black Laminate (Well-Worn)@96.75@91.9125@136.01@119.6888@skinwallet@skinport@22.94
★ Falchion Knife | Blue Steel (Minimal Wear)@125.12@118.864@150.0@132.0@skinwallet@skinport@6.88
★ Falchion Knife | Night (Field-Tested)@100.71@95.6745@124.84@109.8592@skinwallet@skinport@9.15
★ Falchion Knife | Night (Well-Worn)@96.47@91.6465@123.05@108.284@skinwallet@skinport@11.81
★ Falchion Knife | Ultraviolet (Well-Worn)@97.73@92.8435@144.85@127.468@skinwallet@skinport@29.74
★ Flip Knife | Rust Coat (Battle-Scarred)@149.14@141.683@181.82@160.0016@skinwallet@skinport@10.86
★ Flip Knife | Scorched (Well-Worn)@125.83@119.5385@167.63@147.5144@skinwallet@skinport@21.68
★ Flip Knife | Slaughter (Minimal Wear)@351.61@334.0295@427.34@376.0592@skinwallet@skinport@24.45
★ Flip Knife | Stained (Minimal Wear)@180.34@171.323@223.78@196.9264@skinwallet@skinport@16.59
★ Gut Knife | Black Laminate (Minimal Wear)@106.62@101.289@133.54@117.5152@skinwallet@skinport@10.9
★ Gut Knife | Case Hardened (Field-Tested)@118.5@112.575@158.02@139.0576@skinwallet@skinport@20.56
★ Gut Knife | Lore (Field-Tested)@149.58@142.101@180.0@158.4@skinwallet@skinport@8.82
★ Gut Knife | Slaughter (Factory New)@169.86@161.36700000000002@199.2@175.296@skinwallet@skinport@5.44
★ Hand Wraps | Arboreal (Minimal Wear)@109.79@104.3005@146.9@129.27200000000002@skinwallet@skinport@19.48
★ Hand Wraps | Desert Shamagh (Field-Tested)@51.91@49.3145@70.87@62.36560000000001@skinwallet@skinport@10.46
