name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
★ Bayonet | Black Laminate (Battle-Scarred)@449.93@395.9384@494.12@469.414@skinport@shadowpay@19.48
★ Bayonet | Black Laminate (Field-Tested)@412.54@363.0352@471.88@448.286@skinport@shadowpay@35.75
★ Bayonet | Blue Steel (Field-Tested)@341.17@300.2296@400.0@380.0@skinport@shadowpay@38.83
★ Bayonet | Blue Steel (Well-Worn)@334.1@294.00800000000004@430.0@408.5@skinport@shadowpay@74.4
★ Bayonet | Boreal Forest (Battle-Scarred)@264.57@232.8216@295.76@280.972@skinport@shadowpay@16.4
★ Bayonet | Boreal Forest (Minimal Wear)@283.78@249.7264@536.87@510.0265@skinport@shadowpay@226.25
★ Bayonet | Bright Water (Field-Tested)@306.03@269.3064@350.0@332.5@skinport@shadowpay@26.47
★ Bayonet | Case Hardened (Field-Tested)@430.69@379.0072@459.87@436.8765@skinport@shadowpay@6.19
★ Bayonet | Crimson Web (Field-Tested)@398.21@350.4248@567.0@538.65@skinport@shadowpay@140.44
★ Bayonet | Damascus Steel (Factory New)@442.92@389.7696@474.99@451.2405@skinport@shadowpay@8.32
★ Bayonet | Damascus Steel (Minimal Wear)@383.94@337.8672@467.64@444.258@skinport@shadowpay@60.32
★ Bayonet | Fade (Factory New)@1097.84@966.0992@1299.51@1234.5345@skinport@shadowpay@136.69
★ Bayonet | Freehand (Minimal Wear)@411.77@362.3576@450.58@428.051@skinport@shadowpay@16.28
★ Bayonet | Gamma Doppler (Factory New)@817.97@719.8136000000001@949.99@902.4905@skinport@shadowpay@84.52
★ Bayonet | Marble Fade (Minimal Wear)@1028.9@905.432@1120.0@1064.0@skinport@shadowpay@35.1
★ Bayonet | Night (Field-Tested)@239.99@211.1912@269.99@256.4905@skinport@shadowpay@16.5
★ Bayonet | Night (Minimal Wear)@367.24@323.1712@539.5@512.525@skinport@shadowpay@145.28
★ Bayonet | Rust Coat (Battle-Scarred)@268.63@236.3944@295.08@280.326@skinport@shadowpay@11.7
★ Bayonet | Safari Mesh (Field-Tested)@222.58@195.8704@245.8@233.51@skinport@shadowpay@10.93
★ Bayonet | Scorched (Minimal Wear)@254.84@224.2592@274.0@260.3@skinport@shadowpay@5.46
★ Bayonet | Scorched (Well-Worn)@263.35@231.748@319.16@303.202@skinport@shadowpay@39.85
★ Bayonet | Slaughter (Factory New)@734.38@646.2544@860.31@817.2944999999999@skinport@shadowpay@82.91
★ Bayonet | Slaughter (Minimal Wear)@545.19@479.76720000000006@600.0@570.0@skinport@shadowpay@24.81
★ Bayonet | Stained (Field-Tested)@315.1@277.288@493.34@468.673@skinport@shadowpay@153.57
★ Bayonet | Stained (Minimal Wear)@367.24@323.1712@425.71@404.4245@skinport@shadowpay@37.18
★ Bayonet | Tiger Tooth (Factory New)@674.95@593.956@749.89@712.3955@skinport@shadowpay@37.45
★ Bayonet | Tiger Tooth (Minimal Wear)@701.11@616.9768@810.0@769.5@skinport@shadowpay@68.39
★ Bayonet | Ultraviolet (Battle-Scarred)@265.35@233.508@283.6@269.42@skinport@shadowpay@4.07
★ Bayonet | Ultraviolet (Field-Tested)@241.83@212.8104@280.0@266.0@skinport@shadowpay@24.17
★ Bayonet | Ultraviolet (Minimal Wear)@399.52@351.5776@539.99@512.9905@skinport@shadowpay@113.47
★ Bloodhound Gloves | Bronzed (Field-Tested)@75.0@66.0@109.82@104.329@skinport@shadowpay@29.33
★ Bloodhound Gloves | Bronzed (Minimal Wear)@154.69@136.1272@189.99@180.4905@skinport@shadowpay@25.8
★ Bloodhound Gloves | Charred (Minimal Wear)@259.01@227.9288@288.03@273.6285@skinport@shadowpay@14.62
★ Bloodhound Gloves | Guerrilla (Well-Worn)@76.78@67.5664@84.74@80.50299999999999@skinport@shadowpay@3.72
★ Bloodhound Gloves | Snakebite (Well-Worn)@83.47@73.4536@130.0@123.5@skinport@shadowpay@40.03
★ Bowie Knife@206.69@181.8872@236.34@224.523@skinport@shadowpay@17.83
★ Bowie Knife | Autotronic (Factory New)@431.8@379.984@713.23@677.5685@skinport@shadowpay@245.77
