name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
'Medium Rare' Crasswater | Guerrilla Warfare@9.6@9.12@15.99@15.6702@shadowpay@csdeals@6.07
SG 553 | Wave Spray (Factory New)@31.15@29.5925@50.0@49.0@shadowpay@csdeals@17.85
Sir Bloody Darryl Royale | The Professionals@20.47@19.4465@25.09@24.5882@shadowpay@csdeals@4.12
Sir Bloody Loudmouth Darryl | The Professionals@27.49@26.1155@31.29@30.6642@shadowpay@csdeals@3.17
Sir Bloody Miami Darryl | The Professionals@49.74@47.253@65.99@64.6702@shadowpay@csdeals@14.93
Souvenir AK-47 | Panthera onca (Field-Tested)@180.0@171.0@240.0@235.2@shadowpay@csdeals@55.2
Souvenir AUG | Radiation Hazard (Field-Tested)@2.65@2.5175@5.0@4.9@shadowpay@csdeals@2.25
Souvenir AWP | Pink DDPAT (Field-Tested)@26.51@25.1845@36.99@36.2502@shadowpay@csdeals@9.74
Souvenir Desert Eagle | Urban DDPAT (Battle-Scarred)@0.97@0.9215@4.0@3.92@shadowpay@csdeals@2.95
Souvenir Desert Eagle | Urban DDPAT (Minimal Wear)@2.45@2.3275@20.0@19.6@shadowpay@csdeals@17.15
Souvenir FAMAS | CaliCamo (Factory New)@0.09@0.0854999999999999@15.0@14.7@shadowpay@csdeals@14.61
Souvenir FAMAS | Faulty Wiring (Field-Tested)@0.08@0.076@9.9@9.702@shadowpay@csdeals@9.62
Souvenir Five-SeveN | Coolant (Factory New)@0.34@0.323@15.0@14.7@shadowpay@csdeals@14.36
Souvenir Galil AR | Cerberus (Battle-Scarred)@21.1@20.045@111.33@109.1034@shadowpay@csdeals@88.0
Souvenir Galil AR | Cold Fusion (Factory New)@3.96@3.762@60.0@58.8@shadowpay@csdeals@54.84
Souvenir M4A4 | Converter (Factory New)@8.59@8.160499999999999@10.99@10.7702@shadowpay@csdeals@2.18
Souvenir MAG-7 | Rust Coat (Factory New)@0.25@0.2375@16.0@15.68@shadowpay@csdeals@15.43
Souvenir MP5-SD | Co-Processor (Factory New)@2.6@2.47@40.0@39.2@shadowpay@csdeals@36.6
Souvenir MP5-SD | Lab Rats (Factory New)@0.18@0.1709999999999999@24.0@23.52@shadowpay@csdeals@23.34
Souvenir Negev | Nuclear Waste (Factory New)@2.4@2.28@5.0@4.9@shadowpay@csdeals@2.5
Souvenir Negev | Nuclear Waste (Minimal Wear)@1.4@1.3299999999999998@5.0@4.9@shadowpay@csdeals@3.5
Souvenir Nova | Green Apple (Factory New)@7.21@6.8495@16.0@15.68@shadowpay@csdeals@8.47
Souvenir Nova | Mandrel (Factory New)@0.14@0.133@12.0@11.76@shadowpay@csdeals@11.62
Souvenir Nova | Sand Dune (Minimal Wear)@13.0@12.35@111.33@109.1034@shadowpay@csdeals@96.1
Souvenir Nova | Walnut (Factory New)@29.72@28.234@35.0@34.3@shadowpay@csdeals@4.58
Souvenir P250 | Vino Primo (Minimal Wear)@14.89@14.1455@18.0@17.64@shadowpay@csdeals@2.75
Souvenir SSG 08 | Carbon Fiber (Minimal Wear)@6.2@5.89@15.0@14.7@shadowpay@csdeals@8.5
Souvenir Tec-9 | Toxic (Field-Tested)@9.19@8.7305@12.99@12.7302@shadowpay@csdeals@3.54
Souvenir UMP-45 | Blaze (Factory New)@31.72@30.134@38.96@38.1808@shadowpay@csdeals@6.46
Souvenir UMP-45 | Mechanism (Factory New)@0.46@0.437@15.0@14.7@shadowpay@csdeals@14.24
Souvenir USP-S | Purple DDPAT (Field-Tested)@2.42@2.299@25.0@24.5@shadowpay@csdeals@22.08
Special Agent Ava | FBI@9.55@9.0725@13.0@12.74@shadowpay@csdeals@3.19
SSG 08 | Abyss (Factory New)@2.85@2.7075@8.0@7.84@shadowpay@csdeals@4.99
SSG 08 | Carbon Fiber (Minimal Wear)@2.04@1.938@15.0@14.7@shadowpay@csdeals@12.66
SSG 08 | Dragonfire (Factory New)@23.0@21.85@25.99@25.4702@shadowpay@csdeals@2.47
SSG 08 | Dragonfire (Minimal Wear)@13.99@13.2905@39.0@38.22@shadowpay@csdeals@24.23
SSG 08 | Jungle Dashed (Factory New)@3.0@2.85@8.0@7.84@shadowpay@csdeals@4.84
SSG 08 | Mayan Dreams (Minimal Wear)@8.73@8.2935@6680.02@6546.4196@shadowpay@csdeals@6537.69
SSG 08 | Orange Filigree (Factory New)@23.37@22.2015@38.96@38.1808@shadowpay@csdeals@14.81
SSG 08 | Threat Detected (Field-Tested)@13.21@12.5495@25.0@24.5@shadowpay@csdeals@11.29
SSG 08 | Turbo Peek (Field-Tested)@4.95@4.7025@10.0@9.8@shadowpay@csdeals@4.85
StatTrak™ AK-47 | Asiimov (Field-Tested)@57.0@54.15@64.72@63.4256@shadowpay@csdeals@6.43
StatTrak™ AK-47 | Blue Laminate (Field-Tested)@17.99@17.0905@24.09@23.6082@shadowpay@csdeals@5.62
StatTrak™ AK-47 | Blue Laminate (Minimal Wear)@19.04@18.088@26.49@25.9602@shadowpay@csdeals@6.92
StatTrak™ AK-47 | Cartel (Field-Tested)@23.2@22.04@25.99@25.4702@shadowpay@csdeals@2.27
StatTrak™ AK-47 | Elite Build (Minimal Wear)@5.33@5.0635@9.22@9.0356@shadowpay@csdeals@3.71
StatTrak™ AK-47 | Fuel Injector (Battle-Scarred)@170.0@161.5@179.99@176.3902@shadowpay@csdeals@6.39
StatTrak™ AK-47 | Fuel Injector (Field-Tested)@305.94@290.643@349.99@342.9902@shadowpay@csdeals@37.05
StatTrak™ AK-47 | Ice Coaled (Minimal Wear)@35.0@33.25@49.0@48.02@shadowpay@csdeals@13.02
StatTrak™ AK-47 | Nightwish (Battle-Scarred)@16.99@16.1405@21.65@21.217@shadowpay@csdeals@4.23
StatTrak™ AK-47 | Orbit Mk01 (Minimal Wear)@34.97@33.2215@49.99@48.9902@shadowpay@csdeals@14.02
StatTrak™ AK-47 | Phantom Disruptor (Factory New)@35.79@34.000499999999995@42.99@42.1302@shadowpay@csdeals@6.34
StatTrak™ AK-47 | Phantom Disruptor (Minimal Wear)@19.98@18.981@24.29@23.8042@shadowpay@csdeals@3.82
StatTrak™ AK-47 | Rat Rod (Factory New)@30.35@28.8325@36.62@35.8876@shadowpay@csdeals@5.54
StatTrak™ AK-47 | Slate (Factory New)@31.96@30.362@42.99@42.1302@shadowpay@csdeals@10.17
StatTrak™ AK-47 | Vulcan (Minimal Wear)@957.9@910.005@1049.99@1028.9902@shadowpay@csdeals@71.09
StatTrak™ AUG | Amber Slipstream (Factory New)@0.96@0.912@9.0@8.82@shadowpay@csdeals@7.86
StatTrak™ AUG | Arctic Wolf (Field-Tested)@4.35@4.132499999999999@10.0@9.8@shadowpay@csdeals@5.45
StatTrak™ AUG | Arctic Wolf (Well-Worn)@7.27@6.906499999999999@12.0@11.76@shadowpay@csdeals@4.49
StatTrak™ AUG | Ricochet (Factory New)@2.89@2.7455@25.0@24.5@shadowpay@csdeals@21.61
StatTrak™ AUG | Stymphalian (Field-Tested)@2.79@2.6505@6.0@5.88@shadowpay@csdeals@3.09
StatTrak™ AUG | Syd Mead (Field-Tested)@3.53@3.3534999999999995@8.0@7.84@shadowpay@csdeals@4.31
StatTrak™ AUG | Triqua (Factory New)@2.05@1.9475@5.0@4.9@shadowpay@csdeals@2.85
StatTrak™ AWP | Asiimov (Field-Tested)@325.33@309.0635@445.33@436.4234@shadowpay@csdeals@111.09
StatTrak™ AWP | Atheris (Minimal Wear)@13.26@12.597@20.05@19.649@shadowpay@csdeals@6.39
StatTrak™ AWP | BOOM (Minimal Wear)@230.33@218.8135@242.9@238.042@shadowpay@csdeals@7.71
StatTrak™ AWP | Duality (Battle-Scarred)@17.29@16.4255@37.0@36.26@shadowpay@csdeals@18.97
StatTrak™ AWP | Duality (Field-Tested)@18.38@17.461@55.0@53.9@shadowpay@csdeals@35.52
StatTrak™ AWP | Exoskeleton (Field-Tested)@4.83@4.5885@7.24@7.0952@shadowpay@csdeals@2.27
StatTrak™ AWP | Mortis (Factory New)@16.02@15.219@23.09@22.6282@shadowpay@csdeals@6.61
StatTrak™ AWP | Neo-Noir (Battle-Scarred)@43.39@41.2205@53.44@52.3712@shadowpay@csdeals@8.98
StatTrak™ AWP | Neo-Noir (Minimal Wear)@65.94@62.643@79.99@78.3902@shadowpay@csdeals@12.45
StatTrak™ AWP | Phobos (Minimal Wear)@3.94@3.743@11.0@10.78@shadowpay@csdeals@6.84
StatTrak™ CZ75-Auto | Circaetus (Factory New)@1.59@1.5105@20.0@19.6@shadowpay@csdeals@18.01
StatTrak™ CZ75-Auto | Distressed (Factory New)@0.91@0.8644999999999999@10.0@9.8@shadowpay@csdeals@8.89
StatTrak™ CZ75-Auto | Imprint (Factory New)@1.08@1.026@12.0@11.76@shadowpay@csdeals@10.68
StatTrak™ CZ75-Auto | Red Astor (Factory New)@4.37@4.1515@19.99@19.5902@shadowpay@csdeals@15.22
StatTrak™ CZ75-Auto | Tacticat (Minimal Wear)@1.77@1.6815@4.0@3.92@shadowpay@csdeals@2.15
StatTrak™ CZ75-Auto | Xiangliu (Factory New)@28.01@26.6095@31.25@30.625@shadowpay@csdeals@2.61
StatTrak™ Desert Eagle | Code Red (Field-Tested)@55.22@52.459@62.0@60.76@shadowpay@csdeals@5.54
StatTrak™ Desert Eagle | Conspiracy (Factory New)@22.97@21.8215@27.62@27.0676@shadowpay@csdeals@4.1
StatTrak™ Desert Eagle | Conspiracy (Minimal Wear)@19.98@18.981@22.75@22.295@shadowpay@csdeals@2.32
StatTrak™ Desert Eagle | Crimson Web (Field-Tested)@13.74@13.053@16.17@15.846600000000002@shadowpay@csdeals@2.11
StatTrak™ Desert Eagle | Kumicho Dragon (Field-Tested)@29.1@27.645@40.99@40.1702@shadowpay@csdeals@11.07
StatTrak™ Desert Eagle | Kumicho Dragon (Minimal Wear)@45.33@43.0635@49.99@48.9902@shadowpay@csdeals@3.66
StatTrak™ Desert Eagle | Mecha Industries (Minimal Wear)@12.49@11.8655@15.99@15.6702@shadowpay@csdeals@3.18
StatTrak™ Desert Eagle | Naga (Battle-Scarred)@4.03@3.8285@9.0@8.82@shadowpay@csdeals@4.79
StatTrak™ Dual Berettas | Balance (Field-Tested)@1.2@1.14@15.0@14.7@shadowpay@csdeals@13.5
StatTrak™ Dual Berettas | Cartel (Factory New)@5.99@5.6905@30.0@29.4@shadowpay@csdeals@23.41
StatTrak™ Dual Berettas | Elite 1.6 (Factory New)@1.05@0.9975@9.0@8.82@shadowpay@csdeals@7.77
StatTrak™ Dual Berettas | Panther (Factory New)@11.66@11.077@17.0@16.66@shadowpay@csdeals@5.0
StatTrak™ Dual Berettas | Ventilators (Factory New)@0.7@0.6649999999999999@12.0@11.76@shadowpay@csdeals@11.06
StatTrak™ FAMAS | Commemoration (Factory New)@90.59@86.0605@99.99@97.9902@shadowpay@csdeals@7.4
StatTrak™ FAMAS | Meow 36 (Factory New)@1.48@1.406@4.0@3.92@shadowpay@csdeals@2.44
StatTrak™ Five-SeveN | Boost Protocol (Minimal Wear)@4.62@4.389@11.0@10.78@shadowpay@csdeals@6.16
StatTrak™ Five-SeveN | Case Hardened (Factory New)@90.36@85.842@111.33@109.1034@shadowpay@csdeals@18.74
StatTrak™ Five-SeveN | Copper Galaxy (Factory New)@40.33@38.3135@44.54@43.6492@shadowpay@csdeals@3.32
StatTrak™ Five-SeveN | Fowl Play (Well-Worn)@4.62@4.389@10.0@9.8@shadowpay@csdeals@5.18
StatTrak™ Five-SeveN | Monkey Business (Well-Worn)@4.56@4.332@10.0@9.8@shadowpay@csdeals@5.24
StatTrak™ Five-SeveN | Nightshade (Factory New)@5.39@5.1205@10.0@9.8@shadowpay@csdeals@4.41
StatTrak™ Five-SeveN | Scumbria (Factory New)@1.62@1.539@10.0@9.8@shadowpay@csdeals@8.18
StatTrak™ G3SG1 | Demeter (Minimal Wear)@12.55@11.9225@16.0@15.68@shadowpay@csdeals@3.13
StatTrak™ G3SG1 | Orange Crash (Factory New)@1.12@1.064@12.0@11.76@shadowpay@csdeals@10.64
StatTrak™ G3SG1 | The Executioner (Field-Tested)@3.86@3.667@8.0@7.84@shadowpay@csdeals@3.98
StatTrak™ Galil AR | Akoben (Factory New)@1.85@1.7575@10.0@9.8@shadowpay@csdeals@7.95
StatTrak™ Galil AR | Connexion (Factory New)@3.29@3.1255@8.0@7.84@shadowpay@csdeals@4.55
StatTrak™ Galil AR | Destroyer (Factory New)@0.71@0.6745@25.0@24.5@shadowpay@csdeals@23.79
StatTrak™ Galil AR | Rocket Pop (Minimal Wear)@3.07@2.9165@7.0@6.859999999999999@shadowpay@csdeals@3.79
StatTrak™ Galil AR | Sandstorm (Minimal Wear)@3.17@3.0115@14.0@13.72@shadowpay@csdeals@10.55
StatTrak™ Galil AR | Signal (Factory New)@3.07@2.9165@7.0@6.859999999999999@shadowpay@csdeals@3.79
StatTrak™ Glock-18 | Bunsen Burner (Factory New)@12.58@11.951@16.0@15.68@shadowpay@csdeals@3.1
StatTrak™ Glock-18 | Catacombs (Factory New)@1.78@1.6909999999999998@17.0@16.66@shadowpay@csdeals@14.88
StatTrak™ Glock-18 | Ironwork (Factory New)@5.63@5.3485@20.0@19.6@shadowpay@csdeals@13.97
StatTrak™ Glock-18 | Moonrise (Factory New)@3.62@3.439@9.0@8.82@shadowpay@csdeals@5.2
StatTrak™ Glock-18 | Off World (Factory New)@4.36@4.142@10.0@9.8@shadowpay@csdeals@5.44
StatTrak™ Glock-18 | Oxide Blaze (Factory New)@1.29@1.2255@15.0@14.7@shadowpay@csdeals@13.41
StatTrak™ Glock-18 | Royal Legion (Well-Worn)@2.88@2.736@6.0@5.88@shadowpay@csdeals@3.0
StatTrak™ Glock-18 | Vogue (Factory New)@21.33@20.2635@24.99@24.4902@shadowpay@csdeals@3.16
StatTrak™ Glock-18 | Wasteland Rebel (Factory New)@35.54@33.763@55666.88@54553.5424@shadowpay@csdeals@54518.0
StatTrak™ Glock-18 | Weasel (Battle-Scarred)@0.83@0.7885@10.0@9.8@shadowpay@csdeals@8.97
StatTrak™ Glock-18 | Winterized (Factory New)@2.98@2.831@25.0@24.5@shadowpay@csdeals@21.52
StatTrak™ Glock-18 | Wraiths (Factory New)@4.36@4.142@25.0@24.5@shadowpay@csdeals@20.14
StatTrak™ M4A1-S | Briefing (Well-Worn)@11.05@10.4975@24.0@23.52@shadowpay@csdeals@12.47
StatTrak™ M4A1-S | Chantico's Fire (Well-Worn)@36.99@35.1405@46.49@45.5602@shadowpay@csdeals@8.57
StatTrak™ M4A1-S | Cyrex (Minimal Wear)@73.97@70.27149999999999@85.9@84.182@shadowpay@csdeals@10.21
StatTrak™ M4A1-S | Emphorosaur-S (Battle-Scarred)@2.75@2.6125@5.48@5.3704@shadowpay@csdeals@2.62
StatTrak™ M4A1-S | Emphorosaur-S (Field-Tested)@2.9@2.755@6.05@5.928999999999999@shadowpay@csdeals@3.03
StatTrak™ M4A1-S | Golden Coil (Field-Tested)@105.75@100.4625@129.9@127.302@shadowpay@csdeals@21.55
StatTrak™ M4A1-S | Leaded Glass (Factory New)@29.0@27.55@32.99@32.3302@shadowpay@csdeals@3.33
StatTrak™ M4A1-S | Night Terror (Field-Tested)@2.42@2.299@7.0@6.859999999999999@shadowpay@csdeals@4.44
StatTrak™ M4A1-S | Player Two (Minimal Wear)@102.08@96.976@119.9@117.502@shadowpay@csdeals@15.42
StatTrak™ M4A1-S | Printstream (Minimal Wear)@481.99@457.8905@580.0@568.4@shadowpay@csdeals@86.41
StatTrak™ M4A4 | Buzz Kill (Field-Tested)@24.71@23.4745@27.99@27.4302@shadowpay@csdeals@2.72
StatTrak™ M4A4 | Buzz Kill (Minimal Wear)@38.89@36.9455@50.66@49.6468@shadowpay@csdeals@10.76
StatTrak™ M4A4 | Cyber Security (Factory New)@94.36@89.642@104.99@102.8902@shadowpay@csdeals@8.53
StatTrak™ M4A4 | Evil Daimyo (Field-Tested)@3.46@3.287@10.0@9.8@shadowpay@csdeals@6.34
StatTrak™ M4A4 | Faded Zebra (Field-Tested)@2.8@2.66@5.0@4.9@shadowpay@csdeals@2.1
StatTrak™ M4A4 | Magnesium (Factory New)@5.6@5.319999999999999@35.0@34.3@shadowpay@csdeals@28.7
StatTrak™ M4A4 | Royal Paladin (Battle-Scarred)@20.79@19.7505@25.99@25.4702@shadowpay@csdeals@4.68
StatTrak™ M4A4 | Royal Paladin (Minimal Wear)@64.31@61.0945@89.99@88.19019999999999@shadowpay@csdeals@23.88
StatTrak™ M4A4 | Temukau (Field-Tested)@55.24@52.478@60.0@58.8@shadowpay@csdeals@3.56
StatTrak™ M4A4 | 龍王 (Dragon King) (Minimal Wear)@34.04@32.338@39.99@39.1902@shadowpay@csdeals@5.15
StatTrak™ MAC-10 | Carnivore (Factory New)@2.03@1.9285@17.0@16.66@shadowpay@csdeals@14.63
StatTrak™ MAC-10 | Heat (Minimal Wear)@6.96@6.612@1670.0@1636.6@shadowpay@csdeals@1629.64
StatTrak™ MAC-10 | Last Dive (Minimal Wear)@3.15@2.9925@7.0@6.859999999999999@shadowpay@csdeals@3.71
StatTrak™ MAC-10 | Monkeyflage (Factory New)@0.89@0.8454999999999999@17.0@16.66@shadowpay@csdeals@15.77
StatTrak™ MAC-10 | Pipe Down (Factory New)@4.3@4.085@20.0@19.6@shadowpay@csdeals@15.3
StatTrak™ MAG-7 | Cobalt Core (Factory New)@1.36@1.292@20.0@19.6@shadowpay@csdeals@18.24
StatTrak™ MAG-7 | Memento (Factory New)@9.32@8.854@17.0@16.66@shadowpay@csdeals@7.34
StatTrak™ MAG-7 | Popdog (Factory New)@0.67@0.6365@10.0@9.8@shadowpay@csdeals@9.13
StatTrak™ MAG-7 | Praetorian (Factory New)@8.94@8.492999999999999@4453.35@4364.283@shadowpay@csdeals@4355.34
StatTrak™ MP5-SD | Acid Wash (Factory New)@3.05@2.8974999999999995@16.0@15.68@shadowpay@csdeals@12.63
StatTrak™ MP5-SD | Condition Zero (Factory New)@2.42@2.299@18.0@17.64@shadowpay@csdeals@15.22
StatTrak™ MP5-SD | Necro Jr. (Factory New)@1.07@1.0165@20.0@19.6@shadowpay@csdeals@18.53
StatTrak™ MP7 | Abyssal Apparition (Field-Tested)@4.06@3.8569999999999993@10.0@9.8@shadowpay@csdeals@5.74
StatTrak™ MP7 | Bloodsport (Minimal Wear)@7.43@7.0585@40.0@39.2@shadowpay@csdeals@31.77
StatTrak™ MP7 | Cirrus (Factory New)@2.74@2.603@7.0@6.859999999999999@shadowpay@csdeals@4.12
StatTrak™ MP7 | Guerrilla (Factory New)@4.2@3.99@23.0@22.54@shadowpay@csdeals@18.34
StatTrak™ MP7 | Mischief (Minimal Wear)@1.3@1.235@12.0@11.76@shadowpay@csdeals@10.46
StatTrak™ MP9 | Black Sand (Factory New)@0.68@0.646@10.0@9.8@shadowpay@csdeals@9.12
StatTrak™ MP9 | Deadly Poison (Factory New)@4.1@3.895@35.0@34.3@shadowpay@csdeals@30.2
StatTrak™ MP9 | Ruby Poison Dart (Factory New)@5.57@5.2915@28.95@28.371@shadowpay@csdeals@22.8
StatTrak™ MP9 | Sand Scale (Factory New)@0.92@0.874@6.0@5.88@shadowpay@csdeals@4.96
StatTrak™ Music Kit | bbno$, u mad!@5.68@5.396@8.99@8.8102@shadowpay@csdeals@3.13
StatTrak™ Music Kit | Denzel Curry, ULTIMATE@4.2@3.99@15.0@14.7@shadowpay@csdeals@10.5
StatTrak™ Music Kit | Dren, Gunman Taco Truck@21.9@20.805@29.99@29.3902@shadowpay@csdeals@7.49
StatTrak™ Music Kit | Kelly Bailey, Hazardous Environments@6.38@6.061@15.0@14.7@shadowpay@csdeals@8.32
StatTrak™ Music Kit | Knock2, dashstar*@18.93@17.9835@29.99@29.3902@shadowpay@csdeals@10.46
StatTrak™ Music Kit | Neck Deep, Life's Not Out To Get You@12.1@11.495@15.0@14.7@shadowpay@csdeals@2.6
StatTrak™ Music Kit | New Beat Fund, Sponge Fingerz@5.41@5.1395@15.0@14.7@shadowpay@csdeals@9.29
StatTrak™ Music Kit | Perfect World, 花脸 Hua Lian (Painted Face)@5.14@4.882999999999999@11.0@10.78@shadowpay@csdeals@5.64
StatTrak™ Music Kit | The Verkkars & n0thing, Flashbang Dance@5.3@5.034999999999999@18.0@17.64@shadowpay@csdeals@12.34
StatTrak™ Music Kit | Troels Folmann, Uber Blasto Phone@4.8@4.56@15.0@14.7@shadowpay@csdeals@9.9
StatTrak™ Music Kit | Twin Atlantic, GLA@0.85@0.8075@3.0@2.94@shadowpay@csdeals@2.09
StatTrak™ Music Kit | Various Artists, Hotline Miami@5.17@4.911499999999999@15.0@14.7@shadowpay@csdeals@9.53
StatTrak™ Negev | Dazzle (Minimal Wear)@0.99@0.9405@11.0@10.78@shadowpay@csdeals@9.79
StatTrak™ Negev | Desert-Strike (Factory New)@0.64@0.608@10.0@9.8@shadowpay@csdeals@9.16
StatTrak™ Negev | Drop Me (Factory New)@0.94@0.8929999999999999@20.0@19.6@shadowpay@csdeals@18.66
StatTrak™ Negev | Power Loader (Field-Tested)@3.2@3.04@9.0@8.82@shadowpay@csdeals@5.62
StatTrak™ Negev | Prototype (Factory New)@0.57@0.5415@14.0@13.72@shadowpay@csdeals@13.15
StatTrak™ Nova | Exo (Factory New)@0.81@0.7695@10.0@9.8@shadowpay@csdeals@8.99
StatTrak™ Nova | Ghost Camo (Minimal Wear)@3.4@3.23@35.0@34.3@shadowpay@csdeals@30.9
StatTrak™ Nova | Koi (Factory New)@4.49@4.2655@10.0@9.8@shadowpay@csdeals@5.31
StatTrak™ Nova | Ranger (Factory New)@1.82@1.729@14.0@13.72@shadowpay@csdeals@11.9
StatTrak™ Nova | Windblown (Factory New)@0.99@0.9405@16.0@15.68@shadowpay@csdeals@14.69
StatTrak™ Nova | Wood Fired (Factory New)@0.57@0.5415@7.0@6.859999999999999@shadowpay@csdeals@6.29
StatTrak™ P2000 | Fire Elemental (Field-Tested)@41.15@39.0925@55.0@53.9@shadowpay@csdeals@12.75
StatTrak™ P2000 | Ivory (Factory New)@2.22@2.109@8.0@7.84@shadowpay@csdeals@5.62
StatTrak™ P2000 | Oceanic (Factory New)@0.92@0.874@11.0@10.78@shadowpay@csdeals@9.86
StatTrak™ P2000 | Pulse (Factory New)@2.48@2.356@5.0@4.9@shadowpay@csdeals@2.42
StatTrak™ P2000 | Turf (Factory New)@3.24@3.078@12.0@11.76@shadowpay@csdeals@8.52
StatTrak™ P2000 | Urban Hazard (Factory New)@0.8@0.76@10.0@9.8@shadowpay@csdeals@9.0
StatTrak™ P250 | Asiimov (Well-Worn)@9.1@8.645@21.0@20.58@shadowpay@csdeals@11.48
StatTrak™ P250 | Contaminant (Factory New)@1.92@1.824@15.0@14.7@shadowpay@csdeals@12.78
StatTrak™ P250 | Muertos (Field-Tested)@10.99@10.4405@24.0@23.52@shadowpay@csdeals@12.53
StatTrak™ P250 | Undertow (Minimal Wear)@44.13@41.9235@77.93@76.37140000000001@shadowpay@csdeals@32.24
StatTrak™ P250 | Valence (Factory New)@2.98@2.831@24.0@23.52@shadowpay@csdeals@20.54
StatTrak™ P90 | Death Grip (Battle-Scarred)@11.11@10.5545@19.0@18.62@shadowpay@csdeals@7.51
StatTrak™ P90 | Grim (Factory New)@2.68@2.546@26.0@25.48@shadowpay@csdeals@22.8
StatTrak™ P90 | Neoqueen (Field-Tested)@1.52@1.444@4.69@4.5962000000000005@shadowpay@csdeals@3.08
StatTrak™ P90 | Off World (Factory New)@1.58@1.501@15.0@14.7@shadowpay@csdeals@13.12
StatTrak™ PP-Bizon | Jungle Slipstream (Factory New)@0.74@0.703@9.0@8.82@shadowpay@csdeals@8.08
StatTrak™ PP-Bizon | Photic Zone (Factory New)@5.77@5.4815@60.0@58.8@shadowpay@csdeals@53.03
StatTrak™ PP-Bizon | Space Cat (Minimal Wear)@1.47@1.3965@4.0@3.92@shadowpay@csdeals@2.45
StatTrak™ R8 Revolver | Bone Forged (Factory New)@0.52@0.494@11.0@10.78@shadowpay@csdeals@10.26
StatTrak™ R8 Revolver | Grip (Factory New)@0.75@0.7124999999999999@10.0@9.8@shadowpay@csdeals@9.05
StatTrak™ R8 Revolver | Junk Yard (Factory New)@1.85@1.7575@27.0@26.46@shadowpay@csdeals@24.61
StatTrak™ R8 Revolver | Memento (Factory New)@7.0@6.65@35.0@34.3@shadowpay@csdeals@27.3
StatTrak™ Sawed-Off | Black Sand (Factory New)@0.8@0.76@12.0@11.76@shadowpay@csdeals@10.96
StatTrak™ Sawed-Off | Origami (Factory New)@0.79@0.7505@8.0@7.84@shadowpay@csdeals@7.05
StatTrak™ Sawed-Off | Serenity (Minimal Wear)@3.74@3.553@9.0@8.82@shadowpay@csdeals@5.08
StatTrak™ SCAR-20 | Bloodsport (Field-Tested)@5.12@4.864@11.0@10.78@shadowpay@csdeals@5.66
StatTrak™ SCAR-20 | Green Marine (Factory New)@1.23@1.1685@10.0@9.8@shadowpay@csdeals@8.57
StatTrak™ SCAR-20 | Jungle Slipstream (Factory New)@0.67@0.6365@7.0@6.859999999999999@shadowpay@csdeals@6.19
StatTrak™ SCAR-20 | Torn (Factory New)@2.29@2.1755@18.0@17.64@shadowpay@csdeals@15.35
StatTrak™ SG 553 | Aerial (Factory New)@0.97@0.9215@13.0@12.74@shadowpay@csdeals@11.77
StatTrak™ SG 553 | Atlas (Factory New)@1.04@0.988@18.0@17.64@shadowpay@csdeals@16.6
StatTrak™ SG 553 | Danger Close (Factory New)@0.98@0.931@14.0@13.72@shadowpay@csdeals@12.74
StatTrak™ SG 553 | Heavy Metal (Factory New)@1.62@1.539@18.0@17.64@shadowpay@csdeals@16.02
StatTrak™ SG 553 | Pulse (Minimal Wear)@9.44@8.968@45.0@44.1@shadowpay@csdeals@34.66
StatTrak™ SG 553 | Tiger Moth (Factory New)@6.91@6.5645@17.0@16.66@shadowpay@csdeals@9.75
StatTrak™ SG 553 | Wave Spray (Battle-Scarred)@6.87@6.5265@12.0@11.76@shadowpay@csdeals@4.89
StatTrak™ SSG 08 | Big Iron (Factory New)@65.84@62.548@222.66@218.2068@shadowpay@csdeals@152.37
StatTrak™ SSG 08 | Dragonfire (Field-Tested)@36.93@35.0835@39.99@39.1902@shadowpay@csdeals@2.26
StatTrak™ SSG 08 | Fever Dream (Factory New)@6.23@5.9185@8.44@8.271199999999999@shadowpay@csdeals@2.04
StatTrak™ SSG 08 | Parallax (Well-Worn)@2.31@2.1945@4.6@4.508@shadowpay@csdeals@2.2
StatTrak™ Tec-9 | Cracked Opal (Factory New)@1.66@1.577@10.0@9.8@shadowpay@csdeals@8.14
StatTrak™ Tec-9 | Fuel Injector (Battle-Scarred)@4.84@4.598@9.0@8.82@shadowpay@csdeals@3.98
StatTrak™ UMP-45 | Arctic Wolf (Factory New)@3.35@3.1825@40.0@39.2@shadowpay@csdeals@35.85
StatTrak™ UMP-45 | Oscillator (Factory New)@1.07@1.0165@15.0@14.7@shadowpay@csdeals@13.63
StatTrak™ UMP-45 | Roadblock (Factory New)@0.95@0.9025@18.0@17.64@shadowpay@csdeals@16.69
StatTrak™ USP-S | Blood Tiger (Factory New)@9.0@8.549999999999999@20.0@19.6@shadowpay@csdeals@10.6
StatTrak™ USP-S | Cortex (Well-Worn)@3.93@3.7335@10.0@9.8@shadowpay@csdeals@5.87
StatTrak™ USP-S | Monster Mashup (Field-Tested)@22.22@21.109@24.99@24.4902@shadowpay@csdeals@2.27
StatTrak™ USP-S | Serum (Factory New)@84.97@80.72149999999999@111.33@109.1034@shadowpay@csdeals@24.13
StatTrak™ USP-S | Torque (Factory New)@3.82@3.629@11.0@10.78@shadowpay@csdeals@6.96
