name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
'Medium Rare' Crasswater | Guerrilla Warfare@9.6@9.12@15.99@15.6702@shadowpay@csdeals@6.07
★ Talon Knife | Forest DDPAT (Field-Tested)@289.99@275.4905@303.99@297.91020000000003@shadowpay@csdeals@7.92
★ Talon Knife | Rust Coat (Battle-Scarred)@370.0@351.5@403.49@395.4202@shadowpay@csdeals@25.42
★ Talon Knife | Ultraviolet (Battle-Scarred)@312.98@297.331@355.0@347.9@shadowpay@csdeals@34.92
★ Talon Knife | Ultraviolet (Field-Tested)@342.79@325.6505@389.95@382.151@shadowpay@csdeals@39.36
★ Talon Knife | Urban Masked (Field-Tested)@319.49@303.5155@339.95@333.151@shadowpay@csdeals@13.66
★ Ursus Knife@350.43@332.9085@449.99@440.9902@shadowpay@csdeals@90.56
★ Ursus Knife | Rust Coat (Battle-Scarred)@136.3@129.485@144.74@141.8452@shadowpay@csdeals@5.55
★ Ursus Knife | Tiger Tooth (Factory New)@478.99@455.0405@512.13@501.8874@shadowpay@csdeals@22.9
AK-47 | Aquamarine Revenge (Field-Tested)@28.97@27.5215@33.84@33.1632@shadowpay@csdeals@4.19
AK-47 | Aquamarine Revenge (Minimal Wear)@50.2@47.69@55.0@53.9@shadowpay@csdeals@3.7
AK-47 | Asiimov (Battle-Scarred)@18.06@17.156999999999996@24.51@24.0198@shadowpay@csdeals@5.96
AK-47 | Asiimov (Well-Worn)@27.27@25.9065@33.49@32.8202@shadowpay@csdeals@5.55
AK-47 | Baroque Purple (Factory New)@13.09@12.4355@18.23@17.8654@shadowpay@csdeals@4.78
AK-47 | Baroque Purple (Well-Worn)@3.88@3.686@9.0@8.82@shadowpay@csdeals@4.94
AK-47 | Black Laminate (Minimal Wear)@36.01@34.2095@39.99@39.1902@shadowpay@csdeals@3.18
AK-47 | Bloodsport (Field-Tested)@78.91@74.96449999999999@100.19@98.1862@shadowpay@csdeals@19.28
AK-47 | Blue Laminate (Field-Tested)@8.18@7.770999999999999@10.99@10.7702@shadowpay@csdeals@2.59
AK-47 | Blue Laminate (Minimal Wear)@8.16@7.752@28.95@28.371@shadowpay@csdeals@20.21
AK-47 | Cartel (Factory New)@22.99@21.8405@32.79@32.1342@shadowpay@csdeals@9.14
AK-47 | Cartel (Field-Tested)@6.71@6.374499999999999@9.0@8.82@shadowpay@csdeals@2.11
AK-47 | Case Hardened (Field-Tested)@248.91@236.4645@389.66@381.8668@shadowpay@csdeals@132.96
AK-47 | Elite Build (Factory New)@4.95@4.7025@27.0@26.46@shadowpay@csdeals@21.51
AK-47 | Frontside Misty (Field-Tested)@11.12@10.563999999999998@25.0@24.5@shadowpay@csdeals@13.38
AK-47 | Frontside Misty (Well-Worn)@11.26@10.697@38.0@37.24@shadowpay@csdeals@25.98
AK-47 | Fuel Injector (Battle-Scarred)@90.09@85.5855@109.9@107.702@shadowpay@csdeals@17.61
AK-47 | Fuel Injector (Field-Tested)@152.0@144.4@190.0@186.2@shadowpay@csdeals@34.2
AK-47 | Fuel Injector (Minimal Wear)@239.97@227.9715@289.99@284.1902@shadowpay@csdeals@44.22
AK-47 | Fuel Injector (Well-Worn)@104.99@99.7405@110.0@107.8@shadowpay@csdeals@2.81
AK-47 | Head Shot (Factory New)@169.86@161.36700000000002@489.86@480.0628@shadowpay@csdeals@310.2
AK-47 | Head Shot (Field-Tested)@39.85@37.8575@71.07@69.64859999999999@shadowpay@csdeals@29.8
AK-47 | Ice Coaled (Factory New)@29.21@27.7495@39.99@39.1902@shadowpay@csdeals@9.98
AK-47 | Leet Museo (Field-Tested)@19.28@18.316@22.26@21.8148@shadowpay@csdeals@2.53
AK-47 | Legion of Anubis (Factory New)@21.74@20.653@27.89@27.3322@shadowpay@csdeals@5.59
AK-47 | Neon Revolution (Field-Tested)@14.35@13.6325@30.0@29.4@shadowpay@csdeals@15.05
AK-47 | Neon Revolution (Minimal Wear)@25.2@23.94@35.0@34.3@shadowpay@csdeals@9.1
AK-47 | Neon Rider (Factory New)@124.99@118.74049999999998@130.99@128.3702@shadowpay@csdeals@3.38
AK-47 | Nightwish (Well-Worn)@13.25@12.5875@16.99@16.650199999999998@shadowpay@csdeals@3.4
AK-47 | Orbit Mk01 (Factory New)@18.69@17.7555@30.77@30.1546@shadowpay@csdeals@11.46
AK-47 | Orbit Mk01 (Field-Tested)@9.4@8.93@11.97@11.7306@shadowpay@csdeals@2.33
AK-47 | Orbit Mk01 (Minimal Wear)@10.81@10.2695@16.29@15.964199999999998@shadowpay@csdeals@5.15
AK-47 | Phantom Disruptor (Factory New)@9.98@9.481@15.8@15.484@shadowpay@csdeals@5.5
AK-47 | Rat Rod (Factory New)@8.52@8.094@50.0@49.0@shadowpay@csdeals@40.48
AK-47 | Red Laminate (Field-Tested)@35.35@33.5825@50.09@49.0882@shadowpay@csdeals@13.74
AK-47 | Red Laminate (Minimal Wear)@53.0@50.35@59.0@57.82@shadowpay@csdeals@4.82
AK-47 | Redline (Minimal Wear)@76.11@72.30449999999999@80.17@78.5666@shadowpay@csdeals@2.46
AK-47 | Slate (Minimal Wear)@3.41@3.2395@6.0@5.88@shadowpay@csdeals@2.47
AK-47 | Steel Delta (Field-Tested)@1.67@1.5864999999999998@4.7@4.606@shadowpay@csdeals@2.94
AK-47 | Steel Delta (Minimal Wear)@2.64@2.508@25.0@24.5@shadowpay@csdeals@21.86
AK-47 | The Empress (Battle-Scarred)@18.4@17.479999999999997@30.0@29.4@shadowpay@csdeals@11.0
AK-47 | The Empress (Field-Tested)@26.32@25.004@29.29@28.7042@shadowpay@csdeals@2.38
AK-47 | The Empress (Minimal Wear)@42.63@40.4985@47.79@46.8342@shadowpay@csdeals@4.2
AK-47 | The Empress (Well-Worn)@22.03@20.9285@26.99@26.4502@shadowpay@csdeals@4.42
AK-47 | Vulcan (Factory New)@849.99@807.4905@1075.07@1053.5685999999998@shadowpay@csdeals@203.58
AK-47 | Wasteland Rebel (Field-Tested)@24.94@23.693@44.53@43.6394@shadowpay@csdeals@18.7
Antwerp 2022 Dust II Souvenir Package@11.07@10.5165@33.41@32.7418@shadowpay@csdeals@21.67
Antwerp 2022 Inferno Souvenir Package@3.51@3.3345@6.1@5.978@shadowpay@csdeals@2.47
Antwerp 2022 Nuke Souvenir Package@3.22@3.059@20.0@19.6@shadowpay@csdeals@16.38
AUG | Arctic Wolf (Minimal Wear)@3.07@2.9165@8.0@7.84@shadowpay@csdeals@4.77
AUG | Aristocrat (Factory New)@1.49@1.4155@17.0@16.66@shadowpay@csdeals@15.17
AUG | Carved Jade (Factory New)@22.55@21.4225@25.99@25.4702@shadowpay@csdeals@2.92
AUG | Chameleon (Factory New)@5.65@5.3675@24.0@23.52@shadowpay@csdeals@17.87
AUG | Daedalus (Factory New)@3.05@2.8974999999999995@22.0@21.56@shadowpay@csdeals@18.51
AUG | Flame Jörmungandr (Factory New)@280.0@266.0@390.0@382.2@shadowpay@csdeals@102.2
AUG | Plague (Factory New)@0.76@0.722@12.0@11.76@shadowpay@csdeals@11.0
AUG | Ricochet (Factory New)@0.6@0.57@7.0@6.859999999999999@shadowpay@csdeals@6.26
AUG | Wings (Factory New)@17.09@16.2355@30.0@29.4@shadowpay@csdeals@12.31
Autograph Capsule | Cloud9 G2A | Cologne 2015@11.0@10.45@18.0@17.64@shadowpay@csdeals@6.64
Autograph Capsule | Team EnVyUs | Cluj-Napoca 2015@4.88@4.636@10.0@9.8@shadowpay@csdeals@4.92
AWP | Asiimov (Field-Tested)@126.2@119.89@149.99@146.99020000000002@shadowpay@csdeals@20.79
AWP | Asiimov (Well-Worn)@101.99@96.8905@110.0@107.8@shadowpay@csdeals@5.81
AWP | Atheris (Minimal Wear)@4.32@4.104@8.86@8.682799999999999@shadowpay@csdeals@4.36
AWP | BOOM (Field-Tested)@79.96@75.96199999999999@99.9@97.902@shadowpay@csdeals@17.94
AWP | Containment Breach (Minimal Wear)@162.74@154.603@190.61@186.7978@shadowpay@csdeals@24.06
AWP | Corticera (Minimal Wear)@13.46@12.787@16.99@16.650199999999998@shadowpay@csdeals@3.19
AWP | Duality (Minimal Wear)@14.57@13.8415@35.27@34.564600000000006@shadowpay@csdeals@19.99
AWP | Electric Hive (Factory New)@71.73@68.1435@80.0@78.4@shadowpay@csdeals@6.67
AWP | Elite Build (Minimal Wear)@16.31@15.4945@20.99@20.5702@shadowpay@csdeals@4.26
AWP | Graphite (Factory New)@204.9@194.655@225.0@220.5@shadowpay@csdeals@15.6
AWP | Mortis (Minimal Wear)@2.95@2.8025@7.0@6.859999999999999@shadowpay@csdeals@3.91
AWP | Neo-Noir (Battle-Scarred)@20.91@19.8645@29.9@29.302@shadowpay@csdeals@8.39
AWP | Neo-Noir (Factory New)@36.06@34.257@39.99@39.1902@shadowpay@csdeals@3.13
AWP | Neo-Noir (Minimal Wear)@27.8@26.41@32.48@31.8304@shadowpay@csdeals@4.03
AWP | Oni Taiji (Factory New)@668.16@634.752@685.0@671.3@shadowpay@csdeals@3.14
AWP | Oni Taiji (Minimal Wear)@527.0@500.65@619.9@607.502@shadowpay@csdeals@80.5
AWP | POP AWP (Factory New)@5.44@5.168@8.39@8.2222@shadowpay@csdeals@2.78
AWP | Redline (Minimal Wear)@60.0@57.0@65.0@63.7@shadowpay@csdeals@3.7
AWP | Sun in Leo (Factory New)@24.6@23.37@28.44@27.8712@shadowpay@csdeals@3.27
AWP | Sun in Leo (Minimal Wear)@14.86@14.117@22.99@22.5302@shadowpay@csdeals@7.67
AWP | Wildfire (Factory New)@154.86@147.11700000000002@187.5@183.75@shadowpay@csdeals@28.89
AWP | Wildfire (Field-Tested)@59.03@56.0785@64.55@63.25899999999999@shadowpay@csdeals@4.23
AWP | Wildfire (Well-Worn)@55.64@52.858@58.99@57.8102@shadowpay@csdeals@2.17
AWP | Worm God (Well-Worn)@1.32@1.254@4.0@3.92@shadowpay@csdeals@2.6
B Squadron Officer | SAS@3.79@3.6005@5.99@5.8702000000000005@shadowpay@csdeals@2.08
Bloody Darryl The Strapped | The Professionals@14.55@13.8225@19.99@19.5902@shadowpay@csdeals@5.04
Boston 2018 Attending Legends Autograph Capsule@15.8@15.01@18.92@18.541600000000003@shadowpay@csdeals@2.74
Boston 2018 Cobblestone Souvenir Package@1020.0@969.0@1130.33@1107.7234@shadowpay@csdeals@87.72
Boston 2018 Returning Challengers Autograph Capsule@17.67@16.7865@25.12@24.6176@shadowpay@csdeals@6.95
Brigadier General Pin@11.32@10.754@14.99@14.6902@shadowpay@csdeals@3.37
Civil Protection Pin@17.24@16.377999999999997@19.99@19.5902@shadowpay@csdeals@2.35
Cmdr. Davida 'Goggles' Fernandez | SEAL Frogman@45.04@42.788@54.99@53.8902@shadowpay@csdeals@8.85
Cmdr. Frank 'Wet Sox' Baroud | SEAL Frogman@36.81@34.969500000000004@44.99@44.0902@shadowpay@csdeals@7.28
Cobblestone Pin@6.37@6.0515@9.0@8.82@shadowpay@csdeals@2.45
CS:GO Weapon Case@82.15@78.0425@86.0@84.28@shadowpay@csdeals@2.13
CZ75-Auto | Army Sheen (Factory New)@2.02@1.919@5.0@4.9@shadowpay@csdeals@2.88
CZ75-Auto | Circaetus (Factory New)@0.35@0.3324999999999999@17.0@16.66@shadowpay@csdeals@16.31
CZ75-Auto | Eco (Factory New)@3.35@3.1825@18.0@17.64@shadowpay@csdeals@14.29
CZ75-Auto | Hexane (Factory New)@4.75@4.5125@8.0@7.84@shadowpay@csdeals@3.09
CZ75-Auto | Midnight Palm (Factory New)@2.23@2.1185@20.0@19.6@shadowpay@csdeals@17.37
CZ75-Auto | Midnight Palm (Field-Tested)@1.35@1.2825@15.0@14.7@shadowpay@csdeals@13.35
CZ75-Auto | Pole Position (Factory New)@1.61@1.5295@20.0@19.6@shadowpay@csdeals@17.99
CZ75-Auto | Tigris (Factory New)@1.78@1.6909999999999998@12.0@11.76@shadowpay@csdeals@9.98
CZ75-Auto | Tuxedo (Factory New)@1.73@1.6435@16.0@15.68@shadowpay@csdeals@13.95
CZ75-Auto | Twist (Factory New)@3.25@3.0875@8.0@7.84@shadowpay@csdeals@4.59
CZ75-Auto | Vendetta (Factory New)@0.76@0.722@9.0@8.82@shadowpay@csdeals@8.06
CZ75-Auto | Victoria (Factory New)@11.53@10.953499999999998@15.49@15.1802@shadowpay@csdeals@3.65
CZ75-Auto | Xiangliu (Field-Tested)@7.77@7.381499999999999@18.0@17.64@shadowpay@csdeals@9.87
D Squadron Officer | NZSAS@13.68@12.996@19.99@19.5902@shadowpay@csdeals@5.91
Desert Eagle | Blaze (Factory New)@693.88@659.1859999999999@829.69@813.0962000000001@shadowpay@csdeals@119.22
Desert Eagle | Cobalt Disruption (Factory New)@97.18@92.321@105.77@103.6546@shadowpay@csdeals@6.47
Desert Eagle | Cobalt Disruption (Minimal Wear)@67.02@63.66899999999999@74.99@73.49019999999999@shadowpay@csdeals@6.47
Desert Eagle | Code Red (Field-Tested)@21.12@20.064@23.95@23.471@shadowpay@csdeals@2.35
